Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20080624,4.63256065,4.63256065,4.63256065,4.63256065,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.63256065,4.63256065
20080625,4.63256065,4.63256065,4.63256065,4.63256065,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.63256065,4.63256065
20080626,4.51516633,4.51516633,4.51516633,4.51516633,20,90,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.51516633,4.51516633
20080627,4.50613599,4.58740899,4.50613599,4.50613599,107,482,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.50613599,4.50613599
20080630,4.50613599,4.50613599,4.50613599,4.50613599,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.50613599,4.50613599
20080701,4.50613599,4.50613599,4.50613599,4.50613599,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.50613599,4.50613599
20080702,4.50613599,4.50613599,4.50613599,4.50613599,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.50613599,4.50613599
20080703,3.58504206,3.83789138,3.56698140,3.58504206,150,538,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",3.58504206,3.58504206
20080704,3.58504206,3.83789138,3.56698140,3.58504206,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",3.97000000,3.58504206
20080707,3.94625537,3.94625537,3.94625537,3.94625537,10,39,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",3.94625537,3.94625537
20080708,3.94625537,3.94625537,3.94625537,3.94625537,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",3.94625537,3.94625537
20080709,4.34359001,4.34359001,4.34359001,4.34359001,22,96,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.34359001,4.34359001
20080710,4.53322699,4.54225732,4.53322699,4.53322699,4,18,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.53322699,4.53322699
20080711,4.53322699,4.53322699,4.53322699,4.53322699,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.53322699,4.53322699
20080714,4.46098433,4.46098433,4.46098433,4.46098433,2,9,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.46098433,4.46098433
20080715,4.46098433,4.46098433,4.46098433,4.46098433,0,0,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.46098433,4.46098433
