Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150520,13.57744308,13.57744308,13.57744308,13.57744308,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.57744308,13.57744308
20150521,13.57744308,14.11339478,13.57744308,14.11339478,11184,157844,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.11339478,14.11339478
20150522,14.11339478,14.47069591,14.11339478,14.32777546,2397,34344,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.32777546,14.32777546
20150525,14.11339478,14.47069591,14.11339478,14.32777546,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",20.05000000,14.32777546
20150526,14.29204535,14.50642603,14.29204535,14.39923569,1815,26135,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.39923569,14.39923569
20150527,14.39923569,14.64148586,14.36350557,14.36350557,1145,16446,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.36350557,14.36350557
20150528,14.34921353,14.40638171,13.97047433,14.04193455,655,9197,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.04193455,14.04193455
20150529,14.10767796,14.18485501,14.00620444,14.00620444,773,10827,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.00620444,14.00620444
20150601,14.00620444,14.04193455,13.74180160,13.82755387,317,4383,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.82755387,13.82755387
20150602,13.86328399,14.29204535,13.79182376,14.22773114,624,8878,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.22773114,14.22773114
20150603,14.25631523,14.27775330,13.86328399,14.14912489,2052,29034,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",14.14912489,14.14912489
