Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210111,10.00000000,10.20000000,9.91000000,10.11000000,415,4196,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.11000000,10.11000000
20210112,10.15000000,10.27000000,10.15000000,10.18000000,258,2626,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.18000000,10.18000000
20210113,10.18000000,10.25000000,10.07000000,10.25000000,96,984,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.25000000,10.25000000
20210114,10.34000000,10.34000000,10.15000000,10.20000000,27,275,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.20000000,10.20000000
20210115,10.33000000,10.33000000,10.21000000,10.22000000,124,1267,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.22000000,10.22000000
20210118,10.33000000,10.33000000,10.21000000,10.22000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","","","Common Stock",10.22000000,10.22000000
20210119,10.30000000,10.31000000,10.28400000,10.31000000,67,691,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.31000000,10.31000000
20210120,10.18000000,10.33000000,10.17000000,10.33000000,44,455,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.33000000,10.33000000
20210121,10.12000000,10.38000000,10.10000000,10.32000000,146,1507,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.32000000,10.32000000
20210122,10.38000000,10.45000000,10.35000000,10.40000000,60,624,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.40000000,10.40000000
20210125,10.45000000,10.45000000,10.30000000,10.37500000,578,5997,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.37500000,10.37500000
20210126,10.31000000,10.39000000,10.21000000,10.30000000,177,1823,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.30000000,10.30000000
20210127,10.30000000,10.32000000,10.14000000,10.29000000,594,6112,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.29000000,10.29000000
20210128,10.66000000,10.66000000,10.20000000,10.21000000,81,827,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.21000000,10.21000000
20210129,10.25200000,10.66000000,10.11000000,10.66000000,1100,11726,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.66000000,10.66000000
20210201,10.25000000,10.65000000,10.25000000,10.40000000,60,624,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.40000000,10.40000000
20210202,10.48000000,10.59000000,10.38000000,10.40000000,140,1456,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.40000000,10.40000000
20210203,10.44000000,10.47000000,10.30000000,10.35000000,112,1159,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.35000000,10.35000000
20210204,10.40000000,10.58000000,10.38000000,10.38000000,79,820,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.38000000,10.38000000
20210205,10.41000000,10.41000000,10.30000000,10.32000000,326,3364,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.32000000,10.32000000
20210208,10.64000000,10.64000000,10.30000000,10.30000000,691,7117,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.30000000,10.30000000
20210209,10.38000000,10.40000000,10.31000000,10.35000000,268,2774,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.35000000,10.35000000
20210210,10.86000000,10.86000000,10.30000000,10.30000000,703,7241,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.30000000,10.30000000
20210211,10.43000000,10.43000000,10.25000000,10.32000000,413,4262,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.32000000,10.32000000
20210212,10.33000000,10.50000000,10.33000000,10.48000000,482,5051,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.48000000,10.48000000
20210215,10.33000000,10.50000000,10.33000000,10.48000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","","","Common Stock",10.48000000,10.48000000
20210216,11.40000000,11.40000000,10.37000000,10.65000000,426,4537,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.65000000,10.65000000
20210217,10.87000000,10.87000000,10.43000000,10.64000000,187,1990,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.64000000,10.64000000
20210218,11.00000000,11.00000000,10.48000000,10.53000000,1823,19196,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.53000000,10.53000000
20210219,10.60000000,10.68000000,10.51000000,10.61000000,283,3003,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.61000000,10.61000000
20210222,10.61000000,10.75000000,10.36000000,10.36000000,1290,13364,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.36000000,10.36000000
20210223,10.30000000,10.60000000,10.21000000,10.35000000,1241,12844,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.35000000,10.35000000
20210224,10.28000000,10.48000000,10.28000000,10.40000000,388,4035,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.40000000,10.40000000
20210225,10.25000000,10.40000000,10.25000000,10.27000000,579,5946,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.27000000,10.27000000
20210226,10.25000000,10.25000000,10.19000000,10.19000000,234,2384,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.19000000,10.19000000
20210301,10.25000000,10.25000000,9.89000000,10.13000000,432,4376,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.13000000,10.13000000
20210302,10.20000000,10.20000000,9.91000000,10.05000000,450,4523,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.05000000,10.05000000
20210303,10.05000000,10.10000000,10.05000000,10.05000000,172,1729,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.05000000,10.05000000
20210304,10.05000000,10.05000000,9.91000000,9.95000000,444,4418,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.95000000,9.95000000
20210305,10.05000000,10.05000000,9.90000000,9.95000000,237,2358,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.95000000,9.95000000
20210308,9.90000000,10.02000000,9.90000000,9.93000000,41,407,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.93000000,9.93000000
20210309,9.95000000,10.00000000,9.85000000,9.87000000,484,4777,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.87000000,9.87000000
20210310,10.00000000,10.04000000,9.87000000,9.87000000,97,957,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.87000000,9.87000000
20210311,9.89000000,9.99600000,9.89000000,9.98000000,116,1158,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.98000000,9.98000000
20210312,9.87000000,9.95000000,9.87000000,9.95000000,97,965,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.95000000,9.95000000
20210315,9.80000000,9.97000000,9.80000000,9.96700000,15,150,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.96700000,9.96700000
20210316,9.92000000,9.93000000,9.92000000,9.92000000,19,188,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.92000000,9.92000000
20210317,9.90000000,9.97000000,9.81000000,9.88000000,80,790,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.88000000,9.88000000
20210318,10.00000000,10.00000000,9.86000000,9.90000000,15,149,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.90000000,9.90000000
20210319,9.93500000,9.93500000,9.93500000,9.93500000,1,10,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.93500000,9.93500000
20210322,9.95500000,9.95500000,9.86000000,9.86000000,21,207,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.86000000,9.86000000
20210323,9.85000000,9.88000000,9.85000000,9.85000000,235,2315,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.85000000,9.85000000
20210324,9.78000000,9.80000000,9.60000000,9.60000000,106,1018,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.60000000,9.60000000
20210325,9.55000000,9.75000000,9.55000000,9.68000000,83,803,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.68000000,9.68000000
20210326,9.65000000,9.75000000,9.65000000,9.70000000,400,3880,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.70000000,9.70000000
20210329,9.70000000,9.75000000,9.62100000,9.70000000,53,514,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.70000000,9.70000000
20210330,9.70000000,9.85000000,9.70000000,9.78000000,42,411,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.78000000,9.78000000
20210331,9.65000000,9.65000000,9.56000000,9.62000000,168,1616,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.62000000,9.62000000
20210401,9.67000000,9.83000000,9.67000000,9.75000000,1107,10793,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.75000000,9.75000000
20210402,9.67000000,9.83000000,9.67000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","","","Common Stock",9.75000000,9.75000000
20210405,9.78300000,9.78300000,9.76000000,9.76000000,13,127,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.76000000,9.76000000
20210406,9.62000000,9.83000000,9.62000000,9.77500000,67,655,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.77500000,9.77500000
20210407,9.78000000,9.80000000,9.76000000,9.76000000,70,683,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.76000000,9.76000000
20210408,9.78000000,9.80000000,9.78000000,9.80000000,12,118,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.80000000,9.80000000
20210409,9.80000000,9.98000000,9.80000000,9.96000000,54,538,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.96000000,9.96000000
20210412,9.80000000,10.14000000,9.80000000,10.14000000,163,1653,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",10.14000000,10.14000000
20210413,10.15000000,10.15000000,9.81800000,9.90000000,34,337,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.90000000,9.90000000
20210414,9.94800000,10.03000000,9.88000000,9.88000000,73,721,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.88000000,9.88000000
20210415,10.01000000,10.01000000,9.85000000,9.85000000,1476,14539,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.85000000,9.85000000
20210416,9.97000000,10.00000000,9.85000000,9.94000000,631,6272,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.94000000,9.94000000
20210419,9.89000000,9.94000000,9.85000000,9.86000000,560,5522,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.86000000,9.86000000
20210420,9.88000000,9.91000000,9.86000000,9.88000000,303,2994,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.88000000,9.88000000
20210421,9.86400000,9.90000000,9.80500000,9.88000000,233,2302,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.88000000,9.88000000
20210422,9.88000000,9.95000000,9.82000000,9.88000000,347,3428,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.88000000,9.88000000
20210423,9.90000000,9.92000000,9.89500000,9.92000000,61,605,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.92000000,9.92000000
20210426,9.92000000,9.93000000,9.82000000,9.83000000,126,1239,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.83000000,9.83000000
20210427,9.84000000,9.87000000,9.82000000,9.83000000,459,4512,N/A,N/A,0,-5,"NYSE MKTS LLC","","","Common Stock",9.83000000,9.83000000
