Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20131004,7.59390103,7.88123783,7.41328933,7.59390103,55326,420140,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.59390103,7.59390103
20131007,7.47486150,7.63494915,7.34761235,7.42970858,5269,39147,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.42970858,7.42970858
20131008,7.42970858,7.46254707,7.14237178,7.20804876,7127,51372,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.20804876,7.20804876
20131009,7.14237178,7.28193537,7.12184773,7.15058141,1028,7351,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.15058141,7.15058141
20131010,7.17110546,7.26962094,7.15058141,7.20804876,4009,28897,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.20804876,7.20804876
20131011,7.21625839,7.48717594,7.21625839,7.41328933,2808,20817,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.41328933,7.41328933
20131014,7.41328933,7.46254707,7.38866046,7.45023264,441,3286,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.45023264,7.45023264
20131015,7.42970858,7.44612782,7.30656424,7.40918452,838,6209,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.40918452,7.40918452
20131016,7.38866046,7.39687009,7.32708829,7.38866046,526,3886,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.38866046,7.38866046
20131017,7.37634603,7.38866046,7.24499207,7.33529792,694,5091,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.33529792,7.33529792
20131018,7.29014499,7.33529792,7.25730650,7.32708829,756,5539,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.32708829,7.32708829
20131021,7.29014499,7.31887867,7.18752471,7.31477386,542,3965,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.31477386,7.31477386
20131022,7.31477386,7.34350754,7.31477386,7.31887867,580,4245,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.31887867,7.31887867
20131023,7.33529792,7.34761235,7.30656424,7.32708829,316,2315,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.32708829,7.32708829
20131024,7.33119311,7.44612782,7.31477386,7.42560377,501,3720,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.42560377,7.42560377
20131025,7.33529792,7.47075669,7.32708829,7.47075669,353,2637,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.47075669,7.47075669
20131028,7.45023264,7.48307113,7.32708829,7.36813641,124,914,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.36813641,7.36813641
20131029,7.47075669,7.47075669,7.32708829,7.33119311,434,3182,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.33119311,7.33119311
20131030,7.38455565,7.38455565,7.32708829,7.32708829,223,1634,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.32708829,7.32708829
20131031,7.32708829,7.36813641,7.32708829,7.36813641,1922,14162,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.36813641,7.36813641
20131101,7.38866046,7.40918452,7.30656424,7.33940273,690,5064,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.33940273,7.33940273
20131104,7.33940273,7.36813641,7.27372575,7.32708829,358,2623,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.32708829,7.32708829
20131105,7.33940273,7.34761235,7.26551612,7.32298348,254,1860,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.32298348,7.32298348
20131106,7.33940273,7.34761235,7.15879103,7.24499207,957,6933,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.24499207,7.24499207
20131107,7.25320169,7.26141131,7.14647659,7.20804876,405,2919,N/A,N/A,131700,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.20804876,7.20804876
20131108,7.22446801,7.24088726,7.12184773,7.16289584,308,2206,N/A,N/A,130875,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.16289584,7.16289584
20131111,7.22446801,7.26962094,7.03154188,7.24088726,814,5894,N/A,N/A,132300,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.24088726,7.24088726
20131112,7.26962094,7.34761235,7.08079961,7.34761235,615,4519,N/A,N/A,134250,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.34761235,7.34761235
20131113,7.34761235,7.35992679,7.22446801,7.26962094,418,3039,N/A,N/A,132825,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.26962094,7.26962094
20131114,7.26962094,7.27372575,7.10953329,7.27372575,889,6466,N/A,N/A,132900,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.27372575,7.27372575
20131115,7.22857282,7.27783056,7.18341990,7.25730650,392,2845,N/A,N/A,132600,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.25730650,7.25730650
20131118,7.24909688,7.26551612,7.22857282,7.23678244,27,195,N/A,N/A,132225,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.23678244,7.23678244
20131119,7.22857282,7.22857282,7.18341990,7.21625839,486,3507,N/A,N/A,131850,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.21625839,7.21625839
20131120,7.19573433,7.21625839,7.14237178,7.19162952,411,2956,N/A,N/A,131400,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.19162952,7.19162952
20131121,7.18341990,7.23678244,7.14237178,7.22857282,692,5002,N/A,N/A,132075,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.22857282,7.22857282
20131122,7.22446801,7.25320169,7.20394395,7.20804876,409,2948,N/A,N/A,131700,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.20804876,7.20804876
20131125,7.22036320,7.27372575,7.19162952,7.20394395,404,2910,N/A,N/A,131625,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.20394395,7.20394395
20131126,7.16289584,7.20394395,7.16289584,7.18341990,788,5661,N/A,N/A,131250,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.18341990,7.18341990
20131127,7.22446801,7.26551612,7.17521027,7.20394395,359,2586,N/A,N/A,131625,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.20394395,7.20394395
20131128,7.22446801,7.26551612,7.17521027,7.20394395,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",17.55000000,7.20394395
20131129,7.25730650,7.28604018,7.18752471,7.24499207,107,775,N/A,N/A,132375,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.24499207,7.24499207
20131202,7.21625839,7.23267763,7.12595254,7.18341990,388,2787,N/A,N/A,131250,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.18341990,7.18341990
20131203,7.18752471,7.21215358,7.14237178,7.19983914,534,3845,N/A,N/A,131550,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.19983914,7.19983914
20131204,7.17931508,7.19573433,7.16289584,7.18341990,271,1947,N/A,N/A,131250,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.18341990,7.18341990
20131205,7.18752471,7.21625839,7.16289584,7.20394395,517,3724,N/A,N/A,131625,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.20394395,7.20394395
20131206,7.22036320,7.26962094,7.19573433,7.24088726,429,3106,N/A,N/A,132300,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.24088726,7.24088726
20131209,7.23267763,7.23267763,7.14237178,7.18341990,1153,8282,N/A,N/A,131250,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.18341990,7.18341990
20131210,7.14647659,7.17110546,7.03564669,7.17110546,1848,13252,N/A,N/A,131025,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.17110546,7.17110546
20131211,7.09721886,7.26962094,7.08079961,7.16289584,552,3954,N/A,N/A,130875,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.16289584,7.16289584
20131212,7.19162952,7.20394395,7.11774291,7.14237178,1787,12763,N/A,N/A,130500,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.14237178,7.14237178
20131213,7.17110546,7.23267763,7.12184773,7.23267763,1842,13323,N/A,N/A,132150,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.23267763,7.23267763
20131216,7.24499207,7.28604018,7.22036320,7.26962094,990,7197,N/A,N/A,132825,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.26962094,7.26962094
20131217,7.24499207,7.53232886,7.19983914,7.44202301,648,4822,N/A,N/A,135975,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.44202301,7.44202301
20131218,7.45023264,7.57337698,7.39687009,7.47486150,1191,8903,N/A,N/A,136575,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.47486150,7.47486150
20131219,7.51590962,7.58979622,7.41739414,7.53232886,2795,21053,N/A,N/A,137625,7500,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.53232886,7.53232886
