Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20190916,9.65000000,9.76000000,9.65000000,9.76000000,6,59,N/A,N/A,306579,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.76000000,9.76000000
20190917,9.76000000,9.76000000,9.76000000,9.76000000,0,0,N/A,N/A,306579,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.76000000,9.76000000
20190918,9.69000000,9.72000000,9.69000000,9.72000000,2,19,N/A,N/A,305322,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
20190919,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,305322,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
20190920,9.84000000,9.85000000,9.84000000,9.85000000,9,89,N/A,N/A,309406,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190923,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,309406,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190924,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,309406,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190925,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,309406,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190926,9.85000000,9.85000000,9.85000000,9.85000000,8,79,N/A,N/A,309406,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190927,9.70000000,9.70000000,9.66000000,9.66000000,250,2415,N/A,N/A,303438,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.66000000,9.66000000
20190930,9.68500000,9.71000000,9.68500000,9.71000000,8,78,N/A,N/A,305008,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.71000000,9.71000000
20191001,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,305008,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.71000000,9.71000000
20191002,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,305008,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.71000000,9.71000000
20191003,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,305008,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.71000000,9.71000000
20191004,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,305008,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.71000000,9.71000000
20191007,9.68000000,9.68000000,9.68000000,9.68000000,1869,18092,N/A,N/A,304066,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.68000000,9.68000000
20191008,9.68000000,9.68000000,9.68000000,9.68000000,0,0,N/A,N/A,304066,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.68000000,9.68000000
20191009,9.68000000,9.68000000,9.68000000,9.68000000,0,0,N/A,N/A,304066,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.68000000,9.68000000
20191010,9.66000000,9.66000000,9.63000000,9.65000000,4505,43473,N/A,N/A,303124,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.65000000,9.65000000
20191011,9.70000000,9.70000000,9.70000000,9.70000000,1300,12610,N/A,N/A,304694,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.70000000,9.70000000
20191014,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,304694,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.70000000,9.70000000
20191015,9.73500000,9.75000000,9.73500000,9.73500000,42,409,N/A,N/A,305794,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.73500000,9.73500000
20191016,9.75000000,9.75000000,9.75000000,9.75000000,1,10,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191017,9.70000000,9.71000000,9.70000000,9.71000000,1756,17051,N/A,N/A,305008,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.71000000,9.71000000
20191018,9.71000000,9.71000000,9.71000000,9.71000000,1,10,N/A,N/A,305008,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.71000000,9.71000000
20191021,9.75000000,9.75000000,9.72000000,9.75000000,20,195,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191022,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191023,9.74000000,9.75000000,9.74000000,9.75000000,6,59,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191024,9.74000000,9.75000000,9.74000000,9.75000000,3,29,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191025,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191028,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191029,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191030,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,306265,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20191031,9.72000000,9.75000000,9.72000000,9.73000000,11028,107302,N/A,N/A,305636,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.73000000,9.73000000
20191101,9.73000000,9.73000000,9.73000000,9.73000000,0,0,N/A,N/A,305636,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.73000000,9.73000000
20191104,9.73000000,9.73000000,9.73000000,9.73000000,200,1946,N/A,N/A,305636,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.73000000,9.73000000
20191105,9.73000000,9.74000000,9.72000000,9.74000000,2860,27856,N/A,N/A,305951,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.74000000,9.74000000
20191106,9.72000000,9.72000000,9.72000000,9.72000000,438,4257,N/A,N/A,305322,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
20191107,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,305322,31412,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
