Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180614,11.75000000,12.00000000,11.10000000,12.00000000,28418,341016,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",12.00000000,12.00000000
20180615,11.79000000,11.93000000,11.52000000,11.70000000,2702,31613,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.70000000,11.70000000
20180618,11.80000000,11.80000000,11.25000000,11.39000000,1596,18178,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.39000000,11.39000000
20180619,11.40000000,11.43000000,10.45000000,10.94000000,3563,38979,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",10.94000000,10.94000000
20180620,10.95000000,11.00000000,10.60000000,10.95000000,2169,23751,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",10.95000000,10.95000000
20180621,11.13000000,11.31600000,10.82000000,11.27000000,1241,13986,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.27000000,11.27000000
20180622,11.20000000,11.20400000,10.84000000,11.01000000,1279,14082,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.01000000,11.01000000
20180625,11.00000000,11.19000000,10.85000000,11.15000000,1046,11663,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.15000000,11.15000000
20180626,11.15000000,11.24000000,10.56000000,10.70000000,774,8282,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",10.70000000,10.70000000
20180627,10.55000000,10.90000000,10.36000000,10.60000000,2287,24242,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",10.60000000,10.60000000
20180628,10.45000000,10.85900000,9.98000000,10.26000000,1581,16221,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",10.26000000,10.26000000
20180629,10.20000000,11.00000000,10.15000000,10.94000000,669,7319,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",10.94000000,10.94000000
20180702,10.90000000,11.09000000,10.90000000,11.00000000,844,9284,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.00000000,11.00000000
20180703,11.06000000,11.45000000,11.01000000,11.17000000,807,9014,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.17000000,11.17000000
20180704,11.06000000,11.45000000,11.01000000,11.17000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.17000000,11.17000000
20180705,11.50000000,11.54000000,11.30000000,11.35000000,555,6299,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.35000000,11.35000000
20180706,11.27000000,11.59000000,11.25000000,11.46000000,894,10245,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.46000000,11.46000000
20180709,11.71000000,11.75000000,11.00000000,11.12000000,1486,16524,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Waste Services","Common Stock",11.12000000,11.12000000
