Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19801204,4.18491888,4.64990987,4.18491888,4.18491888,13,54,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801205,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801208,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801209,4.18491888,4.64990987,4.18491888,4.18491888,3,13,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801210,4.18491888,4.64990987,4.18491888,4.18491888,3,13,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801211,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801212,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801215,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801216,4.18491888,4.64990987,4.18491888,4.18491888,3,13,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801217,4.18491888,4.64990987,4.18491888,4.18491888,8,33,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801218,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801219,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801222,4.18491888,4.64990987,4.18491888,4.18491888,2,8,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801223,4.18491888,4.64990987,4.18491888,4.18491888,3,13,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801224,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.18491888,4.18491888
19801225,4.18491888,4.18491888,4.18491888,4.18491888,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",6.75000000,4.18491888
19801226,4.18491888,4.64990987,4.02992188,4.02992188,32,129,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.02992188,4.02992188
19801229,4.02992188,4.02992188,4.02992188,4.02992188,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.02992188,4.02992188
19801230,4.02992188,4.02992188,4.02992188,4.02992188,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",4.02992188,4.02992188
