Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19991018,10.88626996,11.28316522,9.63888486,9.63888486,707,6815,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",9.63888486,9.63888486
19991019,9.86568215,9.86568215,9.35538824,9.41208757,393,3699,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",9.41208757,9.41208757
19991020,9.29868892,9.29868892,9.01519231,9.29868892,1134,10545,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",9.29868892,9.29868892
19991021,9.24198960,9.29868892,9.18529028,9.24198960,821,7588,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",9.24198960,9.24198960
19991022,9.18529028,9.97908079,9.12859095,9.80898283,746,7318,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",9.80898283,9.80898283
19991025,9.86568215,9.86568215,9.63888486,9.63888486,479,4617,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",9.63888486,9.63888486
19991026,9.58218553,9.58218553,8.16470247,8.16470247,844,6891,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",8.16470247,8.16470247
19991027,8.16470247,8.61829705,8.16470247,8.50489840,573,4873,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",8.50489840,8.50489840
19991028,8.44819908,8.44819908,8.10800314,8.39149976,380,3189,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",8.39149976,8.39149976
19991029,8.44819908,8.61829705,8.16470247,8.61829705,1033,8903,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",8.61829705,8.61829705
19991101,8.73169569,9.07189163,8.67499637,9.07189163,347,3148,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",9.07189163,9.07189163
19991102,9.18529028,9.18529028,8.84509434,8.84509434,1459,12905,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",8.84509434,8.84509434
