Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.60771257,1.62078340,1.58810632,1.61424799,552,891,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.61424799,1.61424799
19800804,1.61424799,1.62078340,1.58810632,1.58810632,408,648,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.58810632,1.58810632
19800805,1.58810632,1.60117715,1.56850007,1.60117715,312,500,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60117715,1.60117715
19800806,1.60117715,1.62078340,1.60117715,1.60771257,856,1376,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60771257,1.60771257
19800807,1.60771257,1.63385424,1.59464173,1.60117715,640,1025,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60117715,1.60117715
19800808,1.62078340,1.67306674,1.62078340,1.65999590,1352,2244,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.65999590,1.65999590
19800811,1.67306674,1.72535007,1.67306674,1.72535007,224,386,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.72535007,1.72535007
19800812,1.74495632,1.76456258,1.74495632,1.76456258,2816,4969,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.76456258,1.76456258
19800813,1.75802716,1.75802716,1.75149174,1.75802716,192,338,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.75802716,1.75802716
19800814,1.75802716,1.75802716,1.68613757,1.68613757,784,1322,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.68613757,1.68613757
19800815,1.68613757,1.68613757,1.65999590,1.65999590,1184,1965,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.65999590,1.65999590
19800818,1.65999590,1.66653132,1.60771257,1.66653132,456,760,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.66653132,1.66653132
19800819,1.65999590,1.65999590,1.60771257,1.60771257,896,1441,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60771257,1.60771257
19800820,1.60771257,1.62078340,1.59464173,1.60117715,464,743,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60117715,1.60117715
19800821,1.60117715,1.61424799,1.59464173,1.60771257,424,682,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60771257,1.60771257
19800822,1.60771257,1.65346049,1.60771257,1.65346049,248,410,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.65346049,1.65346049
19800825,1.65346049,1.65999590,1.64038965,1.64692507,632,1041,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.64692507,1.64692507
19800826,1.64038965,1.64038965,1.60771257,1.60771257,336,540,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60771257,1.60771257
19800827,1.60771257,1.65999590,1.60771257,1.64692507,584,962,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.64692507,1.64692507
19800828,1.64692507,1.66653132,1.59464173,1.59464173,512,816,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.59464173,1.59464173
19800829,1.59464173,1.59464173,1.56850007,1.56850007,224,351,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.56850007,1.56850007
19800901,1.59464173,1.59464173,1.56850007,1.56850007,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",30.00000000,1.56850007
19800902,1.58157090,1.60117715,1.58157090,1.58157090,184,291,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.58157090,1.58157090
19800903,1.58157090,1.61424799,1.58157090,1.61424799,1208,1950,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.61424799,1.61424799
19800904,1.62078340,1.64692507,1.62078340,1.63385424,424,693,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.63385424,1.63385424
19800905,1.63385424,1.63385424,1.58810632,1.61424799,752,1214,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.61424799,1.61424799
19800908,1.61424799,1.62078340,1.59464173,1.59464173,248,395,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.59464173,1.59464173
19800909,1.59464173,1.59464173,1.56850007,1.59464173,1144,1824,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.59464173,1.59464173
19800910,1.59464173,1.60117715,1.58157090,1.59464173,456,727,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.59464173,1.59464173
19800911,1.60117715,1.64038965,1.60117715,1.64038965,360,591,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.64038965,1.64038965
19800912,1.64038965,1.66653132,1.62078340,1.66653132,464,773,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.66653132,1.66653132
19800915,1.66653132,1.66653132,1.64038965,1.64038965,936,1535,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.64038965,1.64038965
19800916,1.67306674,1.71227924,1.67306674,1.71227924,448,767,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.71227924,1.71227924
19800917,1.71227924,1.75149174,1.69920841,1.75149174,672,1177,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.75149174,1.75149174
19800918,1.75149174,1.75149174,1.73842091,1.73842091,2048,3560,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.73842091,1.73842091
19800919,1.72535007,1.72535007,1.68613757,1.68613757,712,1201,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.68613757,1.68613757
19800922,1.68613757,1.69267299,1.67960216,1.67960216,3720,6248,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.67960216,1.67960216
19800923,1.68613757,1.71881466,1.68613757,1.71227924,2464,4219,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.71227924,1.71227924
19800924,1.71881466,1.73842091,1.71881466,1.72535007,4664,8047,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.72535007,1.72535007
19800925,1.71881466,1.71881466,1.70574382,1.71227924,416,712,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.71227924,1.71227924
19800926,1.70574382,1.70574382,1.62078340,1.63385424,1248,2039,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.63385424,1.63385424
19800929,1.63385424,1.63385424,1.61424799,1.62078340,592,960,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.62078340,1.62078340
19800930,1.62078340,1.63385424,1.62078340,1.62078340,104,169,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.62078340,1.62078340
19801001,1.62078340,1.65346049,1.62078340,1.62078340,200,324,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.62078340,1.62078340
19801002,1.62731882,1.65346049,1.62731882,1.62731882,744,1211,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.62731882,1.62731882
19801003,1.62731882,1.64038965,1.60771257,1.60771257,1360,2186,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60771257,1.60771257
19801006,1.62078340,1.67960216,1.62078340,1.65999590,1232,2045,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.65999590,1.65999590
19801007,1.65999590,1.67306674,1.64692507,1.67306674,3536,5916,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.67306674,1.67306674
19801008,1.67306674,1.72535007,1.67306674,1.67306674,4384,7335,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.67306674,1.67306674
19801009,1.67960216,1.69920841,1.67960216,1.68613757,240,405,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.68613757,1.68613757
19801010,1.68613757,1.73842091,1.67960216,1.71227924,11000,18835,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.71227924,1.71227924
19801013,1.71227924,1.75802716,1.70574382,1.74495632,288,503,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.74495632,1.74495632
19801014,1.75149174,1.77763341,1.75149174,1.77763341,536,953,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.77763341,1.77763341
19801015,1.79070424,1.82338133,1.79070424,1.82338133,264,481,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.82338133,1.82338133
19801016,1.82338133,1.84298758,1.76456258,1.76456258,1568,2767,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.76456258,1.76456258
19801017,1.76456258,1.78416883,1.76456258,1.77109799,200,354,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.77109799,1.77109799
19801020,1.76456258,1.76456258,1.75149174,1.75149174,480,841,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.75149174,1.75149174
19801021,1.75149174,1.76456258,1.74495632,1.74495632,520,907,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.74495632,1.74495632
19801022,1.74495632,1.75149174,1.72535007,1.72535007,4064,7012,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.72535007,1.72535007
19801023,1.72535007,1.72535007,1.69267299,1.69920841,448,761,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.69920841,1.69920841
19801024,1.67960216,1.67960216,1.64692507,1.64692507,152,250,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.64692507,1.64692507
19801027,1.64692507,1.64692507,1.60771257,1.60771257,264,424,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",1.60771257,1.60771257
