Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19980630,9.28125000,9.43750000,9.03125000,9.37500000,64204,601913,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.37500000,9.37500000
19980701,9.46875000,9.56250000,9.28125000,9.31250000,9834,91579,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.31250000,9.31250000
19980702,9.46875000,9.46875000,8.93750000,9.28125000,10980,101908,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.28125000,9.28125000
19980703,9.46875000,9.46875000,8.93750000,9.28125000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",18.56250000,9.28125000
19980706,9.15625000,9.31250000,9.15625000,9.31250000,5040,46935,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.31250000,9.31250000
19980707,9.31250000,9.62500000,9.28125000,9.59375000,7384,70840,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.59375000,9.59375000
19980708,9.65625000,9.65625000,9.50000000,9.50000000,4522,42959,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.50000000,9.50000000
19980709,9.50000000,9.62500000,9.50000000,9.59375000,2122,20358,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.59375000,9.59375000
19980710,9.53125000,9.59375000,9.50000000,9.59375000,5544,53188,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.59375000,9.59375000
19980713,9.53125000,9.65625000,9.53125000,9.65625000,1564,15102,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.65625000,9.65625000
19980714,9.68750000,10.06250000,9.68750000,10.00000000,5486,54860,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.00000000,10.00000000
19980715,10.15625000,10.81250000,10.15625000,10.59375000,3224,34154,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.59375000,10.59375000
19980716,10.65625000,11.87500000,10.56250000,11.75000000,4502,52899,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",11.75000000,11.75000000
19980717,11.84375000,12.18750000,11.56250000,11.75000000,10142,119169,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",11.75000000,11.75000000
19980720,11.75000000,11.75000000,11.21875000,11.21875000,6306,70745,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",11.21875000,11.21875000
19980721,11.21875000,11.25000000,11.12500000,11.18750000,2810,31437,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",11.18750000,11.18750000
19980722,11.18750000,11.18750000,10.56250000,10.59375000,3520,37290,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.59375000,10.59375000
19980723,10.56250000,10.56250000,9.87500000,10.00000000,4376,43760,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.00000000,10.00000000
19980724,10.06250000,10.46875000,10.06250000,10.46875000,9972,104394,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.46875000,10.46875000
19980727,10.40625000,10.87500000,10.31250000,10.50000000,2036,21378,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.50000000,10.50000000
19980728,10.68750000,11.00000000,10.68750000,10.90625000,6542,71349,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.90625000,10.90625000
19980729,10.93750000,11.31250000,10.93750000,11.25000000,1696,19080,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",11.25000000,11.25000000
19980730,11.25000000,11.28125000,11.06250000,11.09375000,2640,29288,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",11.09375000,11.09375000
19980731,11.09375000,11.09375000,10.78125000,10.84375000,1650,17892,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.84375000,10.84375000
19980803,10.71875000,10.71875000,10.46875000,10.46875000,1438,15054,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",10.46875000,10.46875000
19980804,10.37500000,10.50000000,9.75000000,9.81250000,2806,27534,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.81250000,9.81250000
19980805,9.81250000,9.84375000,9.37500000,9.43750000,2368,22348,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.43750000,9.43750000
19980806,9.37500000,9.37500000,8.56250000,8.75000000,2626,22978,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.75000000,8.75000000
19980807,8.87500000,9.25000000,8.78125000,8.93750000,4538,40558,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.93750000,8.93750000
19980810,9.00000000,9.00000000,8.40625000,8.56250000,1100,9419,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.56250000,8.56250000
19980811,8.40625000,8.40625000,7.87500000,8.00000000,2502,20016,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.00000000,8.00000000
19980812,8.00000000,8.34375000,7.96875000,8.18750000,9314,76258,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.18750000,8.18750000
19980813,8.18750000,8.50000000,8.18750000,8.37500000,3064,25661,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.37500000,8.37500000
19980814,8.43750000,8.62500000,8.37500000,8.50000000,2512,21352,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.50000000,8.50000000
19980817,8.43750000,8.78125000,8.43750000,8.78125000,408,3583,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.78125000,8.78125000
19980818,8.84375000,9.18750000,8.84375000,9.18750000,1340,12311,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.18750000,9.18750000
19980819,9.18750000,9.40625000,9.06250000,9.09375000,744,6766,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",9.09375000,9.09375000
19980820,9.15625000,9.15625000,8.71875000,8.78125000,616,5409,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.78125000,8.78125000
19980821,8.68750000,8.75000000,8.28125000,8.71875000,920,8021,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.71875000,8.71875000
19980824,8.71875000,8.75000000,8.56250000,8.68750000,266,2311,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.68750000,8.68750000
19980825,8.75000000,8.84375000,8.71875000,8.75000000,748,6545,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.75000000,8.75000000
19980826,8.62500000,8.62500000,8.18750000,8.28125000,1556,12886,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.28125000,8.28125000
19980827,8.21875000,8.21875000,7.00000000,7.31250000,20328,148649,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.31250000,7.31250000
19980828,7.37500000,7.46875000,7.18750000,7.28125000,2340,17038,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.28125000,7.28125000
19980831,7.28125000,7.31250000,6.75000000,6.78125000,1830,12410,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",6.78125000,6.78125000
19980901,6.75000000,7.09375000,6.75000000,7.06250000,2148,15170,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.06250000,7.06250000
19980902,7.25000000,7.68750000,7.25000000,7.59375000,824,6257,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.59375000,7.59375000
19980903,7.50000000,7.65625000,7.43750000,7.59375000,314,2384,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.59375000,7.59375000
19980904,7.65625000,7.65625000,7.56250000,7.62500000,496,3782,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.62500000,7.62500000
19980907,7.65625000,7.65625000,7.56250000,7.62500000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",15.25000000,7.62500000
19980908,7.75000000,8.18750000,7.75000000,8.18750000,498,4077,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.18750000,8.18750000
19980909,8.06250000,8.25000000,8.00000000,8.21875000,3210,26382,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.21875000,8.21875000
19980910,8.03125000,8.09375000,7.93750000,8.00000000,1096,8768,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.00000000,8.00000000
19980911,8.03125000,8.03125000,7.78125000,7.81250000,408,3188,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.81250000,7.81250000
19980914,7.87500000,8.03125000,7.84375000,7.96875000,396,3156,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.96875000,7.96875000
19980915,8.00000000,8.21875000,7.93750000,8.12500000,6100,49563,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.12500000,8.12500000
19980916,8.15625000,8.18750000,8.09375000,8.15625000,636,5187,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",8.15625000,8.15625000
19980917,8.00000000,8.00000000,7.84375000,7.90625000,408,3226,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.90625000,7.90625000
19980918,7.81250000,7.84375000,7.71875000,7.81250000,700,5469,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.81250000,7.81250000
19980921,7.75000000,7.75000000,7.53125000,7.71875000,142,1096,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.71875000,7.71875000
19980922,7.78125000,7.81250000,7.71875000,7.71875000,278,2146,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.71875000,7.71875000
19980923,7.68750000,7.75000000,7.50000000,7.75000000,694,5379,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.75000000,7.75000000
19980924,7.53125000,7.75000000,7.50000000,7.62500000,2324,17721,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.62500000,7.62500000
19980925,7.62500000,7.62500000,7.50000000,7.50000000,356,2670,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.50000000,7.50000000
19980928,7.50000000,7.50000000,7.34375000,7.34375000,454,3334,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.34375000,7.34375000
19980929,7.40625000,7.43750000,7.00000000,7.00000000,1254,8778,N/A,N/A,0,-5,"NYSE","Technology","Technology/Hardware","Common Stock",7.00000000,7.00000000
