Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20181029,9.70000000,9.70000000,9.60000000,9.60000000,2611,25066,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181030,9.60000000,9.60000000,9.60000000,9.60000000,201,1930,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181031,9.60000000,9.60000000,9.60000000,9.60000000,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181101,9.60000000,9.60000000,9.60000000,9.60000000,1,10,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181102,9.54000000,9.61000000,9.54000000,9.61000000,10001,96110,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.61000000,9.61000000
20181105,9.60000000,9.60000000,9.54000000,9.60000000,2512,24115,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181106,9.62000000,9.62000000,9.55000000,9.60000000,1073,10301,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181107,9.60000000,9.60000000,9.60000000,9.60000000,1,10,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181108,9.55000000,9.58000000,9.53000000,9.56000000,1310,12524,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181109,9.60000000,9.60000000,9.60000000,9.60000000,4,38,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181112,9.60000000,9.60000000,9.60000000,9.60000000,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20181113,9.58000000,9.58000000,9.58000000,9.58000000,20,192,N/A,N/A,661020,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20181114,9.54000000,9.59000000,9.54000000,9.58000000,69,661,N/A,N/A,661020,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20181115,9.58000000,9.58000000,9.58000000,9.58000000,0,0,N/A,N/A,661020,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20181116,9.56000000,9.56000000,9.56000000,9.56000000,1,10,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181119,9.55000000,9.56000000,9.55000000,9.55000000,2106,20112,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20181120,9.56000000,9.56000000,9.56000000,9.56000000,17,163,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181121,9.63000000,9.63000000,9.58000000,9.58000000,20,192,N/A,N/A,661020,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20181122,9.63000000,9.63000000,9.58000000,9.58000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20181123,9.55000000,9.57000000,9.55000000,9.55000000,5301,50625,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20181126,9.58000000,9.58000000,9.50000000,9.56000000,900,8604,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181127,9.55000000,9.55000000,9.55000000,9.55000000,368,3514,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20181128,9.56000000,9.56000000,9.55000000,9.56000000,371,3547,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181129,9.55000000,9.60000000,9.55000000,9.55000000,3771,36013,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20181130,9.57000000,9.57000000,9.57000000,9.57000000,2,19,N/A,N/A,660330,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20181203,9.57000000,9.57000000,9.57000000,9.57000000,0,0,N/A,N/A,660330,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20181204,9.52000000,9.60000000,9.52000000,9.57000000,527,5043,N/A,N/A,660330,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20181205,9.52000000,9.60000000,9.52000000,9.57000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20181206,9.60000000,9.60000000,9.56000000,9.56000000,3921,37485,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181207,9.57000000,9.57000000,9.57000000,9.57000000,10,96,N/A,N/A,660330,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20181210,9.56000000,9.56000000,9.54000000,9.54000000,5110,48749,N/A,N/A,658260,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.54000000,9.54000000
20181211,9.60000000,9.60000000,9.54000000,9.55000000,15464,147681,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20181212,9.56000000,9.58000000,9.55000000,9.56000000,950,9082,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181213,9.56000000,9.57000000,9.56000000,9.56000000,360,3442,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181214,9.56000000,9.56000000,9.56000000,9.56000000,1386,13250,N/A,N/A,659640,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.56000000,9.56000000
20181217,9.53000000,9.56000000,9.52000000,9.55000000,9042,86351,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20181218,9.54000000,9.55000000,9.54000000,9.54000000,6669,63622,N/A,N/A,658260,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.54000000,9.54000000
20181219,9.54000000,9.56000000,9.54000000,9.54000000,1112,10608,N/A,N/A,658260,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.54000000,9.54000000
20181220,9.55000000,9.57000000,9.54000000,9.57000000,41,392,N/A,N/A,660330,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20181221,9.56000000,9.57000000,9.54000000,9.54000000,747,7126,N/A,N/A,658260,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.54000000,9.54000000
20181224,9.57000000,9.57000000,9.54000000,9.54000000,62,591,N/A,N/A,658260,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.54000000,9.54000000
20181225,9.57000000,9.57000000,9.54000000,9.54000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.54000000,9.54000000
20181226,9.54000000,9.54000000,9.54000000,9.54000000,13,124,N/A,N/A,658260,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.54000000,9.54000000
20181227,9.53000000,9.57000000,9.53000000,9.57000000,64,612,N/A,N/A,660330,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20181228,9.56000000,9.57000000,9.55000000,9.55000000,391,3734,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20181231,9.57000000,9.57000000,9.54000000,9.55000000,45,430,N/A,N/A,658950,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20190101,9.57000000,9.57000000,9.54000000,9.55000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.55000000,9.55000000
20190102,9.53000000,9.58000000,9.53000000,9.58000000,2298,22015,N/A,N/A,661020,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20190103,9.58000000,9.60000000,9.56000000,9.58000000,3541,33923,N/A,N/A,661020,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20190104,9.55000000,9.60000000,9.55000000,9.60000000,381,3658,N/A,N/A,662400,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20190107,9.61000000,9.61000000,9.56000000,9.58000000,2447,23442,N/A,N/A,661020,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20190108,9.60000000,9.60000000,9.57000000,9.59000000,2893,27744,N/A,N/A,661710,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.59000000,9.59000000
20190109,9.60000000,9.60000000,9.57000000,9.59000000,20983,201227,N/A,N/A,661710,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.59000000,9.59000000
20190110,9.60000000,9.60000000,9.60000000,9.60000000,12,115,N/A,N/A,662400,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20190111,9.60000000,9.60000000,9.57000000,9.59000000,587,5629,N/A,N/A,661710,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.59000000,9.59000000
20190114,10.00000000,10.00000000,9.89000000,9.90000000,56036,554756,N/A,N/A,683100,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.90000000,9.90000000
20190115,9.93000000,9.95000000,9.91000000,9.93000000,13964,138663,N/A,N/A,685170,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.93000000,9.93000000
20190116,9.91000000,10.10000000,9.91000000,10.05000000,80785,811889,N/A,N/A,693450,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",10.05000000,10.05000000
20190117,10.06000000,10.29000000,10.06000000,10.24000000,41401,423946,N/A,N/A,706560,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",10.24000000,10.24000000
20190118,10.25000000,10.51000000,10.22000000,10.44000000,83339,870059,N/A,N/A,720360,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",10.44000000,10.44000000
20190121,10.25000000,10.51000000,10.22000000,10.44000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",10.44000000,10.44000000
20190122,10.44000000,10.45000000,10.31000000,10.44000000,27755,289762,N/A,N/A,720360,69000,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",10.44000000,10.44000000
