Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.85627389,1.91509947,1.85627389,1.91509947,1792,3432,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.91509947,1.91509947
19800804,1.91509947,1.92163565,1.82359301,1.84973771,2680,4957,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.84973771,1.84973771
19800805,1.84973771,1.86934624,1.83012919,1.84973771,336,622,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.84973771,1.84973771
19800806,1.84973771,1.84973771,1.81705683,1.84320154,600,1106,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.84320154,1.84320154
19800807,1.83012919,1.83012919,1.82359301,1.82359301,88,160,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.82359301,1.82359301
19800808,1.82359301,1.82359301,1.79091213,1.80398448,496,895,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.80398448,1.80398448
19800811,1.79091213,1.79091213,1.77783978,1.77783978,272,484,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.77783978,1.77783978
19800812,1.79091213,1.80398448,1.79091213,1.79091213,200,358,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.79091213,1.79091213
19800813,1.79091213,1.83012919,1.75169508,1.79091213,2112,3782,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.79091213,1.79091213
19800814,1.79091213,1.80398448,1.77783978,1.80398448,152,274,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.80398448,1.80398448
19800815,1.80398448,1.80398448,1.78437596,1.80398448,400,722,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.80398448,1.80398448
19800818,1.80398448,1.80398448,1.76476743,1.77783978,264,469,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.77783978,1.77783978
