Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20031212,6.81370736,7.43218233,6.81370736,7.20680586,58711,423119,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.20680586,7.20680586
20031215,7.20680586,7.46887153,7.20680586,7.44266496,4585,34125,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.44266496,7.44266496
20031216,7.39025183,7.43218233,7.33783869,7.36928657,2905,21408,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.36928657,7.36928657
20031217,7.36928657,7.43742365,7.29066687,7.41645839,3017,22375,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.41645839,7.41645839
20031218,7.39025183,7.46887153,7.33783869,7.34832132,3669,26961,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.34832132,7.34832132
20031219,7.34832132,7.41645839,7.33783869,7.33783869,853,6259,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.33783869,7.33783869
20031222,7.37976920,7.37976920,7.29590819,7.36404526,1690,12445,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.36404526,7.36404526
20031223,7.39025183,7.41645839,7.34308001,7.39025183,487,3599,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.39025183,7.39025183
20031224,7.39025183,7.54749123,7.36404526,7.49507809,378,2833,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.49507809,7.49507809
20031225,7.39025183,7.54749123,7.36404526,7.49507809,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.30000000,7.49507809
20031226,7.47935415,7.57369779,7.42169971,7.44266496,1175,8745,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.44266496,7.44266496
20031229,7.49507809,7.54749123,7.29066687,7.44266496,2161,16084,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",7.44266496,7.44266496
