Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,2.81353491,2.81353491,2.81353491,2.81353491,309,869,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.81353491,2.81353491
19800804,2.81353491,2.81353491,2.81353491,2.81353491,87,245,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.81353491,2.81353491
19800805,2.81353491,2.81353491,2.76957342,2.76957342,174,482,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.76957342,2.76957342
19800806,2.76957342,2.76957342,2.72561194,2.72561194,195,531,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.72561194,2.72561194
19800807,2.74759268,2.79155416,2.74759268,2.76957342,342,947,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.76957342,2.76957342
19800808,2.76957342,2.79155416,2.76957342,2.76957342,210,582,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.76957342,2.76957342
19800811,2.74759268,2.74759268,2.70363120,2.72561194,366,998,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.72561194,2.72561194
19800812,2.72561194,2.76957342,2.70363120,2.70363120,327,884,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.70363120,2.70363120
19800813,2.72561194,2.72561194,2.72561194,2.72561194,252,687,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.72561194,2.72561194
19800814,2.72561194,2.72561194,2.70363120,2.72561194,129,352,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.72561194,2.72561194
19800815,2.72561194,2.76957342,2.63768897,2.74759268,390,1072,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.74759268,2.74759268
19800818,2.74759268,2.74759268,2.74759268,2.74759268,393,1080,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",2.74759268,2.74759268
