Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20030910,16.71282510,17.79763322,16.71282510,16.95012688,2660,45087,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.95012688,16.95012688
20030911,17.37388005,19.06889274,17.37388005,18.43326298,31552,581606,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.43326298,18.43326298
20030912,18.64513957,19.06889274,17.15352840,17.19590372,44089,758150,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",17.19590372,17.19590372
20030915,16.78062561,17.28912942,16.39924776,17.06030271,33135,565293,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",17.06030271,17.06030271
20030916,16.90775156,16.95012688,15.59411673,15.71276762,42180,662765,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",15.71276762,15.71276762
20030917,15.61954192,16.43314801,15.00086229,16.38229763,52538,860693,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.38229763,16.38229763
20030918,16.22974649,16.48399839,16.02634497,16.24669661,21495,349223,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.24669661,16.24669661
20030919,16.27212181,16.61112434,16.10262054,16.22974649,23000,373284,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.22974649,16.22974649
20030922,16.07719535,16.22127142,15.47546584,15.84836863,16054,254430,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",15.84836863,15.84836863
20030923,15.84836863,16.67892485,15.72124268,16.48399839,18743,308960,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.48399839,16.48399839
20030924,16.48399839,16.69587498,15.93311927,15.99244471,15010,240047,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",15.99244471,15.99244471
20030925,16.06024522,16.18737117,15.75514294,16.01786990,24067,385502,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.01786990,16.01786990
20030926,16.01786990,16.33992231,15.72971774,15.80599332,14171,223987,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",15.80599332,15.80599332
20030929,15.89074395,15.96701952,15.12798824,15.58564167,23984,373806,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",15.58564167,15.58564167
20030930,15.50936610,15.67886736,15.15341343,15.30596457,15570,238314,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",15.30596457,15.30596457
20031001,15.30596457,16.22974649,15.29748951,16.18737117,33454,541532,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.18737117,16.18737117
20031002,16.18737117,17.24675410,16.14499585,17.17895359,35801,615024,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",17.17895359,17.17895359
20031003,17.28912942,17.84000854,17.08572790,17.28912942,23256,402076,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",17.28912942,17.28912942
20031006,16.72130017,16.78062561,15.89074395,16.62807447,44079,732949,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.62807447,16.62807447
20031007,16.44162307,16.49247345,16.27212181,16.35687244,37241,609146,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.35687244,16.35687244
20031008,16.35687244,16.60264928,16.10262054,16.54332384,46940,776544,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.54332384,16.54332384
20031009,16.65349966,17.03487751,16.61112434,16.82300093,33806,568718,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",16.82300093,16.82300093
20031010,16.82300093,17.21285385,16.76367548,17.11115309,26875,459862,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",17.11115309,17.11115309
20031013,16.92470169,17.06877777,16.91622663,17.00945232,12332,209761,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",17.00945232,17.00945232
20031014,17.01792739,17.57728157,16.95012688,17.44168056,25558,445774,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",17.44168056,17.44168056
