Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.55311827,0.55311827,0.54114602,0.54593492,3477,1898,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54593492,0.54593492
19800804,0.54354047,0.54354047,0.52917376,0.53396266,7174,3831,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53396266,0.53396266
19800805,0.53396266,0.54114602,0.52917376,0.53396266,17826,9518,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53396266,0.53396266
19800806,0.53396266,0.53635711,0.53156821,0.53396266,1466,783,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53396266,0.53396266
19800807,0.53396266,0.53875157,0.53156821,0.53635711,2726,1462,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53635711,0.53635711
19800808,0.53635711,0.54114602,0.53635711,0.54114602,1032,558,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54114602,0.54114602
19800811,0.54938682,0.54938682,0.54448158,0.54693420,2573,1407,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54693420,0.54693420
19800812,0.54693420,0.54938682,0.54202896,0.54448158,2694,1467,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54448158,0.54448158
19800813,0.54448158,0.54938682,0.54202896,0.54202896,808,438,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54202896,0.54202896
19800814,0.54202896,0.54693420,0.53957634,0.54202896,552,299,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54202896,0.54202896
19800815,0.54202896,0.54693420,0.53957634,0.54693420,1598,874,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54693420,0.54693420
19800818,0.54693420,0.54693420,0.54202896,0.54448158,1196,651,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54448158,0.54448158
19800819,0.54448158,0.54693420,0.53221848,0.53467110,2936,1570,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53467110,0.53467110
19800820,0.53221848,0.53221848,0.51750276,0.52731324,2071,1092,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52731324,0.52731324
19800821,0.52731324,0.52976586,0.51505014,0.52240800,7651,3997,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52240800,0.52240800
19800822,0.52486062,0.53221848,0.52486062,0.53221848,1402,746,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53221848,0.53221848
19800825,0.53221848,0.53221848,0.52486062,0.52486062,1281,672,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52486062,0.52486062
19800826,0.52486062,0.52976586,0.51995538,0.52240800,1384,723,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52240800,0.52240800
19800827,0.52976586,0.53467110,0.52976586,0.53467110,5715,3056,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53467110,0.53467110
19800828,0.53467110,0.53467110,0.52976586,0.52976586,1399,741,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
19800829,0.52976586,0.53712372,0.52976586,0.53221848,1270,676,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53221848,0.53221848
19800901,0.52976586,0.53712372,0.52976586,0.53221848,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.12500000,0.53221848
19800902,0.53221848,0.53467110,0.52731324,0.53467110,2740,1465,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53467110,0.53467110
19800903,0.53467110,0.54938682,0.53467110,0.54448158,2338,1273,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54448158,0.54448158
19800904,0.54448158,0.56410254,0.54448158,0.55429206,4584,2541,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.55429206,0.55429206
19800905,0.55429206,0.55429206,0.54693420,0.55183944,719,397,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.55183944,0.55183944
19800908,0.55183944,0.55183944,0.53467110,0.53712372,1349,725,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53712372,0.53712372
19800909,0.53712372,0.54938682,0.53467110,0.54693420,1046,572,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54693420,0.54693420
19800910,0.54693420,0.55183944,0.54448158,0.54693420,5868,3209,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54693420,0.54693420
19800911,0.54693420,0.54693420,0.53957634,0.54202896,3907,2118,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54202896,0.54202896
19800912,0.54202896,0.54448158,0.53221848,0.53221848,1975,1051,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53221848,0.53221848
19800915,0.53221848,0.53221848,0.52976586,0.52976586,1206,639,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
19800916,0.52976586,0.53467110,0.52731324,0.52976586,4616,2445,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
19800917,0.52976586,0.53957634,0.52976586,0.53712372,6021,3234,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53712372,0.53712372
19800918,0.53957634,0.55183944,0.53957634,0.54202896,2936,1591,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54202896,0.54202896
19800919,0.54202896,0.54448158,0.54202896,0.54202896,1078,584,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.54202896,0.54202896
19800922,0.54202896,0.54448158,0.53712372,0.53712372,2039,1095,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53712372,0.53712372
19800923,0.53712372,0.53712372,0.52731324,0.52731324,1388,732,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52731324,0.52731324
19800924,0.52731324,0.52976586,0.52486062,0.52976586,943,500,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
19800925,0.52976586,0.53221848,0.52486062,0.52731324,1488,785,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52731324,0.52731324
19800926,0.52731324,0.52731324,0.51505014,0.51995538,1445,751,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51995538,0.51995538
19800929,0.51995538,0.51995538,0.51505014,0.51505014,904,466,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51505014,0.51505014
19800930,0.51505014,0.52240800,0.51505014,0.51995538,463,241,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51995538,0.51995538
19801001,0.51995538,0.52240800,0.51505014,0.51995538,1060,551,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51995538,0.51995538
19801002,0.51995538,0.51995538,0.51505014,0.51505014,10658,5489,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51505014,0.51505014
19801003,0.51505014,0.51750276,0.51505014,0.51750276,4730,2448,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51750276,0.51750276
19801006,0.51750276,0.52731324,0.51014490,0.51750276,23790,12311,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51750276,0.51750276
19801007,0.51995538,0.52731324,0.51995538,0.52486062,6217,3263,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52486062,0.52486062
19801008,0.52486062,0.52486062,0.51995538,0.51995538,6285,3268,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.51995538,0.51995538
19801009,0.51995538,0.52976586,0.51995538,0.52731324,5530,2916,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52731324,0.52731324
19801010,0.52731324,0.53467110,0.52240800,0.52976586,4641,2459,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
19801013,0.52976586,0.53957634,0.52976586,0.52976586,1096,581,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
19801014,0.52976586,0.53467110,0.52486062,0.52976586,5904,3128,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
19801015,0.52976586,0.53467110,0.52976586,0.53221848,1950,1038,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53221848,0.53221848
19801016,0.53221848,0.53712372,0.53221848,0.53221848,4043,2152,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.53221848,0.53221848
19801017,0.53221848,0.53467110,0.52976586,0.52976586,2868,1519,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Gas","Common Stock",0.52976586,0.52976586
