Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210616,14.00000000,14.29000000,12.53000000,13.00000000,119194,1549522,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.00000000,13.00000000
20210617,13.02000000,13.29000000,12.29000000,12.64000000,9764,123417,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.64000000,12.64000000
20210618,12.30000000,13.31000000,12.08000000,12.20000000,6626,80837,N/A,N/A,890762,73013,"NYSE","","","Common Stock",12.20000000,12.20000000
20210621,12.15000000,12.48000000,11.50000000,11.73000000,5046,59190,N/A,N/A,856446,73013,"NYSE","","","Common Stock",11.73000000,11.73000000
20210622,11.72000000,11.94000000,11.39300000,11.50000000,1378,15847,N/A,N/A,839653,73013,"NYSE","","","Common Stock",11.50000000,11.50000000
20210623,11.21000000,11.56000000,10.90000000,11.04000000,4929,54416,N/A,N/A,806067,73013,"NYSE","","","Common Stock",11.04000000,11.04000000
20210624,10.99000000,11.15000000,10.79000000,10.84000000,3532,38287,N/A,N/A,791464,73013,"NYSE","","","Common Stock",10.84000000,10.84000000
20210625,10.70000000,11.25000000,10.55000000,11.12000000,5549,61705,N/A,N/A,811908,73013,"NYSE","","","Common Stock",11.12000000,11.12000000
20210628,11.25000000,11.25000000,10.95000000,11.04000000,3083,34036,N/A,N/A,806067,73013,"NYSE","","","Common Stock",11.04000000,11.04000000
20210629,10.86000000,11.39000000,10.79000000,10.88000000,5414,58904,N/A,N/A,794385,73013,"NYSE","","","Common Stock",10.88000000,10.88000000
20210630,10.72000000,11.85000000,10.66000000,11.38000000,3934,44769,N/A,N/A,830891,73013,"NYSE","","","Common Stock",11.38000000,11.38000000
20210701,11.22000000,11.48000000,11.07000000,11.35000000,1898,21542,N/A,N/A,828701,73013,"NYSE","","","Common Stock",11.35000000,11.35000000
20210702,11.26000000,11.30000000,10.93000000,11.01000000,1255,13818,N/A,N/A,803876,73013,"NYSE","","","Common Stock",11.01000000,11.01000000
20210705,11.26000000,11.30000000,10.93000000,11.01000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",11.01000000,11.01000000
20210706,10.91000000,10.93000000,10.37000000,10.57000000,2634,27841,N/A,N/A,771750,73013,"NYSE","","","Common Stock",10.57000000,10.57000000
20210707,10.48000000,10.54000000,9.96000000,9.98000000,2871,28653,N/A,N/A,728673,73013,"NYSE","","","Common Stock",9.98000000,9.98000000
20210708,9.80000000,9.87500000,9.11000000,9.42000000,5496,51772,N/A,N/A,687785,73013,"NYSE","","","Common Stock",9.42000000,9.42000000
20210709,9.34000000,9.92000000,9.34000000,9.88000000,3795,37495,N/A,N/A,721371,73013,"NYSE","","","Common Stock",9.88000000,9.88000000
20210712,10.13000000,10.33000000,9.74000000,9.78000000,4219,41262,N/A,N/A,714070,73013,"NYSE","","","Common Stock",9.78000000,9.78000000
20210713,9.81000000,9.88000000,9.20000000,9.41000000,3691,34732,N/A,N/A,687055,73013,"NYSE","","","Common Stock",9.41000000,9.41000000
20210714,9.50000000,9.61000000,8.73000000,8.79000000,5846,51386,N/A,N/A,641787,73013,"NYSE","","","Common Stock",8.79000000,8.79000000
20210715,8.75000000,8.75000000,8.21000000,8.50000000,3736,31756,N/A,N/A,620613,73013,"NYSE","","","Common Stock",8.50000000,8.50000000
20210716,8.54000000,8.69000000,8.16500000,8.22000000,2365,19440,N/A,N/A,600169,73013,"NYSE","","","Common Stock",8.22000000,8.22000000
20210719,8.03000000,8.16000000,7.79000000,7.87000000,2352,18510,N/A,N/A,574615,73013,"NYSE","","","Common Stock",7.87000000,7.87000000
20210720,7.80000000,8.05000000,7.71000000,7.85000000,2428,19060,N/A,N/A,573154,73013,"NYSE","","","Common Stock",7.85000000,7.85000000
20210721,7.86000000,8.03000000,7.70000000,7.98000000,1728,13789,N/A,N/A,582646,73013,"NYSE","","","Common Stock",7.98000000,7.98000000
20210722,7.99000000,9.26000000,7.75000000,9.07000000,5145,46665,N/A,N/A,662231,73013,"NYSE","","","Common Stock",9.07000000,9.07000000
20210723,9.09000000,9.14000000,8.85000000,9.00000000,2271,20439,N/A,N/A,657120,73013,"NYSE","","","Common Stock",9.00000000,9.00000000
20210726,8.87000000,9.04000000,8.85000000,8.90000000,1338,11908,N/A,N/A,649818,73013,"NYSE","","","Common Stock",8.90000000,8.90000000
20210727,8.78000000,8.84700000,8.20000000,8.42000000,1961,16512,N/A,N/A,614772,73013,"NYSE","","","Common Stock",8.42000000,8.42000000
20210728,8.53000000,8.85000000,8.35400000,8.56000000,864,7396,N/A,N/A,624994,73013,"NYSE","","","Common Stock",8.56000000,8.56000000
20210729,8.70000000,8.82000000,8.40000000,8.63000000,825,7120,N/A,N/A,630105,73013,"NYSE","","","Common Stock",8.63000000,8.63000000
20210730,8.67000000,9.17000000,8.53000000,8.98000000,1238,11117,N/A,N/A,655659,73013,"NYSE","","","Common Stock",8.98000000,8.98000000
