Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20070509,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070510,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070511,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070514,5.42587654,5.42587654,5.40607407,5.40607407,425,2298,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.40607407,5.40607407
20070515,5.40607407,5.40607407,5.40607407,5.40607407,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.40607407,5.40607407
20070516,5.43577778,5.44567901,5.43577778,5.44567901,50,272,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070517,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070518,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070521,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070522,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070523,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070524,5.44567901,5.44567901,5.44567901,5.44567901,30,163,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070525,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070528,5.44567901,5.44567901,5.44567901,5.44567901,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.50000000,5.44567901
20070529,5.43577778,5.43577778,5.43577778,5.43577778,50,272,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070530,5.43577778,5.43577778,5.43577778,5.43577778,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070531,5.43577778,5.43577778,5.43577778,5.43577778,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070601,5.49518519,5.49518519,5.49518519,5.49518519,20,110,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.49518519,5.49518519
20070604,5.49518519,5.49518519,5.49518519,5.49518519,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.49518519,5.49518519
20070605,5.44567901,5.44567901,5.44567901,5.44567901,10,54,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070606,5.43577778,5.43577778,5.43577778,5.43577778,5,27,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070607,5.43577778,5.43577778,5.43577778,5.43577778,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070608,5.43577778,5.43577778,5.43577778,5.43577778,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070611,5.43577778,5.43577778,5.43577778,5.43577778,45,245,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070612,5.43577778,5.43577778,5.43577778,5.43577778,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070613,5.43577778,5.43577778,5.43577778,5.43577778,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.43577778,5.43577778
20070614,5.44567901,5.44567901,5.44567901,5.44567901,40,218,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070615,5.44567901,5.44567901,5.44567901,5.44567901,5,27,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.44567901,5.44567901
20070618,5.45558025,5.45558025,5.45558025,5.45558025,30,164,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.45558025,5.45558025
20070619,5.45558025,5.45558025,5.45558025,5.45558025,20,109,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.45558025,5.45558025
20070620,5.45558025,5.45558025,5.45558025,5.45558025,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.45558025,5.45558025
20070621,5.45558025,5.45558025,5.45558025,5.45558025,0,0,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Biotechnology","Common Stock",5.45558025,5.45558025
