Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210401,21.25000000,22.11000000,19.75000000,20.15000000,135776,2735886,N/A,N/A,0,-5,"NYSE","","","Common Stock",20.15000000,20.15000000
20210402,21.25000000,22.11000000,19.75000000,20.15000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",20.15000000,20.15000000
20210405,21.10000000,21.10000000,17.50000000,18.59000000,71737,1333591,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.59000000,18.59000000
20210406,18.78000000,19.55000000,18.15000000,18.70000000,22727,424995,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.70000000,18.70000000
20210407,18.57000000,18.97000000,17.00000000,17.20000000,26266,451775,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.20000000,17.20000000
20210408,17.25000000,17.85600000,16.75000000,16.81000000,15316,257462,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.81000000,16.81000000
20210409,16.75000000,17.56000000,16.50000000,17.31000000,9995,173013,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.31000000,17.31000000
20210412,17.45000000,17.49000000,16.95000000,17.11000000,9848,168499,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.11000000,17.11000000
20210413,17.25000000,17.82000000,17.13000000,17.52000000,7117,124690,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.52000000,17.52000000
20210414,17.46000000,18.24500000,17.36000000,17.99000000,9520,171265,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.99000000,17.99000000
20210415,18.24000000,18.38000000,17.80000000,18.27000000,7247,132403,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.27000000,18.27000000
20210416,18.25000000,18.35000000,17.90000000,18.03000000,8079,145664,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.03000000,18.03000000
20210419,18.17000000,18.64000000,17.08000000,17.78000000,10054,178760,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.78000000,17.78000000
20210420,17.68000000,17.75000000,17.00000000,17.22000000,13004,223929,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.22000000,17.22000000
20210421,17.15000000,17.72000000,17.10400000,17.70000000,8728,154486,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.70000000,17.70000000
20210422,17.87000000,17.91000000,17.33000000,17.50000000,7678,134365,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.50000000,17.50000000
20210423,17.42000000,17.95000000,17.42000000,17.62000000,4202,74039,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.62000000,17.62000000
20210426,18.25000000,18.47000000,17.93000000,18.00000000,9631,173358,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.00000000,18.00000000
20210427,17.85000000,18.10000000,17.67000000,18.00000000,5720,102960,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.00000000,18.00000000
20210428,18.14000000,18.73000000,18.06000000,18.73000000,8021,150233,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.73000000,18.73000000
20210429,19.14000000,19.40000000,18.73000000,18.83000000,9984,187999,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.83000000,18.83000000
20210430,18.70000000,19.24000000,18.70000000,19.02000000,5379,102309,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.02000000,19.02000000
20210503,19.37000000,19.39000000,18.25000000,18.28000000,3086,56412,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.28000000,18.28000000
20210504,18.26000000,18.40000000,17.25000000,17.61000000,7214,127039,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.61000000,17.61000000
20210505,17.72000000,17.84000000,17.04000000,17.09000000,5655,96644,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.09000000,17.09000000
20210506,17.07000000,17.10000000,16.14000000,16.50000000,10302,169983,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.50000000,16.50000000
20210507,16.58000000,17.04000000,16.57000000,16.91000000,4397,74353,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.91000000,16.91000000
20210510,16.87000000,17.01500000,16.20000000,16.34000000,3417,55834,N/A,N/A,6437520,393973,"NYSE","","","Common Stock",16.34000000,16.34000000
20210511,16.04000000,16.08000000,15.11000000,15.43000000,10587,163357,N/A,N/A,6079005,393973,"NYSE","","","Common Stock",15.43000000,15.43000000
20210512,15.43000000,15.43000000,14.19000000,14.45000000,11283,163039,N/A,N/A,5692911,393973,"NYSE","","","Common Stock",14.45000000,14.45000000
20210513,16.13000000,16.20000000,13.51000000,13.66000000,30426,415619,N/A,N/A,5381672,393973,"NYSE","","","Common Stock",13.66000000,13.66000000
20210514,13.92000000,14.75000000,13.85700000,14.15000000,9408,133123,N/A,N/A,5574719,393973,"NYSE","","","Common Stock",14.15000000,14.15000000
20210517,14.47000000,14.62000000,13.85000000,14.07000000,8186,115177,N/A,N/A,5543201,393973,"NYSE","","","Common Stock",14.07000000,14.07000000
20210518,14.13000000,14.63000000,14.13000000,14.21000000,6046,85914,N/A,N/A,5598358,393973,"NYSE","","","Common Stock",14.21000000,14.21000000
20210519,14.16000000,14.42000000,13.65000000,14.42000000,5995,86448,N/A,N/A,5681092,393973,"NYSE","","","Common Stock",14.42000000,14.42000000
20210520,14.32000000,14.48000000,14.01000000,14.28000000,7294,104158,N/A,N/A,5625936,393973,"NYSE","","","Common Stock",14.28000000,14.28000000
20210521,14.23000000,14.23000000,13.81000000,13.87000000,3135,43482,N/A,N/A,5464407,393973,"NYSE","","","Common Stock",13.87000000,13.87000000
20210524,14.03000000,14.08000000,13.61000000,13.97000000,4461,62320,N/A,N/A,5503804,393973,"NYSE","","","Common Stock",13.97000000,13.97000000
20210525,13.99000000,14.10000000,13.37500000,13.48000000,6365,85800,N/A,N/A,5310757,393973,"NYSE","","","Common Stock",13.48000000,13.48000000
20210526,13.53000000,13.64500000,13.02000000,13.35000000,10790,144046,N/A,N/A,5259541,393973,"NYSE","","","Common Stock",13.35000000,13.35000000
20210527,13.35000000,13.44000000,13.13500000,13.14000000,4932,64806,N/A,N/A,5176806,393973,"NYSE","","","Common Stock",13.14000000,13.14000000
20210528,13.22000000,13.94700000,13.11000000,13.44000000,14555,195619,N/A,N/A,5294998,393973,"NYSE","","","Common Stock",13.44000000,13.44000000
20210531,13.22000000,13.94700000,13.11000000,13.44000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",13.44000000,13.44000000
20210601,13.54000000,13.58500000,12.79000000,12.93000000,11077,143226,N/A,N/A,5094072,393973,"NYSE","","","Common Stock",12.93000000,12.93000000
20210602,13.00000000,13.51000000,12.95000000,13.48000000,22283,300375,N/A,N/A,5310757,393973,"NYSE","","","Common Stock",13.48000000,13.48000000
20210603,13.56000000,13.94000000,13.30000000,13.82000000,12938,178803,N/A,N/A,5444708,393973,"NYSE","","","Common Stock",13.82000000,13.82000000
20210604,13.89000000,13.96000000,13.65000000,13.95000000,4417,61617,N/A,N/A,5495925,393973,"NYSE","","","Common Stock",13.95000000,13.95000000
20210607,13.86000000,13.95000000,13.50000000,13.86000000,6130,84962,N/A,N/A,5460467,393973,"NYSE","","","Common Stock",13.86000000,13.86000000
20210608,14.00000000,14.71000000,13.95000000,14.64000000,8927,130691,N/A,N/A,5767766,393973,"NYSE","","","Common Stock",14.64000000,14.64000000
20210609,14.70000000,15.04000000,14.65000000,14.92000000,5797,86491,N/A,N/A,5878078,393973,"NYSE","","","Common Stock",14.92000000,14.92000000
20210610,15.05000000,15.11000000,14.65000000,14.75000000,4796,70741,N/A,N/A,5811103,393973,"NYSE","","","Common Stock",14.75000000,14.75000000
20210611,14.76000000,14.92000000,14.52000000,14.54000000,2686,39054,N/A,N/A,5728369,393973,"NYSE","","","Common Stock",14.54000000,14.54000000
20210614,14.43000000,14.53000000,13.70000000,13.83000000,5755,79592,N/A,N/A,5448648,393973,"NYSE","","","Common Stock",13.83000000,13.83000000
20210615,13.72000000,13.86000000,13.31500000,13.50000000,4331,58469,N/A,N/A,5318637,393973,"NYSE","","","Common Stock",13.50000000,13.50000000
20210616,13.55000000,13.96000000,13.50000000,13.70000000,5333,73062,N/A,N/A,5397431,393973,"NYSE","","","Common Stock",13.70000000,13.70000000
20210617,13.70000000,14.16000000,13.54000000,13.95000000,5035,70238,N/A,N/A,5495925,393973,"NYSE","","","Common Stock",13.95000000,13.95000000
20210618,13.80000000,14.07000000,13.65000000,13.99000000,3388,47398,N/A,N/A,5511684,393973,"NYSE","","","Common Stock",13.99000000,13.99000000
20210621,14.00000000,14.05000000,13.58000000,13.59000000,3490,47429,N/A,N/A,5354094,393973,"NYSE","","","Common Stock",13.59000000,13.59000000
20210622,13.48000000,13.59000000,13.31500000,13.46000000,2159,29060,N/A,N/A,5302878,393973,"NYSE","","","Common Stock",13.46000000,13.46000000
20210623,13.54000000,14.04000000,13.53100000,13.97000000,3244,45319,N/A,N/A,5503804,393973,"NYSE","","","Common Stock",13.97000000,13.97000000
20210624,14.01000000,14.58000000,14.00000000,14.35000000,4417,63384,N/A,N/A,5653514,393973,"NYSE","","","Common Stock",14.35000000,14.35000000
20210625,14.44000000,14.50000000,13.97000000,14.07000000,3109,43744,N/A,N/A,5543201,393973,"NYSE","","","Common Stock",14.07000000,14.07000000
20210628,14.02000000,14.10300000,13.58000000,13.64000000,4524,61707,N/A,N/A,5373793,393973,"NYSE","","","Common Stock",13.64000000,13.64000000
20210629,13.75000000,13.91200000,13.45500000,13.50000000,4509,60872,N/A,N/A,5318637,393973,"NYSE","","","Common Stock",13.50000000,13.50000000
20210630,13.51000000,13.56000000,13.03000000,13.14000000,4887,64215,N/A,N/A,5176806,393973,"NYSE","","","Common Stock",13.14000000,13.14000000
20210701,13.25000000,13.39000000,13.01000000,13.05000000,2960,38628,N/A,N/A,5141349,393973,"NYSE","","","Common Stock",13.05000000,13.05000000
20210702,13.27000000,13.27000000,12.74000000,12.90000000,7473,96402,N/A,N/A,5082253,393973,"NYSE","","","Common Stock",12.90000000,12.90000000
20210705,13.27000000,13.27000000,12.74000000,12.90000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",12.90000000,12.90000000
20210706,12.97000000,13.00000000,12.20000000,12.44000000,11857,147501,N/A,N/A,4901025,393973,"NYSE","","","Common Stock",12.44000000,12.44000000
20210707,12.44000000,12.55000000,12.12000000,12.25000000,7271,89070,N/A,N/A,4826170,393973,"NYSE","","","Common Stock",12.25000000,12.25000000
20210708,12.00000000,12.95000000,11.76000000,12.86000000,12823,164904,N/A,N/A,5066494,393973,"NYSE","","","Common Stock",12.86000000,12.86000000
20210709,12.85000000,13.55000000,12.80500000,13.50000000,7730,104355,N/A,N/A,5318637,393973,"NYSE","","","Common Stock",13.50000000,13.50000000
20210712,13.54000000,13.80000000,13.03700000,13.65000000,6112,83429,N/A,N/A,5377733,393973,"NYSE","","","Common Stock",13.65000000,13.65000000
20210713,13.58000000,13.90000000,13.10000000,13.37000000,5279,70580,N/A,N/A,5267420,393973,"NYSE","","","Common Stock",13.37000000,13.37000000
20210714,13.41000000,13.53600000,12.83400000,13.03000000,3758,48967,N/A,N/A,5133469,393973,"NYSE","","","Common Stock",13.03000000,13.03000000
20210715,12.97000000,13.07000000,12.85000000,12.89000000,5814,74942,N/A,N/A,5078313,393973,"NYSE","","","Common Stock",12.89000000,12.89000000
20210716,13.03000000,13.15700000,12.70000000,12.73000000,4016,51124,N/A,N/A,5015277,393973,"NYSE","","","Common Stock",12.73000000,12.73000000
20210719,12.50000000,12.98000000,12.26500000,12.74000000,5677,72325,N/A,N/A,5019217,393973,"NYSE","","","Common Stock",12.74000000,12.74000000
20210720,12.80000000,13.25000000,12.77000000,13.20000000,4558,60166,N/A,N/A,5200445,393973,"NYSE","","","Common Stock",13.20000000,13.20000000
20210721,13.27000000,13.88000000,13.10100000,13.85000000,5462,75649,N/A,N/A,5456527,393973,"NYSE","","","Common Stock",13.85000000,13.85000000
20210722,13.88000000,14.06000000,13.54000000,13.99000000,5138,71881,N/A,N/A,5511684,393973,"NYSE","","","Common Stock",13.99000000,13.99000000
20210723,13.90000000,14.09000000,13.46000000,13.90000000,5207,72377,N/A,N/A,5476226,393973,"NYSE","","","Common Stock",13.90000000,13.90000000
20210726,13.89000000,13.97000000,13.25000000,13.37000000,5377,71890,N/A,N/A,5267420,393973,"NYSE","","","Common Stock",13.37000000,13.37000000
20210727,13.25000000,13.25000000,12.86000000,12.96000000,4394,56946,N/A,N/A,5105891,393973,"NYSE","","","Common Stock",12.96000000,12.96000000
20210728,13.06000000,13.08000000,12.85000000,12.96000000,4339,56233,N/A,N/A,5105891,393973,"NYSE","","","Common Stock",12.96000000,12.96000000
20210729,12.97000000,13.49000000,12.63000000,13.24000000,5231,69258,N/A,N/A,5216204,393973,"NYSE","","","Common Stock",13.24000000,13.24000000
20210730,13.11000000,13.75000000,13.04000000,13.66000000,4922,67235,N/A,N/A,5381672,393973,"NYSE","","","Common Stock",13.66000000,13.66000000
20210802,13.64000000,13.73000000,13.20000000,13.25000000,5233,69337,N/A,N/A,5220143,393973,"NYSE","","","Common Stock",13.25000000,13.25000000
20210803,13.12000000,13.20000000,12.60000000,12.75000000,6550,83513,N/A,N/A,5023157,393973,"NYSE","","","Common Stock",12.75000000,12.75000000
20210804,12.80000000,13.76000000,12.67000000,13.45000000,9614,129308,N/A,N/A,5298938,393973,"NYSE","","","Common Stock",13.45000000,13.45000000
20210805,13.56000000,13.94000000,13.51000000,13.92000000,6386,88893,N/A,N/A,5484105,393973,"NYSE","","","Common Stock",13.92000000,13.92000000
20210806,13.88000000,14.54000000,13.75000000,14.50000000,8194,118813,N/A,N/A,5712610,393973,"NYSE","","","Common Stock",14.50000000,14.50000000
20210809,14.60000000,16.50000000,14.52000000,15.28000000,25077,383177,N/A,N/A,6019909,393973,"NYSE","","","Common Stock",15.28000000,15.28000000
20210810,16.63000000,16.63000000,15.50000000,15.92000000,28694,456808,N/A,N/A,6272052,393973,"NYSE","","","Common Stock",15.92000000,15.92000000
20210811,16.00000000,16.95000000,15.90000000,16.37000000,9802,160459,N/A,N/A,6449339,393973,"NYSE","","","Common Stock",16.37000000,16.37000000
20210812,16.84000000,17.24000000,16.23000000,17.00000000,14531,247027,N/A,N/A,6697543,393973,"NYSE","","","Common Stock",17.00000000,17.00000000
20210813,16.88000000,17.70000000,16.71000000,17.21000000,9057,155871,N/A,N/A,6789668,394519,"NYSE","","","Common Stock",17.21000000,17.21000000
20210816,17.36000000,17.36000000,16.55000000,17.01000000,5128,87227,N/A,N/A,6710764,394519,"NYSE","","","Common Stock",17.01000000,17.01000000
20210817,16.83000000,16.97900000,15.71000000,16.09000000,8308,133676,N/A,N/A,6347807,394519,"NYSE","","","Common Stock",16.09000000,16.09000000
20210818,16.52000000,16.62000000,15.83000000,15.98000000,10471,167327,N/A,N/A,6304410,394519,"NYSE","","","Common Stock",15.98000000,15.98000000
20210819,15.75000000,16.04000000,15.30000000,15.62000000,5187,81021,N/A,N/A,6162383,394519,"NYSE","","","Common Stock",15.62000000,15.62000000
20210820,15.62000000,15.88000000,15.44000000,15.76000000,2305,36327,N/A,N/A,6217616,394519,"NYSE","","","Common Stock",15.76000000,15.76000000
20210823,15.84000000,16.14900000,15.39000000,15.68000000,4497,70513,N/A,N/A,6186054,394519,"NYSE","","","Common Stock",15.68000000,15.68000000
20210824,15.54000000,15.76000000,15.22000000,15.75000000,5714,89996,N/A,N/A,6213671,394519,"NYSE","","","Common Stock",15.75000000,15.75000000
20210825,15.66000000,16.33000000,15.55000000,15.74000000,3909,61528,N/A,N/A,6209725,394519,"NYSE","","","Common Stock",15.74000000,15.74000000
20210826,15.58000000,15.77900000,15.31000000,15.64000000,3453,54005,N/A,N/A,6170274,394519,"NYSE","","","Common Stock",15.64000000,15.64000000
20210827,15.42000000,16.05000000,15.39000000,15.93000000,5012,79841,N/A,N/A,6284684,394519,"NYSE","","","Common Stock",15.93000000,15.93000000
20210830,15.87000000,17.01000000,15.73000000,16.71000000,10748,179599,N/A,N/A,6592409,394519,"NYSE","","","Common Stock",16.71000000,16.71000000
20210831,16.63000000,16.78800000,15.80000000,15.91000000,5675,90289,N/A,N/A,6276794,394519,"NYSE","","","Common Stock",15.91000000,15.91000000
20210901,15.97000000,16.49000000,15.60000000,16.49000000,7978,131557,N/A,N/A,6505615,394519,"NYSE","","","Common Stock",16.49000000,16.49000000
20210902,16.59000000,17.21000000,16.57000000,16.66000000,10331,172114,N/A,N/A,6572683,394519,"NYSE","","","Common Stock",16.66000000,16.66000000
20210903,16.62000000,16.82000000,16.01000000,16.16000000,6470,104555,N/A,N/A,6375423,394519,"NYSE","","","Common Stock",16.16000000,16.16000000
20210906,16.62000000,16.82000000,16.01000000,16.16000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",16.16000000,16.16000000
20210907,16.16000000,16.31000000,15.28000000,15.86000000,9400,149084,N/A,N/A,6257068,394519,"NYSE","","","Common Stock",15.86000000,15.86000000
20210908,15.82000000,15.82000000,14.50000000,14.96000000,11435,171068,N/A,N/A,5902001,394519,"NYSE","","","Common Stock",14.96000000,14.96000000
20210909,14.88000000,15.53000000,14.58000000,14.97000000,9135,136751,N/A,N/A,5905946,394519,"NYSE","","","Common Stock",14.97000000,14.97000000
