Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20100525,31.50000000,31.50000000,31.50000000,31.50000000,182,5733,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",31.50000000,31.50000000
20100526,31.50000000,31.50000000,31.50000000,31.50000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",31.50000000,31.50000000
20100527,33.75000000,34.50000000,33.75000000,34.50000000,1203,41504,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.50000000,34.50000000
20100528,34.50000000,35.75000000,34.00000000,35.75000000,1844,65923,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.75000000,35.75000000
20100531,34.50000000,35.75000000,34.00000000,35.75000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.75000000,35.75000000
20100601,35.75000000,35.75000000,35.75000000,35.75000000,3,107,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.75000000,35.75000000
20100602,34.51000000,34.51000000,34.51000000,34.51000000,21,725,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.51000000,34.51000000
20100603,34.50000000,34.50000000,34.50000000,34.50000000,250,8625,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.50000000,34.50000000
20100604,34.50000000,34.50000000,34.00000000,34.00000000,6,204,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.00000000,34.00000000
20100607,33.25000000,33.25000000,33.25000000,33.25000000,2,67,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.25000000,33.25000000
20100608,32.00000000,33.00000000,32.00000000,33.00000000,18,594,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100609,33.25000000,33.27000000,33.00000000,33.00000000,146,4818,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100610,33.00000000,33.00000000,33.00000000,33.00000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100611,32.50000000,32.50000000,32.50000000,32.50000000,100,3250,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.50000000,32.50000000
20100614,34.00000000,34.00000000,33.00000000,33.00000000,106,3498,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100615,34.00000000,34.00000000,34.00000000,34.00000000,5,170,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.00000000,34.00000000
20100616,33.00000000,33.00000000,33.00000000,33.00000000,110,3630,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100617,33.00000000,33.00000000,33.00000000,33.00000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100618,33.00000000,33.00000000,32.75000000,32.75000000,50,1638,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.75000000,32.75000000
20100621,32.75000000,32.75000000,32.75000000,32.75000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.75000000,32.75000000
20100622,33.00000000,33.00000000,33.00000000,33.00000000,59,1947,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100623,33.00000000,33.00000000,33.00000000,33.00000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.00000000,33.00000000
20100624,32.50000000,32.50000000,32.00000000,32.50000000,10,325,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.50000000,32.50000000
20100625,32.50000000,32.50000000,32.50000000,32.50000000,20,650,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.50000000,32.50000000
20100628,32.50000000,32.50000000,32.50000000,32.50000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.50000000,32.50000000
20100629,32.50000000,32.50000000,32.50000000,32.50000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.50000000,32.50000000
20100630,32.50000000,32.50000000,32.50000000,32.50000000,2,65,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.50000000,32.50000000
20100701,31.00000000,31.00000000,28.50000000,29.00000000,68,1972,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",29.00000000,29.00000000
20100702,29.00000000,29.00000000,29.00000000,29.00000000,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",29.00000000,29.00000000
20100705,29.00000000,29.00000000,29.00000000,29.00000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",29.00000000,29.00000000
20100706,29.00000000,29.50000000,29.00000000,29.50000000,4,118,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",29.50000000,29.50000000
20100707,28.00000000,30.00000000,28.00000000,30.00000000,6,180,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",30.00000000,30.00000000
20100708,27.50000000,31.00000000,27.50000000,31.00000000,352,10912,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",31.00000000,31.00000000
20100709,29.00000000,30.00000000,29.00000000,30.00000000,9,270,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",30.00000000,30.00000000
20100712,27.50000000,28.25000000,27.50000000,28.00000000,2726,76328,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",28.00000000,28.00000000
20100713,27.50000000,28.50000000,27.45000000,28.00000000,1832,51296,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",28.00000000,28.00000000
20100714,28.00000000,28.25000000,28.00000000,28.25000000,2602,73507,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",28.25000000,28.25000000
20100715,28.75000000,29.50000000,28.50000000,29.50000000,2416,71272,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",29.50000000,29.50000000
20100716,29.25000000,31.00000000,29.25000000,31.00000000,28,868,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",31.00000000,31.00000000
20100719,30.00000000,31.00000000,29.25000000,29.88000000,87,2600,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",29.88000000,29.88000000
20100720,29.60000000,30.00000000,29.60000000,30.00000000,72,2160,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",30.00000000,30.00000000
20100721,29.00000000,30.00000000,29.00000000,29.90000000,324,9688,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",29.90000000,29.90000000
20100722,29.90000000,30.50000000,29.50000000,30.50000000,773,23577,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",30.50000000,30.50000000
20100723,30.50000000,32.00000000,30.50000000,32.00000000,214,6848,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.00000000,32.00000000
20100726,31.75000000,32.00000000,31.75000000,32.00000000,151,4832,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",32.00000000,32.00000000
20100727,32.50000000,34.00000000,32.00000000,34.00000000,1184,40256,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.00000000,34.00000000
20100728,33.50000000,34.25000000,33.25000000,33.50000000,182,6097,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",33.50000000,33.50000000
20100729,33.50000000,34.00000000,33.50000000,34.00000000,211,7174,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.00000000,34.00000000
20100730,33.05000000,34.25000000,33.00000000,34.25000000,10,343,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.25000000,34.25000000
20100802,33.50000000,34.75000000,33.50000000,34.75000000,18,626,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",34.75000000,34.75000000
20100803,35.00000000,35.50000000,35.00000000,35.50000000,18,639,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.50000000,35.50000000
20100804,35.50000000,35.50000000,34.75000000,35.50000000,8,284,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.50000000,35.50000000
20100805,35.35000000,35.50000000,34.50000000,35.50000000,1512,53676,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.50000000,35.50000000
20100806,35.00000000,35.50000000,34.75000000,35.25000000,266,9377,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.25000000,35.25000000
20100809,35.25000000,35.50000000,35.00000000,35.28000000,100,3528,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.28000000,35.28000000
20100810,35.00000000,35.40000000,35.00000000,35.40000000,777,27506,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.40000000,35.40000000
20100811,35.25000000,35.25000000,35.25000000,35.25000000,3,106,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.25000000,35.25000000
20100812,35.25000000,35.50000000,35.25000000,35.25000000,641,22595,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",35.25000000,35.25000000
