Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20031028,11.75026229,12.69207721,11.75026229,12.69207721,14784,187640,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.69207721,12.69207721
20031029,12.78177387,13.40965048,12.19874558,12.47232039,7808,97384,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.47232039,12.47232039
20031030,12.58444122,12.87147053,12.06420060,12.22116975,4452,54409,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.22116975,12.22116975
20031031,12.24359391,12.55753222,11.61571730,12.55753222,8726,109577,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.55753222,12.55753222
20031103,12.55753222,12.90734919,12.45438106,12.72795587,2812,35791,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.72795587,12.72795587
20031104,12.77280420,12.97013685,12.69207721,12.82213736,2058,26388,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.82213736,12.82213736
20031105,12.80419803,12.86698569,12.69207721,12.86698569,646,8312,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.86698569,12.86698569
20031106,12.91183402,12.93874302,12.82662220,12.87147053,1468,18895,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.87147053,12.87147053
20031107,12.93874302,12.97910652,12.84456153,12.85353119,3480,44730,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.85353119,12.85353119
20031110,12.80419803,12.84456153,12.73692554,12.80419803,4016,51422,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.80419803,12.80419803
20031111,12.78177387,12.79971320,12.73692554,12.73692554,2844,36224,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.73692554,12.73692554
20031112,12.74141037,13.18540883,12.74141037,12.96116718,2534,32844,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.96116718,12.96116718
20031113,12.96116718,12.96116718,12.73692554,12.89389469,3010,38811,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.89389469,12.89389469
20031114,12.89389469,12.89389469,12.73692554,12.73692554,1732,22060,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",12.73692554,12.73692554
