Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210225,11.10000000,11.10000000,10.50000000,10.52000000,243,2556,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.52000000,10.52000000
20210226,10.80000000,10.80000000,10.15000000,10.19000000,1253,12768,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.19000000,10.19000000
20210301,10.45000000,10.45000000,10.10000000,10.23000000,786,8041,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.23000000,10.23000000
20210302,10.25000000,10.27000000,10.00000000,10.08000000,719,7248,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.08000000,10.08000000
20210303,10.00000000,10.19000000,10.00000000,10.13000000,940,9522,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.13000000,10.13000000
20210304,10.20000000,10.20000000,9.87000000,9.91000000,1600,15856,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.91000000,9.91000000
20210305,10.00000000,10.18000000,9.85000000,10.13000000,3426,34705,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.13000000,10.13000000
20210308,10.01000000,10.25000000,9.92000000,10.23000000,2318,23713,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.23000000,10.23000000
20210309,10.22000000,10.28000000,9.88800000,10.17000000,3222,32768,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.17000000,10.17000000
20210310,10.12000000,10.15000000,9.97000000,10.00000000,2792,27920,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.00000000,10.00000000
20210311,10.03000000,10.09000000,9.93000000,10.08000000,4883,49221,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.08000000,10.08000000
20210312,10.01000000,10.07000000,9.98500000,10.01000000,269,2693,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.01000000,10.01000000
20210315,9.99000000,10.02000000,9.97000000,10.00000000,236,2360,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.00000000,10.00000000
20210316,10.01000000,10.01000000,9.90000000,9.94500000,445,4426,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.94500000,9.94500000
20210317,9.94000000,9.95000000,9.87000000,9.89000000,542,5360,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210318,9.90000000,9.91000000,9.77000000,9.89000000,310,3066,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210319,9.85000000,9.91000000,9.82000000,9.90000000,218,2158,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210322,9.85000000,10.11000000,9.85000000,10.11000000,776,7845,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.11000000,10.11000000
20210323,9.95000000,9.95000000,9.75000000,9.89000000,496,4905,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210324,9.90000000,9.94000000,9.80000000,9.85000000,1181,11633,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.85000000,9.85000000
20210325,9.75000000,10.08000000,9.62000000,10.02000000,2202,22064,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.02000000,10.02000000
20210326,9.98000000,10.11000000,9.90000000,9.92000000,638,6329,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.92000000,9.92000000
20210329,9.90000000,10.10000000,9.88000000,10.10000000,3075,31057,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.10000000,10.10000000
20210330,9.98000000,9.98000000,9.91000000,9.94000000,185,1839,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.94000000,9.94000000
20210331,9.95000000,10.06000000,9.90000000,10.06000000,349,3511,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.06000000,10.06000000
20210401,9.95000000,10.11000000,9.92000000,9.93000000,7005,69560,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.93000000,9.93000000
