Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210319,9.61000000,9.75000000,9.61000000,9.73000000,95,924,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210322,9.74000000,9.74000000,9.65900000,9.68000000,118,1142,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.68000000,9.68000000
20210323,9.70000000,9.80000000,9.69000000,9.80000000,198,1940,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210324,9.68000000,9.81000000,9.50000000,9.63000000,277,2668,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.63000000,9.63000000
20210325,9.60000000,9.83000000,9.54500000,9.66000000,458,4424,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20210326,9.89000000,9.98000000,9.71000000,9.90000000,52,515,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210329,9.91000000,9.91000000,9.72000000,9.75000000,73,712,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210330,9.86000000,9.86000000,9.66000000,9.70000000,50,485,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210331,9.80000000,9.80000000,9.65000000,9.65000000,416,4014,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20210401,9.69000000,9.75000000,9.65000000,9.70000000,245,2376,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210402,9.69000000,9.75000000,9.65000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210405,9.89000000,9.89000000,9.80000000,9.80000000,6,59,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210406,9.90000000,9.95000000,9.67000000,9.74000000,148,1442,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210407,9.81000000,9.81000000,9.81000000,9.81000000,6,59,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210408,9.85000000,9.92000000,9.85000000,9.92000000,19,188,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.92000000,9.92000000
20210409,10.00000000,10.00000000,9.87500000,9.93000000,183,1817,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.93000000,9.93000000
20210412,9.98000000,9.98000000,9.85000000,9.85000000,31,305,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.85000000,9.85000000
20210413,9.83000000,9.83000000,9.79000000,9.79000000,29,284,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210414,9.79000000,10.00000000,9.79000000,10.00000000,274,2740,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.00000000,10.00000000
20210415,9.84000000,9.89000000,9.79000000,9.80000000,40,392,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210416,9.76000000,10.10000000,9.76000000,10.10000000,1026,10363,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.10000000,10.10000000
20210419,10.10000000,10.10000000,9.78000000,9.95000000,1649,16408,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.95000000,9.95000000
20210420,9.76000000,9.90000000,9.70000000,9.90000000,813,8049,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210421,9.90000000,9.90000000,9.90000000,9.90000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210422,9.72000000,9.72000000,9.72000000,9.72000000,2,19,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72000000,9.72000000
20210423,9.73000000,9.78000000,9.69000000,9.70600000,1145,11113,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70600000,9.70600000
20210426,9.63000000,9.79000000,9.63000000,9.79000000,481,4709,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210427,9.76500000,9.82000000,9.76500000,9.81000000,178,1746,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210428,9.81000000,9.81000000,9.81000000,9.81000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210429,9.77000000,9.87900000,9.72000000,9.75000000,127,1238,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210430,9.78000000,9.81000000,9.74000000,9.78000000,20,196,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210503,9.73000000,9.85000000,9.73000000,9.82000000,149,1463,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.82000000,9.82000000
20210504,9.80000000,9.80000000,9.78000000,9.78000000,18,176,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210505,9.75000000,9.83000000,9.75000000,9.83000000,31,305,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210506,9.83000000,9.83000000,9.83000000,9.83000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
