Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20171009,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,394450,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20171010,9.85000000,9.85000000,9.80000000,9.85000000,98,965,N/A,N/A,396462,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20171011,9.80000000,9.80000000,9.80000000,9.80000000,5004,49039,N/A,N/A,394450,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20171012,9.80000000,9.80000000,9.80000000,9.80000000,18,176,N/A,N/A,394450,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20171013,9.77500000,9.84000000,9.77500000,9.78000000,1281,12528,N/A,N/A,393645,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.78000000,9.78000000
20171016,9.78000000,9.78000000,9.78000000,9.78000000,1000,9780,N/A,N/A,393645,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.78000000,9.78000000
20171017,9.78000000,9.78000000,9.76000000,9.76000000,57,556,N/A,N/A,392840,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.76000000,9.76000000
20171018,9.80300000,9.80300000,9.76000000,9.77000000,1054,10298,N/A,N/A,393242,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.77000000,9.77000000
20171019,9.85000000,9.85000000,9.76000000,9.76000000,117,1142,N/A,N/A,392840,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.76000000,9.76000000
20171020,9.75000000,9.75000000,9.73000000,9.73000000,5,49,N/A,N/A,391632,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.73000000,9.73000000
20171023,9.73000000,9.74000000,9.70000000,9.74000000,105,1023,N/A,N/A,392035,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.74000000,9.74000000
20171024,9.73000000,9.78000000,9.70000000,9.74000000,3193,31100,N/A,N/A,392035,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.74000000,9.74000000
20171025,9.70000000,9.78000000,9.70000000,9.78000000,265,2592,N/A,N/A,393645,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.78000000,9.78000000
20171026,9.65000000,9.76000000,9.65000000,9.76000000,302,2948,N/A,N/A,392840,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.76000000,9.76000000
20171027,9.79000000,9.79000000,9.79000000,9.79000000,149,1459,N/A,N/A,394047,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20171030,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,394047,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20171031,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,394047,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20171101,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,394047,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20171102,9.60000000,9.78000000,9.60000000,9.78000000,103,1007,N/A,N/A,393645,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.78000000,9.78000000
20171103,9.75000000,9.76000000,9.75000000,9.75000000,24,234,N/A,N/A,392438,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20171106,9.70200000,9.75000000,9.70200000,9.75000000,5,49,N/A,N/A,392438,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20171107,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,392438,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20171108,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,392438,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.75000000,9.75000000
20171109,9.72000000,9.75000000,9.70000000,9.72000000,3934,38238,N/A,N/A,391230,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
20171110,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,391230,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
20171113,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,391230,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
20171114,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,391230,40250,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.72000000,9.72000000
