Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20131212,9.31488894,9.43908745,9.24588976,9.31488894,20118,187397,N/A,N/A,404491,29962,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.31488894,9.31488894
20131213,9.29418918,9.34248861,9.28038935,9.32178885,532,4959,N/A,N/A,430231,31845,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.32178885,9.32178885
20131216,9.31488894,9.34248861,9.28038935,9.31488894,550,5123,N/A,N/A,429802,31837,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.31488894,9.31488894
20131217,9.29418918,9.38388811,9.28728926,9.34938852,1376,12865,N/A,N/A,431134,31818,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.34938852,9.34938852
20131218,9.33558869,9.38388811,9.30108910,9.30108910,1348,12538,N/A,N/A,428672,31801,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.30108910,9.30108910
20131219,9.32868877,9.36318836,9.31488894,9.34938852,583,5451,N/A,N/A,430485,31770,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.34938852,9.34938852
20131220,9.31488894,9.41838770,9.29418918,9.37008828,916,8583,N/A,N/A,431280,31758,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.37008828,9.37008828
20131223,9.37008828,9.43908745,9.33558869,9.43908745,843,7957,N/A,N/A,434156,31737,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.43908745,9.43908745
20131224,9.43908745,9.44598737,9.38388811,9.44598737,326,3079,N/A,N/A,173745,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.44598737,9.44598737
20131225,9.43908745,9.44598737,9.38388811,9.44598737,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.69000000,9.44598737
20131226,9.41838770,9.52188647,9.39768795,9.46668713,515,4875,N/A,N/A,174126,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.46668713,9.46668713
20131227,9.52188647,9.52188647,9.43218754,9.48048696,408,3868,N/A,N/A,174380,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.48048696,9.48048696
20131230,9.44598737,9.55638606,9.38388811,9.54948614,818,7811,N/A,N/A,175649,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.54948614,9.54948614
20131231,9.54258622,9.65988482,9.49428680,9.62538523,411,3956,N/A,N/A,177045,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.62538523,9.62538523
20140101,9.54258622,9.65988482,9.49428680,9.62538523,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.95000000,9.62538523
20140102,9.63918507,9.72888400,9.50118671,9.54258622,538,5134,N/A,N/A,175522,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.54258622,9.54258622
20140103,9.55638606,9.65298490,9.54258622,9.61848532,323,3107,N/A,N/A,176918,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.61848532,9.61848532
20140106,9.45288729,9.93588153,9.34938852,9.86688235,894,8821,N/A,N/A,181487,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.86688235,9.86688235
20140107,9.83238276,9.93588153,9.34938852,9.79788318,1160,11366,N/A,N/A,180218,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.79788318,9.79788318
20140108,9.74268383,9.76338359,9.54258622,9.71508416,526,5110,N/A,N/A,178695,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.71508416,9.71508416
20140109,9.79098326,9.79788318,9.56328597,9.71508416,495,4809,N/A,N/A,178695,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.71508416,9.71508416
20140110,9.65988482,9.79098326,9.12169124,9.52188647,915,8713,N/A,N/A,175141,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.52188647,9.52188647
20140113,9.48048696,9.64608499,9.43218754,9.53568630,629,5998,N/A,N/A,175395,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.53568630,9.53568630
20140114,9.52188647,9.70128433,9.52188647,9.64608499,642,6193,N/A,N/A,177426,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.64608499,9.64608499
20140115,9.62538523,9.65298490,9.38388811,9.57708581,543,5200,N/A,N/A,176156,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.57708581,9.57708581
20140116,9.48738688,9.63918507,9.32178885,9.36318836,695,6507,N/A,N/A,172222,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.36318836,9.36318836
20140117,9.37698819,9.65988482,9.37008828,9.58398573,489,4687,N/A,N/A,176283,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.58398573,9.58398573
20140120,9.37698819,9.65988482,9.37008828,9.58398573,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.89000000,9.58398573
20140121,9.58398573,9.68058457,9.45288729,9.61848532,1117,10744,N/A,N/A,176918,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.61848532,9.61848532
20140122,9.52878638,9.65988482,9.52878638,9.65988482,694,6704,N/A,N/A,177679,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.65988482,9.65988482
20140123,9.61848532,9.65988482,9.52188647,9.65298490,564,5444,N/A,N/A,177553,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.65298490,9.65298490
20140124,9.52878638,9.65298490,9.45978721,9.59088564,786,7538,N/A,N/A,176410,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.59088564,9.59088564
20140127,9.62538523,9.69438441,9.39078803,9.58398573,351,3364,N/A,N/A,176283,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.58398573,9.58398573
20140128,9.49428680,9.64608499,9.39768795,9.50808663,455,4326,N/A,N/A,174887,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.50808663,9.50808663
20140129,9.39078803,9.52188647,9.26658951,9.38388811,301,2825,N/A,N/A,172603,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.38388811,9.38388811
20140130,9.39768795,9.61158540,9.21829009,9.31488894,697,6492,N/A,N/A,171334,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.31488894,9.31488894
20140131,9.31488894,9.58398573,9.24588976,9.54948614,603,5758,N/A,N/A,175649,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.54948614,9.54948614
20140203,9.46668713,9.46668713,8.62489716,9.21829009,752,6932,N/A,N/A,169557,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.21829009,9.21829009
20140204,9.21829009,9.30798902,9.14239099,9.28728926,85,789,N/A,N/A,170826,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.28728926,9.28728926
20140205,9.28038935,9.38388811,9.23898984,9.27348943,280,2597,N/A,N/A,170572,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.27348943,9.27348943
20140206,9.30108910,9.37698819,9.01129256,9.30108910,632,5878,N/A,N/A,171080,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.30108910,9.30108910
20140207,9.36318836,9.48738688,9.14239099,9.43908745,328,3096,N/A,N/A,173618,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.43908745,9.43908745
20140210,9.35628844,9.52188647,9.21829009,9.21829009,646,5955,N/A,N/A,169557,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.21829009,9.21829009
20140211,9.22519000,9.22519000,8.85259445,9.12859116,2997,27358,N/A,N/A,167907,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.12859116,9.12859116
20140212,9.03889223,9.04579214,8.79049519,8.89399395,1984,17646,N/A,N/A,163592,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",8.89399395,8.89399395
20140213,8.81809486,9.00439264,8.31440086,9.00439264,2931,26392,N/A,N/A,165623,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.00439264,9.00439264
20140214,8.90089387,9.10099149,8.76979543,9.03889223,1169,10566,N/A,N/A,166257,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.03889223,9.03889223
20140217,8.90089387,9.10099149,8.76979543,9.03889223,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.10000000,9.03889223
20140218,8.92159362,9.22519000,8.92159362,9.07339181,1094,9926,N/A,N/A,166892,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.07339181,9.07339181
20140219,9.00439264,9.17689058,8.96989305,9.11479132,1228,11193,N/A,N/A,167653,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.11479132,9.11479132
20140220,9.03889223,9.16999066,8.77669535,8.87329420,1672,14836,N/A,N/A,163211,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",8.87329420,8.87329420
20140221,8.81809486,8.96989305,8.81809486,8.96989305,483,4332,N/A,N/A,164988,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",8.96989305,8.96989305
20140224,8.92849354,9.19069042,8.88019412,9.06649190,530,4805,N/A,N/A,166765,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.06649190,9.06649190
20140225,9.01819247,9.24588976,8.94919330,9.08719165,843,7661,N/A,N/A,167146,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.08719165,9.08719165
20140226,9.08023362,9.26114249,8.92715688,9.13589788,765,6989,N/A,N/A,166638,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.13589788,9.13589788
20140227,9.09414968,9.12893985,8.87149261,9.09414968,1285,11686,N/A,N/A,165876,12691,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.09414968,9.09414968
20140228,8.97586312,9.22635232,8.92019885,9.21939429,1167,10759,N/A,N/A,330895,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.21939429,9.21939429
20140303,9.08023362,9.35159692,9.01761132,9.35159692,730,6827,N/A,N/A,335640,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.35159692,9.35159692
20140304,9.38638709,9.70645662,9.06631755,9.25418445,1869,17296,N/A,N/A,332144,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.25418445,9.25418445
20140305,9.15677198,9.39334512,9.15677198,9.37247102,1282,12016,N/A,N/A,336389,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.37247102,9.37247102
20140306,9.35159692,9.38638709,9.21939429,9.33768085,461,4305,N/A,N/A,335141,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.33768085,9.33768085
20140307,9.38638709,9.52554776,9.21939429,9.37942905,1553,14566,N/A,N/A,336639,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.37942905,9.37942905
20140310,9.37247102,9.47684152,9.28897462,9.41421922,2050,19299,N/A,N/A,337888,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.41421922,9.41421922
20140311,9.39334512,9.42813529,9.21243625,9.36551299,1598,14966,N/A,N/A,336140,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.36551299,9.36551299
20140312,9.32376479,9.46292545,9.24026839,9.35855495,658,6158,N/A,N/A,335890,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.35855495,9.35855495
20140313,9.39334512,9.39334512,9.06631755,9.15677198,1290,11812,N/A,N/A,328648,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.15677198,9.15677198
20140314,9.14981395,9.27505855,9.05935952,9.27505855,1200,11130,N/A,N/A,332893,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.27505855,9.27505855
20140317,9.32376479,9.46292545,9.28897462,9.39334512,1437,13498,N/A,N/A,337138,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.39334512,9.39334512
20140318,9.40030315,9.63687629,9.37942905,9.59512809,3483,33420,N/A,N/A,344381,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.59512809,9.59512809
20140319,9.47684152,9.69949859,9.44205135,9.58121202,2443,23407,N/A,N/A,343881,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.58121202,9.58121202
20140320,9.56033792,9.65079236,9.44900939,9.56729596,2091,20005,N/A,N/A,343382,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.56729596,9.56729596
20140321,9.56729596,9.66470842,9.47684152,9.57425399,5096,48790,N/A,N/A,343631,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.57425399,9.57425399
20140324,9.57425399,9.69254056,9.53946382,9.64383432,2417,23309,N/A,N/A,346129,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.64383432,9.64383432
20140325,9.62991826,9.68558252,9.56729596,9.60904416,1631,15672,N/A,N/A,344880,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.60904416,9.60904416
20140326,9.60208612,9.64383432,9.37942905,9.38638709,1220,11451,N/A,N/A,336889,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.38638709,9.38638709
20140327,9.35855495,9.50467366,9.24026839,9.35855495,1233,11539,N/A,N/A,335890,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.35855495,9.35855495
20140328,9.26810052,9.42117725,9.15677198,9.26810052,1677,15543,N/A,N/A,332643,24973,"NYSE","Financials","Financials/Diversified REIT","Common Stock",9.26810052,9.26810052
