Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20120314,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120315,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120316,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120319,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120320,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120321,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120322,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120323,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120326,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120327,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120328,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120329,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120330,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120402,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120403,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120404,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120405,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120406,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",10.20000000,9.27272727
20120409,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120410,9.27272727,9.27272727,9.27272727,9.27272727,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.27272727,9.27272727
20120411,9.31818182,9.31818182,9.31818182,9.31818182,3,28,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120412,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120413,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120416,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120417,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120418,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120419,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120420,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120423,9.31818182,9.31818182,9.31818182,9.31818182,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",9.31818182,9.31818182
20120424,11.13636364,11.13636364,11.13636364,11.13636364,1,11,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.13636364,11.13636364
20120425,11.13636364,11.13636364,11.13636364,11.13636364,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.13636364,11.13636364
20120426,11.13636364,11.13636364,11.13636364,11.13636364,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.13636364,11.13636364
20120427,11.13636364,11.13636364,11.13636364,11.13636364,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.13636364,11.13636364
20120430,11.13636364,11.13636364,11.13636364,11.13636364,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.13636364,11.13636364
20120501,11.13636364,11.13636364,11.13636364,11.13636364,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.13636364,11.13636364
20120502,11.13636364,11.13636364,11.13636364,11.13636364,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.13636364,11.13636364
20120503,10.90909091,10.90909091,10.90909091,10.90909091,3,33,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",10.90909091,10.90909091
20120504,10.90909091,10.90909091,10.90909091,10.90909091,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",10.90909091,10.90909091
20120507,10.90909091,11.36363636,10.90909091,11.36363636,4,45,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",11.36363636,11.36363636
20120508,11.81818182,11.81818182,10.00000000,10.00000000,4,40,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",10.00000000,10.00000000
20120509,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",10.00000000,10.00000000
