Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19830830,4.45823229,4.54564861,4.45823229,4.45823229,3923,17490,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",4.45823229,4.45823229
19830831,4.45823229,4.63306492,4.45823229,4.45823229,879,3919,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",4.45823229,4.45823229
19830901,4.45823229,4.63306492,4.45823229,4.45823229,1656,7383,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",4.45823229,4.45823229
19830902,4.54564861,4.72048124,4.54564861,4.54564861,409,1859,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",4.54564861,4.54564861
19830905,4.54564861,4.72048124,4.54564861,4.54564861,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",13.00000000,4.54564861
19830906,4.89531388,5.07014652,4.89531388,4.89531388,1067,5223,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",4.89531388,4.89531388
19830907,4.98273020,5.15756284,4.98273020,4.98273020,919,4579,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",4.98273020,4.98273020
19830908,5.07014652,5.15756284,5.07014652,5.07014652,983,4984,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.07014652,5.07014652
19830909,5.50722812,5.59464444,5.50722812,5.50722812,1005,5535,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.50722812,5.50722812
19830912,5.50722812,5.59464444,5.50722812,5.50722812,825,4543,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.50722812,5.50722812
19830913,5.50722812,5.68206076,5.50722812,5.50722812,219,1206,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.50722812,5.50722812
19830914,5.50722812,5.68206076,5.50722812,5.50722812,26,143,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.50722812,5.50722812
19830915,5.59464444,5.76947708,5.59464444,5.59464444,227,1270,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.59464444,5.59464444
19830916,5.76947708,6.03172603,5.76947708,5.76947708,583,3364,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.76947708,5.76947708
19830919,6.03172603,6.20655867,6.03172603,6.03172603,418,2521,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.03172603,6.03172603
19830920,6.11914235,6.29397499,6.11914235,6.11914235,281,1719,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.11914235,6.11914235
19830921,6.11914235,6.29397499,6.11914235,6.11914235,426,2607,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.11914235,6.11914235
19830922,6.11914235,6.38139131,6.11914235,6.11914235,261,1597,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.11914235,6.11914235
19830923,6.11914235,6.38139131,6.11914235,6.11914235,156,955,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.11914235,6.11914235
19830926,6.11914235,6.38139131,6.11914235,6.11914235,358,2191,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.11914235,6.11914235
19830927,5.76947708,5.76947708,5.59464444,5.59464444,538,3010,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.59464444,5.59464444
19830928,5.59464444,5.76947708,5.41981180,5.41981180,188,1019,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.41981180,5.41981180
19830929,5.41981180,5.76947708,5.41981180,5.41981180,257,1393,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.41981180,5.41981180
19830930,5.41981180,5.76947708,5.41981180,5.41981180,23,125,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.41981180,5.41981180
19831003,5.41981180,5.76947708,5.41981180,5.41981180,6,33,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",5.41981180,5.41981180
