Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130809,38.00000000,39.28000000,32.00000000,32.92000000,80725,2657467,N/A,N/A,0,-5,"NYSE","","","Common Stock",32.92000000,32.92000000
20130812,32.02000000,33.60000000,31.83000000,33.10000000,5257,174007,N/A,N/A,0,-5,"NYSE","","","Common Stock",33.10000000,33.10000000
20130813,33.50000000,33.87000000,31.67000000,32.00000000,4126,132032,N/A,N/A,0,-5,"NYSE","","","Common Stock",32.00000000,32.00000000
20130814,32.34000000,32.73000000,31.00000000,31.06000000,4290,133247,N/A,N/A,0,-5,"NYSE","","","Common Stock",31.06000000,31.06000000
20130815,31.03000000,31.40000000,30.65000000,30.77000000,1495,46001,N/A,N/A,0,-5,"NYSE","","","Common Stock",30.77000000,30.77000000
20130816,30.51000000,31.25000000,30.03000000,30.99000000,1084,33593,N/A,N/A,0,-5,"NYSE","","","Common Stock",30.99000000,30.99000000
20130819,30.93000000,31.00000000,30.20000000,30.71000000,472,14495,N/A,N/A,0,-5,"NYSE","","","Common Stock",30.71000000,30.71000000
20130820,30.10000000,33.20000000,30.01000000,33.00000000,3034,100122,N/A,N/A,0,-5,"NYSE","","","Common Stock",33.00000000,33.00000000
20130821,32.79000000,33.85000000,32.28000000,33.47000000,1840,61585,N/A,N/A,0,-5,"NYSE","","","Common Stock",33.47000000,33.47000000
20130822,33.75000000,35.58000000,33.45000000,34.26000000,1727,59167,N/A,N/A,0,-5,"NYSE","","","Common Stock",34.26000000,34.26000000
20130823,34.42000000,35.25000000,34.33000000,34.44000000,571,19665,N/A,N/A,0,-5,"NYSE","","","Common Stock",34.44000000,34.44000000
20130826,34.44000000,34.55000000,33.85000000,33.88000000,634,21480,N/A,N/A,0,-5,"NYSE","","","Common Stock",33.88000000,33.88000000
20130827,33.53000000,35.68000000,33.52000000,35.31000000,904,31920,N/A,N/A,0,-5,"NYSE","","","Common Stock",35.31000000,35.31000000
20130828,35.58000000,36.19000000,34.04000000,34.23000000,764,26152,N/A,N/A,0,-5,"NYSE","","","Common Stock",34.23000000,34.23000000
20130829,34.43000000,35.28000000,34.02000000,34.82000000,505,17584,N/A,N/A,0,-5,"NYSE","","","Common Stock",34.82000000,34.82000000
20130830,35.98000000,36.00000000,35.00000000,35.61000000,401,14280,N/A,N/A,0,-5,"NYSE","","","Common Stock",35.61000000,35.61000000
20130902,35.98000000,36.00000000,35.00000000,35.61000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",35.61000000,35.61000000
20130903,36.13000000,37.22000000,35.64000000,36.85000000,2359,86929,N/A,N/A,0,-5,"NYSE","","","Common Stock",36.85000000,36.85000000
20130904,37.14000000,37.80000000,36.89000000,37.73000000,2034,76743,N/A,N/A,0,-5,"NYSE","","","Common Stock",37.73000000,37.73000000
20130905,38.00000000,39.39000000,37.77000000,39.16000000,1390,54432,N/A,N/A,0,-5,"NYSE","","","Common Stock",39.16000000,39.16000000
20130906,39.56000000,40.74000000,39.00000000,40.37000000,989,39926,N/A,N/A,0,-5,"NYSE","","","Common Stock",40.37000000,40.37000000
20130909,40.50000000,41.84000000,39.74000000,41.56000000,1641,68200,N/A,N/A,0,-5,"NYSE","","","Common Stock",41.56000000,41.56000000
20130910,41.90000000,41.90000000,40.38000000,41.31000000,2213,91419,N/A,N/A,0,-5,"NYSE","","","Common Stock",41.31000000,41.31000000
20130911,41.75000000,41.87000000,39.30000000,40.63000000,2041,82926,N/A,N/A,0,-5,"NYSE","","","Common Stock",40.63000000,40.63000000
20130912,40.42000000,43.13000000,40.42000000,43.05000000,2163,93117,N/A,N/A,0,-5,"NYSE","","","Common Stock",43.05000000,43.05000000
20130913,43.72000000,44.78000000,42.50000000,43.24000000,2607,112727,N/A,N/A,0,-5,"NYSE","","","Common Stock",43.24000000,43.24000000
20130916,43.50000000,46.13000000,43.20000000,45.07000000,4652,209666,N/A,N/A,0,-5,"NYSE","","","Common Stock",45.07000000,45.07000000
20130917,41.48000000,42.20000000,37.57000000,40.01000000,7099,284031,N/A,N/A,0,-5,"NYSE","","","Common Stock",40.01000000,40.01000000
20130918,39.98000000,41.94000000,39.70000000,41.66000000,2502,104233,N/A,N/A,0,-5,"NYSE","","","Common Stock",41.66000000,41.66000000
20130919,42.08000000,43.23000000,40.16000000,40.54000000,3529,143066,N/A,N/A,0,-5,"NYSE","","","Common Stock",40.54000000,40.54000000
20130920,40.53000000,41.09000000,38.80000000,38.95000000,5950,231753,N/A,N/A,0,-5,"NYSE","","","Common Stock",38.95000000,38.95000000
20130923,38.95000000,38.95000000,37.45000000,37.63000000,2557,96220,N/A,N/A,0,-5,"NYSE","","","Common Stock",37.63000000,37.63000000
20130924,37.76000000,37.76000000,35.10000000,35.35000000,4617,163211,N/A,N/A,0,-5,"NYSE","","","Common Stock",35.35000000,35.35000000
20130925,35.17000000,35.24000000,33.73000000,33.88000000,3981,134876,N/A,N/A,0,-5,"NYSE","","","Common Stock",33.88000000,33.88000000
20130926,33.95000000,35.97000000,33.55000000,35.50000000,3003,106607,N/A,N/A,0,-5,"NYSE","","","Common Stock",35.50000000,35.50000000
20130927,35.15000000,35.85000000,34.56000000,35.74000000,793,28342,N/A,N/A,0,-5,"NYSE","","","Common Stock",35.74000000,35.74000000
20130930,35.26000000,35.74000000,34.88000000,35.17000000,4859,170891,N/A,N/A,0,-5,"NYSE","","","Common Stock",35.17000000,35.17000000
20131001,35.19000000,35.89000000,35.00000000,35.38000000,1486,52575,N/A,N/A,0,-5,"NYSE","","","Common Stock",35.38000000,35.38000000
