Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130717,9.07253211,9.39812579,8.98774209,9.24211215,313844,2900581,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.24211215,9.24211215
20130718,9.27263656,9.54735622,9.15732213,9.49648221,31250,296765,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.49648221,9.49648221
20130719,9.47952421,9.53039822,9.37099298,9.45578300,12466,117876,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.45578300,9.45578300
20130722,9.39812579,9.53039822,9.29637777,9.32690217,8330,77693,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.32690217,9.32690217
20130723,9.29298616,9.45917460,9.29298616,9.42865020,11110,104752,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.42865020,9.42865020
20130724,9.37438458,9.40490899,9.32690217,9.37438458,4190,39279,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.37438458,9.37438458
20130725,9.36420978,9.57788063,9.32690217,9.49648221,4322,41044,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.49648221,9.49648221
20130726,9.49987381,9.98826433,9.48291581,9.83225069,2540,24974,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.83225069,9.83225069
20130729,9.72371947,9.84581709,9.60501344,9.60501344,540,5187,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.60501344,9.60501344
20130730,9.75085227,9.79494308,9.63214624,9.70676146,5220,50669,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",9.70676146,9.70676146
20130731,9.60162184,9.69997826,9.43543340,9.66606225,2300,22232,N/A,N/A,641571,22511,"NYSE","Utilities","Utilities/Electric","Common Stock",9.66606225,9.66606225
20130801,9.67962866,9.83564229,9.45239140,9.66606225,5570,53840,N/A,N/A,641571,22511,"NYSE","Utilities","Utilities/Electric","Common Stock",9.66606225,9.66606225
