Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19970715,13.21010499,13.21010499,12.32943133,12.71472606,30389,386388,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",12.71472606,12.71472606
19970716,12.71472606,12.96241552,12.52207869,12.76976816,7225,92262,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",12.76976816,12.76976816
19970717,12.74224711,13.32018920,12.65968395,13.26514710,3405,45168,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.26514710,13.26514710
19970718,13.29266815,13.37523131,12.96241552,13.37523131,2783,37223,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.37523131,13.37523131
19970721,13.37523131,13.43027341,13.26514710,13.32018920,1671,22258,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.32018920,13.32018920
19970722,13.43027341,14.06325761,13.40275236,13.62292077,1831,24944,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.62292077,13.62292077
19970723,13.70548393,13.78804709,13.65044183,13.65044183,2021,27588,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.65044183,13.65044183
19970724,13.67796288,13.67796288,13.54035762,13.62292077,1186,16157,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.62292077,13.62292077
19970725,13.59539972,13.67796288,13.56787867,13.62292077,724,9863,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.62292077,13.62292077
19970728,13.67796288,13.70548393,13.15506289,13.40275236,1160,15547,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.40275236,13.40275236
19970729,13.21010499,13.21010499,12.87985237,13.07249973,1558,20367,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.07249973,13.07249973
19970730,13.04497868,13.29266815,12.60464185,13.23762605,917,12139,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.23762605,13.23762605
19970731,13.26514710,13.65044183,13.21010499,13.65044183,669,9132,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.65044183,13.65044183
19970801,13.56787867,13.92565235,13.51283657,13.87061024,596,8267,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.87061024,13.87061024
19970804,13.84308919,13.87061024,13.62292077,13.76052603,278,3825,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.76052603,13.76052603
19970805,13.70548393,13.87061024,13.70548393,13.76052603,149,2050,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.76052603,13.76052603
19970806,13.70548393,13.84308919,13.67796288,13.81556814,293,4048,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.81556814,13.81556814
19970807,13.76052603,13.76052603,13.67796288,13.70548393,176,2412,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.70548393,13.70548393
19970808,13.70548393,13.73300498,13.54035762,13.56787867,195,2646,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.56787867,13.56787867
19970811,13.65044183,13.65044183,13.32018920,13.32018920,156,2078,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.32018920,13.32018920
19970812,13.43027341,13.51283657,13.32018920,13.32018920,218,2904,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.32018920,13.32018920
19970813,13.43027341,13.45779446,13.34771025,13.45779446,530,7133,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.45779446,13.45779446
19970814,13.45779446,13.62292077,13.43027341,13.48531551,315,4248,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.48531551,13.48531551
19970815,13.59539972,13.62292077,13.48531551,13.51283657,157,2122,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.51283657,13.51283657
19970818,13.54035762,13.56787867,13.45779446,13.48531551,333,4491,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.48531551,13.48531551
19970819,13.48531551,13.65044183,13.48531551,13.56787867,231,3134,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.56787867,13.56787867
19970820,13.54035762,13.73300498,13.51283657,13.67796288,449,6141,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.67796288,13.67796288
19970821,13.70548393,13.87061024,13.65044183,13.84308919,246,3405,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.84308919,13.84308919
19970822,13.76052603,13.92565235,13.62292077,13.92565235,247,3440,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",13.92565235,13.92565235
