Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20070726,12.70000000,12.70000000,11.86000000,12.11000000,2393,28979,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.11000000,12.11000000
20070727,12.20000000,12.59000000,11.90000000,12.30000000,5599,68868,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.30000000,12.30000000
20070730,12.25000000,12.50000000,11.12000000,12.25000000,3864,47334,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.25000000,12.25000000
20070731,12.25000000,12.40000000,12.00000000,12.00000000,1987,23844,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.00000000,12.00000000
20070801,12.20000000,12.77000000,12.20000000,12.60000000,3005,37863,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.60000000,12.60000000
20070802,12.60000000,12.78000000,12.60000000,12.70000000,454,5766,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.70000000,12.70000000
20070803,12.60000000,12.95000000,12.50000000,12.66000000,597,7558,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.66000000,12.66000000
20070806,12.65000000,12.68000000,12.18000000,12.30000000,1072,13186,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.30000000,12.30000000
20070807,12.20000000,12.29000000,11.71000000,11.72000000,2785,32640,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.72000000,11.72000000
20070808,11.44000000,11.94000000,11.10000000,11.35000000,2902,32938,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.35000000,11.35000000
20070809,11.20000000,11.74000000,10.90000000,11.33000000,1307,14808,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.33000000,11.33000000
20070810,11.20000000,12.30000000,11.20000000,12.00000000,1561,18732,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.00000000,12.00000000
20070813,12.00000000,12.75000000,11.90000000,11.99000000,1736,20815,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.99000000,11.99000000
20070814,12.05000000,12.10000000,11.14000000,11.83000000,1232,14575,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.83000000,11.83000000
20070815,12.09000000,12.09000000,10.25000000,11.00000000,2284,25124,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.00000000,11.00000000
20070816,10.80000000,11.96000000,10.77000000,11.50000000,3783,43505,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.50000000,11.50000000
20070817,11.23000000,11.30000000,9.60000000,10.36000000,1016,10526,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.36000000,10.36000000
20070820,10.35000000,10.84000000,10.25000000,10.60000000,561,5947,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.60000000,10.60000000
20070821,10.60000000,10.66000000,10.02000000,10.09000000,396,3996,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.09000000,10.09000000
20070822,10.09000000,10.09000000,9.26000000,9.83000000,672,6606,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.83000000,9.83000000
20070823,9.73000000,10.20000000,9.73000000,10.08000000,1855,18698,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.08000000,10.08000000
20070824,10.08000000,10.29000000,10.00000000,10.06000000,158,1589,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.06000000,10.06000000
20070827,10.06000000,10.11000000,9.80000000,9.82000000,9700,95254,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.82000000,9.82000000
20070828,9.82000000,10.06000000,9.60000000,9.63000000,6422,61844,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.63000000,9.63000000
20070829,9.55000000,9.83000000,9.55000000,9.57000000,1016,9723,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.57000000,9.57000000
20070830,9.73000000,10.79000000,9.69000000,9.80000000,1743,17081,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.80000000,9.80000000
20070831,10.00000000,10.26000000,9.50000000,9.68000000,2162,20928,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",9.68000000,9.68000000
