Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.72492374,0.72663346,0.71124593,0.72150428,65589,47323,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.72150428,0.72150428
19800804,0.72150428,0.72321401,0.71124593,0.71637511,25739,18439,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.71637511,0.71637511
19800805,0.71637511,0.72492374,0.71295565,0.72150428,35228,25417,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.72150428,0.72150428
19800806,0.72150428,0.72492374,0.71637511,0.72492374,18003,13051,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.72492374,0.72492374
19800807,0.72492374,0.73176264,0.72321401,0.72834319,48560,35368,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.72834319,0.72834319
19800808,0.72834319,0.73689182,0.71979456,0.71979456,43159,31066,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.71979456,0.71979456
19800811,0.71979456,0.73518209,0.71466538,0.72321401,34206,24738,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.72321401,0.72321401
19800812,0.72321401,0.72321401,0.71124593,0.71466538,34060,24342,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.71466538,0.71466538
19800813,0.71466538,0.71808483,0.70782648,0.71124593,39315,27963,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.71124593,0.71124593
19800814,0.71124593,0.71979456,0.71124593,0.71808483,35179,25262,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.71808483,0.71808483
19800815,0.72150428,0.72834319,0.72150428,0.72492374,17906,12980,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.72492374,0.72492374
19800818,0.71979456,0.71979456,0.71295565,0.71637511,20193,14466,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.71637511,0.71637511
19800819,0.71124593,0.71124593,0.69756812,0.70098757,14986,10505,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.70098757,0.70098757
19800820,0.70098757,0.71124593,0.69756812,0.70611675,18733,13228,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.70611675,0.70611675
19800821,0.70611675,0.70611675,0.69756812,0.70098757,28172,19748,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.70098757,0.70098757
19800822,0.70611675,0.71466538,0.70611675,0.70611675,18782,13262,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.70611675,0.70611675
19800825,0.70611675,0.71124593,0.70098757,0.70269730,42234,29678,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.70269730,0.70269730
19800826,0.70269730,0.70953620,0.69756812,0.70269730,17906,12582,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.70269730,0.70269730
19800827,0.69756812,0.69756812,0.69243895,0.69756812,23112,16122,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.69756812,0.69756812
19800828,0.69585840,0.69585840,0.69072922,0.69072922,23647,16334,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.69072922,0.69072922
19800829,0.69072922,0.69072922,0.67876114,0.68218059,69920,47698,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.68218059,0.68218059
19800901,0.69072922,0.69072922,0.67876114,0.68218059,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",49.87500000,0.68218059
19800902,0.68218059,0.68389032,0.67876114,0.68047086,31773,21621,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.68047086,0.68047086
19800903,0.68047086,0.68389032,0.67705141,0.68047086,93227,63438,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.68047086,0.68047086
19800904,0.68047086,0.68047086,0.65311525,0.65653470,66563,43701,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.65653470,0.65653470
19800905,0.65653470,0.65995416,0.63259854,0.64114717,91864,58898,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64114717,0.64114717
19800908,0.64114717,0.64969580,0.63943745,0.64285690,49825,32030,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64285690,0.64285690
19800909,0.64285690,0.64969580,0.63772772,0.64969580,86950,56491,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64969580,0.64969580
19800910,0.65140553,0.65995416,0.65140553,0.65482498,75759,49609,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.65482498,0.65482498
19800911,0.65482498,0.65653470,0.64969580,0.65311525,23501,15349,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.65311525,0.65311525
19800912,0.65311525,0.65311525,0.64798607,0.64798607,11240,7283,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64798607,0.64798607
19800915,0.64798607,0.65653470,0.64456662,0.65311525,66465,43409,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.65311525,0.65311525
19800916,0.65482498,0.67021251,0.65482498,0.66679306,56783,37863,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.66679306,0.66679306
19800917,0.66679306,0.68047086,0.66679306,0.67705141,75564,51161,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.67705141,0.67705141
19800918,0.67876114,0.68560004,0.67876114,0.68218059,37660,25691,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.68218059,0.68218059
19800919,0.68218059,0.69756812,0.67705141,0.68560004,57804,39630,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.68560004,0.68560004
19800922,0.68560004,0.69243895,0.68047086,0.68901949,45640,31447,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.68901949,0.68901949
19800923,0.68730977,0.68730977,0.67876114,0.67876114,39704,26950,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.67876114,0.67876114
19800924,0.67876114,0.68047086,0.66679306,0.67192224,68849,46261,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.67192224,0.67192224
19800925,0.67192224,0.67876114,0.66508333,0.67021251,41504,27817,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.67021251,0.67021251
19800926,0.66337361,0.66337361,0.65653470,0.65824443,70163,46184,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.65824443,0.65824443
19800929,0.65311525,0.65311525,0.64285690,0.64627635,104758,67703,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64627635,0.64627635
19800930,0.64627635,0.64969580,0.64456662,0.64627635,41407,26760,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64627635,0.64627635
19801001,0.64627635,0.65140553,0.63943745,0.65140553,122177,79587,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.65140553,0.65140553
19801002,0.65140553,0.65311525,0.63772772,0.64285690,23307,14983,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64285690,0.64285690
19801003,0.64285690,0.65653470,0.64114717,0.65311525,24912,16270,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.65311525,0.65311525
19801006,0.65311525,0.65824443,0.64456662,0.64969580,31286,20326,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64969580,0.64969580
19801007,0.64969580,0.65140553,0.64456662,0.64627635,45494,29402,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64627635,0.64627635
19801008,0.64627635,0.65140553,0.63943745,0.64798607,65492,42438,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.64798607,0.64798607
19801009,0.64285690,0.64285690,0.62917909,0.63259854,67828,42908,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.63259854,0.63259854
19801010,0.63259854,0.63601799,0.61550128,0.61721101,178376,110096,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.61721101,0.61721101
19801013,0.61721101,0.62063046,0.60695266,0.61892074,33135,20508,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.61892074,0.61892074
19801014,0.62234019,0.63088882,0.62234019,0.62575964,78629,49203,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.62575964,0.62575964
19801015,0.62575964,0.63430827,0.62063046,0.62575964,37709,23597,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",0.62575964,0.62575964
