Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.14925467,1.16918394,1.14925467,1.16918394,2171,2538,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.16918394,1.16918394
19800804,1.16918394,1.16918394,1.16254085,1.16254085,750,872,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.16254085,1.16254085
19800805,1.16918394,1.18247012,1.16918394,1.18247012,1841,2177,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.18247012,1.18247012
19800806,1.18911322,1.20239940,1.18911322,1.20239940,1911,2298,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.20239940,1.20239940
19800807,1.20239940,1.20572094,1.19575631,1.20239940,5133,6172,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.20239940,1.20239940
19800808,1.20904249,1.21900712,1.20904249,1.20904249,11507,13912,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.20904249,1.20904249
19800811,1.20904249,1.21568558,1.20572094,1.20572094,3132,3776,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.20572094,1.20572094
19800812,1.19907785,1.19907785,1.18579167,1.18579167,410,486,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.18579167,1.18579167
19800813,1.18247012,1.18247012,1.17250549,1.17250549,4733,5549,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.17250549,1.17250549
19800814,1.17250549,1.17582703,1.16918394,1.17582703,4083,4801,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.17582703,1.17582703
19800815,1.17582703,1.17914858,1.16918394,1.16918394,1181,1381,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.16918394,1.16918394
19800818,1.16918394,1.16918394,1.14261158,1.14593313,931,1067,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.14593313,1.14593313
19800819,1.14593313,1.16254085,1.14261158,1.16254085,1541,1791,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.16254085,1.16254085
19800820,1.16254085,1.17250549,1.15921931,1.17250549,2842,3332,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.17250549,1.17250549
19800821,1.17914858,1.18911322,1.17914858,1.18247012,4503,5325,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.18247012,1.18247012
19800822,1.18247012,1.18247012,1.17582703,1.17914858,1051,1239,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.17914858,1.17914858
19800825,1.17914858,1.17914858,1.16918394,1.17250549,350,410,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.17250549,1.17250549
19800826,1.17250549,1.17914858,1.16918394,1.17250549,951,1115,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.17250549,1.17250549
19800827,1.17250549,1.17250549,1.16254085,1.16918394,1441,1685,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.16918394,1.16918394
19800828,1.16586240,1.16586240,1.16586240,1.16586240,10,12,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.16586240,1.16586240
19800829,1.16918394,1.17250549,1.16918394,1.16918394,1701,1989,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.16918394,1.16918394
19800901,1.16918394,1.17250549,1.16918394,1.16918394,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",44.00000000,1.16918394
19800902,1.16918394,1.17914858,1.16918394,1.17914858,6434,7587,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.17914858,1.17914858
19800903,1.18247012,1.22232867,1.18247012,1.22232867,991,1211,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.22232867,1.22232867
19800904,1.26218721,1.27547339,1.26218721,1.26883030,2231,2831,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.26883030,1.26883030
19800905,1.26883030,1.28211648,1.26883030,1.27879494,130,166,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.27879494,1.27879494
19800908,1.27547339,1.27547339,1.25554412,1.26218721,1191,1503,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.26218721,1.26218721
19800909,1.26218721,1.26550876,1.23893639,1.26550876,2542,3217,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.26550876,1.26550876
19800910,1.26550876,1.26883030,1.26550876,1.26550876,710,899,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.26550876,1.26550876
19800911,1.26550876,1.27215185,1.26218721,1.26218721,1381,1743,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.26218721,1.26218721
19800912,1.26218721,1.27547339,1.26218721,1.27547339,1371,1749,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.27547339,1.27547339
19800915,1.27547339,1.28211648,1.26550876,1.27547339,2582,3293,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.27547339,1.27547339
19800916,1.27879494,1.31533194,1.27879494,1.31533194,2011,2645,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.31533194,1.31533194
19800917,1.32861812,1.34190430,1.32861812,1.34190430,370,497,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.34190430,1.34190430
19800918,1.35519048,1.37179821,1.35519048,1.35851203,1211,1645,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.35851203,1.35851203
19800919,1.35851203,1.37844130,1.35519048,1.37179821,360,494,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.37179821,1.37179821
19800922,1.37179821,1.37844130,1.36515512,1.37511975,1381,1899,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.37511975,1.37511975
19800923,1.38176284,1.39172748,1.38176284,1.38176284,1111,1535,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.38176284,1.38176284
19800924,1.37511975,1.37511975,1.36847666,1.36847666,1471,2013,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",1.36847666,1.36847666
