Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19830610,2.54443699,2.54443699,2.52424304,2.52424304,4032,10178,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.52424304,2.52424304
19830613,2.53434001,2.54443699,2.48385515,2.51414607,632,1589,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.51414607,2.51414607
19830614,2.50404910,2.61006730,2.50404910,2.59997033,5164,13426,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.59997033,2.59997033
19830615,2.60501882,2.82715221,2.60501882,2.82715221,3000,8481,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.82715221,2.82715221
19830616,2.80695826,2.80695826,2.67064914,2.68579460,2800,7520,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.68579460,2.68579460
19830617,2.70598854,2.74637643,2.66560065,2.69589157,2360,6362,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.69589157,2.69589157
19830620,2.68579460,2.74637643,2.64540671,2.64540671,1192,3153,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.64540671,2.64540671
19830621,2.62521276,2.65550368,2.62521276,2.63530973,4576,12059,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.63530973,2.63530973
19830622,2.61006730,2.63530973,2.58987336,2.63530973,2332,6146,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.63530973,2.63530973
19830623,2.63530973,2.63530973,2.60501882,2.62521276,1860,4883,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.62521276,2.62521276
19830624,2.62521276,2.62521276,2.57472790,2.58482487,4312,11146,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.58482487,2.58482487
19830627,2.60501882,2.60501882,2.40307938,2.49395212,3832,9557,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.49395212,2.49395212
19830628,2.49395212,2.54443699,2.48385515,2.49395212,5712,14245,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.49395212,2.49395212
19830629,2.48385515,2.62521276,2.47375818,2.56463093,1880,4822,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.56463093,2.56463093
19830630,2.54443699,2.55453396,2.50404910,2.52424304,3568,9006,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.52424304,2.52424304
19830701,2.55453396,2.56463093,2.53434001,2.55453396,1312,3352,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.55453396,2.55453396
19830704,2.55453396,2.56463093,2.53434001,2.55453396,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",63.25000000,2.55453396
19830705,2.55453396,2.55453396,2.49395212,2.51414607,2980,7492,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.51414607,2.51414607
19830706,2.52424304,2.53434001,2.50404910,2.53434001,1348,3416,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.53434001,2.53434001
19830707,2.53434001,2.53434001,2.48890364,2.49395212,2172,5417,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.49395212,2.49395212
19830708,2.49395212,2.49395212,2.44851575,2.45356424,7984,19589,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.45356424,2.45356424
19830711,2.45356424,2.45861272,2.43337029,2.44346726,4108,10038,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.44346726,2.44346726
19830712,2.43337029,2.43337029,2.41317635,2.41317635,5856,14132,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",2.41317635,2.41317635
