Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19971023,16.00000000,20.00000000,15.75000000,18.50000000,84918,1570983,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",18.50000000,18.50000000
19971024,20.00000000,20.21875000,18.75000000,19.00000000,22144,420736,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",19.00000000,19.00000000
19971027,18.87500000,18.90625000,15.50000000,16.50000000,9378,154737,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.50000000,16.50000000
19971028,14.87500000,18.12500000,14.87500000,17.43750000,12174,212284,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.43750000,17.43750000
19971029,18.00000000,18.50000000,17.75000000,18.50000000,6876,127206,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",18.50000000,18.50000000
19971030,17.62500000,19.18750000,17.50000000,18.62500000,4948,92157,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",18.62500000,18.62500000
19971031,18.81250000,18.96875000,17.62500000,17.93750000,1894,33974,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.93750000,17.93750000
19971103,18.06250000,18.50000000,17.56250000,17.75000000,2560,45440,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.75000000,17.75000000
19971104,17.68750000,17.75000000,17.18750000,17.62500000,2246,39586,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.62500000,17.62500000
19971105,17.37500000,18.18750000,17.25000000,18.18750000,3028,55072,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",18.18750000,18.18750000
19971106,18.31250000,18.50000000,17.87500000,17.93750000,2174,38996,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.93750000,17.93750000
19971107,17.50000000,17.75000000,17.25000000,17.75000000,2360,41890,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.75000000,17.75000000
19971110,17.75000000,18.06250000,17.75000000,17.81250000,686,12219,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.81250000,17.81250000
19971111,17.81250000,18.21875000,17.62500000,17.68750000,2442,43193,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.68750000,17.68750000
19971112,17.56250000,18.12500000,17.31250000,17.31250000,1006,17416,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.31250000,17.31250000
19971113,17.25000000,17.31250000,15.25000000,16.56250000,4958,82117,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.56250000,16.56250000
19971114,16.81250000,17.06250000,16.12500000,16.50000000,990,16335,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.50000000,16.50000000
19971117,16.81250000,17.12500000,16.62500000,16.75000000,984,16482,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.75000000,16.75000000
19971118,16.75000000,16.75000000,15.46875000,15.59375000,2298,35834,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.59375000,15.59375000
19971119,15.21875000,15.25000000,14.62500000,15.18750000,8302,126087,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.18750000,15.18750000
19971120,16.00000000,16.25000000,15.75000000,15.96875000,3822,61033,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.96875000,15.96875000
19971121,16.06250000,16.12500000,15.62500000,15.62500000,752,11750,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.62500000,15.62500000
19971124,15.62500000,15.62500000,14.93750000,14.93750000,1800,26888,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.93750000,14.93750000
19971125,14.93750000,15.00000000,14.00000000,14.68750000,3918,57546,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.68750000,14.68750000
19971126,14.75000000,15.31250000,14.75000000,15.03125000,1954,29371,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.03125000,15.03125000
19971127,14.75000000,15.31250000,14.75000000,15.03125000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",30.06250000,15.03125000
19971128,15.03125000,15.03125000,14.96875000,14.96875000,798,11945,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.96875000,14.96875000
19971201,14.96875000,14.96875000,13.75000000,14.53125000,4668,67832,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.53125000,14.53125000
19971202,14.50000000,15.56250000,14.50000000,15.37500000,856,13161,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.37500000,15.37500000
19971203,16.25000000,17.00000000,16.06250000,16.56250000,3950,65422,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.56250000,16.56250000
19971204,16.68750000,17.43750000,16.68750000,17.09375000,2458,42016,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.09375000,17.09375000
19971205,17.00000000,17.09375000,16.81250000,16.81250000,1488,25017,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.81250000,16.81250000
19971208,16.93750000,16.93750000,16.56250000,16.68750000,426,7109,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.68750000,16.68750000
19971209,16.50000000,16.56250000,16.06250000,16.18750000,486,7867,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.18750000,16.18750000
19971210,16.18750000,16.18750000,16.00000000,16.00000000,526,8416,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.00000000,16.00000000
19971211,15.75000000,15.75000000,14.87500000,15.03125000,1214,18248,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.03125000,15.03125000
19971212,15.12500000,15.37500000,15.00000000,15.25000000,1460,22265,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.25000000,15.25000000
19971215,15.25000000,15.25000000,14.68750000,14.75000000,2204,32509,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.75000000,14.75000000
19971216,14.75000000,15.81250000,14.75000000,15.37500000,660,10148,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.37500000,15.37500000
19971217,15.75000000,15.75000000,15.68750000,15.71875000,448,7042,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.71875000,15.71875000
19971218,15.65625000,16.25000000,15.65625000,15.93750000,3424,54570,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.93750000,15.93750000
19971219,15.81250000,15.81250000,15.37500000,15.56250000,616,9587,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.56250000,15.56250000
19971222,15.50000000,15.56250000,15.00000000,15.12500000,1528,23111,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.12500000,15.12500000
19971223,15.15625000,15.18750000,14.87500000,14.87500000,2116,31476,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.87500000,14.87500000
19971224,14.75000000,15.00000000,14.43750000,15.00000000,926,13890,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.00000000,15.00000000
19971225,14.75000000,15.00000000,14.43750000,15.00000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",30.00000000,15.00000000
19971226,14.93750000,14.93750000,14.53125000,14.68750000,224,3290,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.68750000,14.68750000
19971229,14.62500000,15.81250000,14.62500000,15.75000000,710,11183,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.75000000,15.75000000
19971230,15.75000000,16.31250000,15.68750000,16.06250000,1156,18568,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",16.06250000,16.06250000
19971231,16.18750000,17.93750000,16.18750000,17.56250000,1844,32385,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.56250000,17.56250000
19980101,16.18750000,17.93750000,16.18750000,17.56250000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",35.12500000,17.56250000
19980102,17.31250000,17.50000000,17.03125000,17.18750000,1058,18184,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",17.18750000,17.18750000
19980105,17.09375000,17.09375000,15.59375000,15.68750000,2376,37274,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",15.68750000,15.68750000
19980106,15.56250000,15.59375000,13.56250000,13.93750000,5504,76712,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.93750000,13.93750000
19980107,14.12500000,14.37500000,13.50000000,14.00000000,2654,37156,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.00000000,14.00000000
19980108,13.87500000,13.87500000,13.56250000,13.75000000,514,7068,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.75000000,13.75000000
19980109,13.62500000,13.65625000,12.50000000,12.87500000,3114,40093,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.87500000,12.87500000
19980112,12.12500000,12.68750000,11.18750000,11.68750000,2758,32234,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",11.68750000,11.68750000
19980113,12.00000000,12.50000000,12.00000000,12.50000000,4108,51350,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.50000000,12.50000000
19980114,13.06250000,13.43750000,12.93750000,13.12500000,4028,52868,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.12500000,13.12500000
19980115,13.43750000,13.50000000,13.18750000,13.21875000,1048,13853,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.21875000,13.21875000
19980116,13.34375000,13.75000000,13.25000000,13.71875000,1510,20715,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.71875000,13.71875000
19980119,13.34375000,13.75000000,13.25000000,13.71875000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",27.43750000,13.71875000
19980120,14.12500000,14.56250000,13.93750000,14.40625000,1708,24606,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.40625000,14.40625000
19980121,14.53125000,14.53125000,14.12500000,14.34375000,862,12364,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.34375000,14.34375000
