Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.05603189,1.07111806,1.04848880,1.05603189,3380,3569,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.05603189,1.05603189
19800804,1.04848880,1.04848880,1.01831646,1.03340263,3389,3502,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.03340263,1.03340263
19800805,1.03340263,1.05603189,1.02585955,1.04848880,2971,3115,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04848880,1.04848880
19800806,1.04848880,1.04848880,1.04094572,1.04094572,305,317,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04094572,1.04094572
19800807,1.04094572,1.04848880,1.02585955,1.03340263,3568,3687,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.03340263,1.03340263
19800808,1.03340263,1.04848880,1.03340263,1.03340263,489,505,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.03340263,1.03340263
19800811,1.03340263,1.05603189,1.03340263,1.03340263,544,562,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.03340263,1.03340263
19800812,1.03340263,1.04094572,1.02585955,1.03340263,1457,1506,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.03340263,1.03340263
19800813,1.03340263,1.04094572,1.02585955,1.02585955,835,857,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.02585955,1.02585955
19800814,1.02585955,1.03340263,1.02585955,1.03340263,679,702,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.03340263,1.03340263
19800815,1.03340263,1.03340263,1.02585955,1.03340263,475,491,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.03340263,1.03340263
19800818,1.03340263,1.04094572,1.02585955,1.04094572,558,581,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04094572,1.04094572
19800819,1.04094572,1.04848880,1.04094572,1.04094572,2717,2828,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04094572,1.04094572
19800820,1.04094572,1.07866114,1.04094572,1.06357497,9699,10316,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.06357497,1.06357497
19800821,1.06357497,1.07866114,1.05603189,1.06357497,1285,1367,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.06357497,1.06357497
19800822,1.06357497,1.07866114,1.05603189,1.07866114,952,1027,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.07866114,1.07866114
19800825,1.07866114,1.07866114,1.06357497,1.07111806,647,693,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.07111806,1.07111806
19800826,1.07111806,1.07111806,1.06357497,1.07111806,941,1008,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.07111806,1.07111806
19800827,1.06357497,1.06357497,1.04094572,1.04094572,2136,2223,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04094572,1.04094572
19800828,1.04094572,1.04848880,1.04094572,1.04094572,803,836,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04094572,1.04094572
19800829,1.04094572,1.04848880,1.03340263,1.04094572,2159,2247,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04094572,1.04094572
19800901,1.04094572,1.04848880,1.03340263,1.04094572,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",17.25000000,1.04094572
19800902,1.04094572,1.06357497,1.04094572,1.05603189,571,603,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.05603189,1.05603189
19800903,1.05603189,1.07866114,1.05603189,1.07866114,1721,1856,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.07866114,1.07866114
19800904,1.07866114,1.07866114,1.05603189,1.07111806,1271,1361,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.07111806,1.07111806
19800905,1.07111806,1.07111806,1.06357497,1.06357497,3065,3260,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.06357497,1.06357497
19800908,1.06357497,1.06357497,1.05603189,1.05603189,617,652,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.05603189,1.05603189
19800909,1.05603189,1.06357497,1.04848880,1.06357497,1911,2032,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.06357497,1.06357497
19800910,1.06357497,1.06357497,1.05603189,1.06357497,631,671,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.06357497,1.06357497
19800911,1.06357497,1.07111806,1.05603189,1.06357497,3880,4127,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.06357497,1.06357497
19800912,1.06357497,1.06357497,1.04848880,1.04848880,636,667,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04848880,1.04848880
19800915,1.04848880,1.05603189,1.04848880,1.04848880,583,611,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",1.04848880,1.04848880
