Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19951031,3.47500000,4.20000000,3.47500000,4.07500000,154795,630790,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.07500000,4.07500000
19951101,3.90000000,3.95000000,3.87500000,3.90000000,30565,119203,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",3.90000000,3.90000000
19951102,3.95000000,4.22500000,3.90000000,4.17500000,11855,49495,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.17500000,4.17500000
19951103,4.17500000,4.22500000,3.85000000,4.00000000,18235,72940,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.00000000,4.00000000
19951106,3.97500000,4.00000000,3.87500000,3.90000000,3395,13240,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",3.90000000,3.90000000
19951107,3.87500000,3.97500000,3.75000000,3.80000000,6275,23845,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",3.80000000,3.80000000
19951108,3.70000000,3.82500000,3.60000000,3.82500000,12140,46435,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",3.82500000,3.82500000
19951109,3.82500000,4.07500000,3.82500000,4.05000000,8310,33655,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.05000000,4.05000000
19951110,4.07500000,4.15000000,4.05000000,4.10000000,4585,18798,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.10000000,4.10000000
19951113,4.12500000,4.20000000,4.10000000,4.15000000,2515,10437,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.15000000,4.15000000
19951114,4.17500000,4.20000000,4.12500000,4.15000000,3655,15168,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.15000000,4.15000000
19951115,4.12500000,4.12500000,4.05000000,4.10000000,5935,24333,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.10000000,4.10000000
19951116,4.10000000,4.12500000,4.07500000,4.10000000,4265,17486,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.10000000,4.10000000
19951117,4.10000000,4.15000000,4.10000000,4.15000000,805,3341,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.15000000,4.15000000
19951120,4.20000000,4.30000000,4.20000000,4.30000000,2535,10900,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.30000000,4.30000000
19951121,4.30000000,4.35000000,4.30000000,4.30000000,7070,30401,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.30000000,4.30000000
19951122,4.27500000,4.42500000,4.27500000,4.40000000,2355,10362,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.40000000,4.40000000
19951123,4.27500000,4.42500000,4.27500000,4.40000000,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",22.00000000,4.40000000
19951124,4.47500000,4.52500000,4.45000000,4.52500000,295,1335,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.52500000,4.52500000
19951127,4.50000000,4.92500000,4.50000000,4.85000000,1890,9166,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",4.85000000,4.85000000
19951128,4.95000000,5.35000000,4.95000000,5.32500000,7005,37302,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.32500000,5.32500000
19951129,5.30000000,5.85000000,5.27500000,5.60000000,10080,56448,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.60000000,5.60000000
19951130,5.45000000,5.47500000,5.32500000,5.37500000,7055,37921,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.37500000,5.37500000
19951201,5.35000000,5.47500000,5.30000000,5.37500000,7540,40527,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.37500000,5.37500000
19951204,5.20000000,5.27500000,5.12500000,5.25000000,3410,17903,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.25000000,5.25000000
19951205,5.27500000,5.35000000,5.25000000,5.32500000,555,2955,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.32500000,5.32500000
19951206,5.50000000,5.77500000,5.50000000,5.67500000,6580,37341,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.67500000,5.67500000
19951207,5.70000000,5.72500000,5.65000000,5.65000000,5765,32572,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.65000000,5.65000000
19951208,5.62500000,5.72500000,5.62500000,5.70000000,5025,28642,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.70000000,5.70000000
19951211,5.72500000,5.75000000,5.70000000,5.72500000,3350,19179,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.72500000,5.72500000
19951212,5.72500000,5.97500000,5.72500000,5.92500000,2740,16234,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.92500000,5.92500000
19951213,5.95000000,5.97500000,5.95000000,5.95000000,4840,28798,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.95000000,5.95000000
19951214,5.90000000,6.00000000,5.90000000,5.95000000,2725,16214,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.95000000,5.95000000
19951215,5.95000000,5.95000000,5.92500000,5.95000000,1145,6813,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.95000000,5.95000000
19951218,5.95000000,5.95000000,5.70000000,5.72500000,1700,9732,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.72500000,5.72500000
19951219,5.67500000,5.67500000,5.45000000,5.45000000,3425,18666,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.45000000,5.45000000
19951220,5.47500000,5.47500000,5.17500000,5.27500000,715,3772,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.27500000,5.27500000
19951221,5.27500000,5.35000000,5.20000000,5.20000000,4075,21190,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.20000000,5.20000000
19951222,5.22500000,5.25000000,5.20000000,5.20000000,2240,11648,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.20000000,5.20000000
19951225,5.22500000,5.25000000,5.20000000,5.20000000,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",26.00000000,5.20000000
19951226,5.22500000,5.22500000,5.20000000,5.20000000,1520,7904,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Providers","Common Stock",5.20000000,5.20000000
