Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210129,10.10000000,10.10000000,9.95000000,10.00000000,2751,27510,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.00000000,10.00000000
20210201,10.04000000,10.10000000,10.00000000,10.03000000,4331,43440,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.03000000,10.03000000
20210202,10.04000000,10.09000000,10.02000000,10.06000000,912,9175,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.06000000,10.06000000
20210203,10.08000000,10.11000000,10.03000000,10.05000000,1680,16884,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.05000000,10.05000000
20210204,10.12000000,10.15000000,10.04000000,10.13500000,1590,16115,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.13500000,10.13500000
20210205,10.17000000,10.17000000,10.08000000,10.10000000,1038,10484,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.10000000,10.10000000
20210208,10.11000000,10.29000000,10.03000000,10.13000000,5211,52787,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.13000000,10.13000000
20210209,10.13000000,10.14000000,10.09000000,10.13000000,453,4589,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.13000000,10.13000000
20210210,10.11000000,10.11000000,10.04000000,10.08000000,661,6663,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.08000000,10.08000000
20210211,10.11000000,10.12000000,10.05000000,10.10000000,452,4565,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.10000000,10.10000000
20210212,10.08000000,10.16000000,10.07000000,10.12000000,632,6396,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.12000000,10.12000000
20210215,10.08000000,10.16000000,10.07000000,10.12000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
20210216,10.18500000,10.18500000,10.06000000,10.15000000,649,6587,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.15000000,10.15000000
20210217,10.15000000,10.17000000,10.11000000,10.16000000,863,8768,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.16000000,10.16000000
20210218,10.16000000,10.20000000,10.11000000,10.18000000,529,5385,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.18000000,10.18000000
20210219,10.18000000,10.28000000,10.15000000,10.21500000,462,4719,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.21500000,10.21500000
