Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19880210,3.58307111,3.62785950,3.58307111,3.58307111,1061,3802,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880211,3.58307111,3.62785950,3.58307111,3.58307111,49,176,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880212,3.58307111,3.58307111,3.58307111,3.58307111,120,430,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880215,3.58307111,3.58307111,3.58307111,3.58307111,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",10.00000000,3.58307111
19880216,3.58307111,3.58307111,3.58307111,3.58307111,15,54,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880217,3.58307111,3.62785950,3.58307111,3.62785950,113,410,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.62785950,3.62785950
19880218,3.62785950,3.62785950,3.58307111,3.58307111,16,57,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880219,3.58307111,3.62785950,3.58307111,3.62785950,51,185,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.62785950,3.62785950
19880222,3.62785950,3.62785950,3.58307111,3.62785950,5,18,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.62785950,3.62785950
19880223,3.62785950,3.62785950,3.58307111,3.62785950,45,163,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.62785950,3.62785950
19880224,3.58307111,3.58307111,3.58307111,3.58307111,92,330,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880225,3.58307111,3.62785950,3.58307111,3.62785950,16,58,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.62785950,3.62785950
19880226,3.62785950,3.62785950,3.58307111,3.62785950,123,446,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.62785950,3.62785950
19880229,3.58307111,3.58307111,3.58307111,3.58307111,532,1906,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880301,3.58307111,3.58307111,3.53828272,3.58307111,120,430,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880302,3.53828272,3.53828272,3.53828272,3.53828272,47,166,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880303,3.53828272,3.53828272,3.53828272,3.53828272,100,354,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880304,3.53828272,3.53828272,3.53828272,3.53828272,54,191,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880307,3.53828272,3.53828272,3.49349433,3.53828272,83,294,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880308,3.53828272,3.53828272,3.53828272,3.53828272,56,198,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880309,3.53828272,3.58307111,3.53828272,3.58307111,89,319,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880310,3.58307111,3.58307111,3.53828272,3.58307111,107,383,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880311,3.58307111,3.58307111,3.53828272,3.53828272,8,28,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880314,3.53828272,3.53828272,3.53828272,3.53828272,12,42,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880315,3.53828272,3.58307111,3.53828272,3.58307111,24,86,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880316,3.53828272,3.53828272,3.53828272,3.53828272,14,50,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.53828272,3.53828272
19880317,3.53828272,3.58307111,3.53828272,3.58307111,28,100,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880318,3.58307111,3.58307111,3.53828272,3.58307111,81,290,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880321,3.58307111,3.58307111,3.53828272,3.58307111,38,136,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880322,3.58307111,3.58307111,3.53828272,3.58307111,40,143,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880323,3.58307111,3.58307111,3.53828272,3.58307111,82,294,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880324,3.58307111,3.58307111,3.53828272,3.58307111,128,459,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880325,3.58307111,3.58307111,3.53828272,3.58307111,61,219,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880328,3.58307111,3.58307111,3.58307111,3.58307111,45,161,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.58307111,3.58307111
19880329,3.58307111,3.62785950,3.58307111,3.62785950,79,287,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",3.62785950,3.62785950
