Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19840604,1.33333333,1.48148148,1.33333333,1.33333333,81,108,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840605,1.33333333,1.33333333,1.33333333,1.33333333,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840606,1.33333333,1.44444444,1.33333333,1.33333333,149,199,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840607,1.33333333,1.33333333,1.33333333,1.33333333,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840608,1.33333333,1.33333333,1.33333333,1.33333333,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840611,1.33333333,1.48148148,1.33333333,1.33333333,81,108,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840612,1.33333333,1.33333333,1.33333333,1.33333333,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840613,1.33333333,1.40740741,1.33333333,1.33333333,54,72,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840614,1.33333333,1.33333333,1.33333333,1.33333333,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840615,1.33333333,1.40740741,1.33333333,1.33333333,47,63,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840618,1.33333333,1.33333333,1.33333333,1.33333333,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840619,1.33333333,1.40740741,1.33333333,1.33333333,20,27,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
19840620,1.33333333,1.40740741,1.29629630,1.29629630,34,44,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.29629630,1.29629630
19840621,1.29629630,1.29629630,1.29629630,1.29629630,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.29629630,1.29629630
19840622,1.29629630,1.40740741,1.29629630,1.29629630,7,9,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.29629630,1.29629630
19840625,1.29629630,1.29629630,1.29629630,1.29629630,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.29629630,1.29629630
19840626,1.29629630,1.29629630,1.29629630,1.29629630,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.29629630,1.29629630
19840627,1.29629630,1.37037037,1.25925926,1.25925926,7,9,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840628,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840629,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840702,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840703,1.25925926,1.37037037,1.25925926,1.25925926,95,120,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840704,1.25925926,1.37037037,1.25925926,1.25925926,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction","Common Stock",8.50000000,1.25925926
19840705,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840706,1.25925926,1.37037037,1.25925926,1.25925926,142,179,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840709,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840710,1.25925926,1.37037037,1.25925926,1.25925926,34,43,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840711,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840712,1.25925926,1.37037037,1.25925926,1.25925926,7,9,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840713,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840716,1.25925926,1.37037037,1.25925926,1.25925926,7,9,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840717,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840718,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840719,1.25925926,1.37037037,1.22222222,1.22222222,95,116,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840720,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840723,1.22222222,1.33333333,1.22222222,1.22222222,14,17,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840724,1.22222222,1.33333333,1.22222222,1.22222222,20,24,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840725,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840726,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840727,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840730,1.22222222,1.33333333,1.22222222,1.22222222,7,9,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840731,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840801,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840802,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840803,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840806,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840807,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840808,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840809,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840810,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840813,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840814,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840815,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840816,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840817,1.22222222,1.37037037,1.22222222,1.22222222,14,17,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840820,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840821,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840822,1.22222222,1.37037037,1.22222222,1.22222222,7,9,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840823,1.22222222,1.37037037,1.22222222,1.22222222,14,17,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840824,1.22222222,1.37037037,1.22222222,1.22222222,14,17,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840827,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840828,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840829,1.22222222,1.37037037,1.22222222,1.22222222,14,17,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840830,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840831,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.22222222,1.22222222
19840903,1.22222222,1.22222222,1.22222222,1.22222222,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction","Common Stock",8.25000000,1.22222222
19840904,1.25925926,1.40740741,1.25925926,1.25925926,88,111,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840905,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840906,1.25925926,1.33333333,1.25925926,1.25925926,7,9,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840907,1.25925926,1.40740741,1.25925926,1.25925926,54,68,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840910,1.25925926,1.25925926,1.25925926,1.25925926,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.25925926,1.25925926
19840911,1.29629630,1.40740741,1.29629630,1.29629630,27,35,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.29629630,1.29629630
19840912,1.29629630,1.29629630,1.29629630,1.29629630,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.29629630,1.29629630
19840913,1.33333333,1.44444444,1.33333333,1.33333333,338,451,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction","Common Stock",1.33333333,1.33333333
