Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20121003,20.00000000,20.75000000,18.55000000,19.30000000,31825,614223,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.30000000,19.30000000
20121004,19.30000000,19.30000000,18.66000000,19.23000000,22967,441655,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.23000000,19.23000000
20121005,19.42000000,19.42000000,18.25000000,18.72000000,10081,188716,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.72000000,18.72000000
20121008,18.63000000,18.66000000,18.34000000,18.50000000,4595,85008,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.50000000,18.50000000
20121009,18.49000000,18.49000000,18.20000000,18.25000000,6787,123863,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.25000000,18.25000000
20121010,18.00000000,18.04000000,17.00000000,17.35000000,39118,678697,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.35000000,17.35000000
20121011,17.50000000,17.78000000,17.26000000,17.39000000,19250,334758,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.39000000,17.39000000
20121012,17.17000000,18.43000000,17.17000000,18.01000000,13494,243027,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.01000000,18.01000000
20121015,18.02000000,18.87000000,18.02000000,18.73000000,9278,173777,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.73000000,18.73000000
20121016,18.55000000,19.29000000,18.49000000,18.96000000,11020,208939,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.96000000,18.96000000
20121017,18.90000000,19.25000000,18.63000000,18.71000000,4900,91679,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.71000000,18.71000000
20121018,18.70000000,19.35000000,18.65000000,19.35000000,13950,269933,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.35000000,19.35000000
20121019,19.35000000,19.53000000,18.76000000,18.95000000,27936,529387,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.95000000,18.95000000
20121022,18.90000000,18.95000000,18.41000000,18.47000000,9816,181302,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.47000000,18.47000000
20121023,18.47000000,18.54000000,17.95000000,18.40000000,8048,148083,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.40000000,18.40000000
20121024,18.35000000,18.66000000,18.10000000,18.65000000,8290,154608,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.65000000,18.65000000
20121025,18.99000000,18.99000000,18.50000000,18.87000000,1612,30418,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.87000000,18.87000000
20121026,18.90000000,18.95000000,18.25000000,18.60000000,7360,136896,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.60000000,18.60000000
20121029,18.90000000,18.95000000,18.25000000,18.60000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",18.60000000,18.60000000
20121030,18.90000000,18.95000000,18.25000000,18.60000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",18.60000000,18.60000000
20121031,18.25000000,18.92000000,18.23000000,18.70000000,6687,125047,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.70000000,18.70000000
20121101,19.23000000,19.23000000,18.50000000,18.61000000,2377,44236,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.61000000,18.61000000
20121102,18.80000000,18.80000000,18.29000000,18.32000000,2541,46551,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.32000000,18.32000000
20121105,18.40000000,18.40000000,18.10000000,18.32000000,1927,35303,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.32000000,18.32000000
20121106,18.50000000,18.95000000,18.30000000,18.44000000,5760,106214,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.44000000,18.44000000
20121107,18.47000000,18.47000000,17.83000000,18.00000000,8468,152424,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.00000000,18.00000000
20121108,17.75000000,18.11000000,17.75000000,18.00000000,1219,21942,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.00000000,18.00000000
20121109,17.91000000,18.49000000,17.91000000,18.21000000,1858,33834,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.21000000,18.21000000
20121112,18.10000000,18.16000000,18.00000000,18.04000000,934,16849,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.04000000,18.04000000
20121113,17.85000000,18.24000000,17.85000000,18.06000000,2325,41989,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.06000000,18.06000000
20121114,18.50000000,18.64000000,18.27000000,18.29000000,4101,75007,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.29000000,18.29000000
20121115,18.38000000,18.52000000,17.91000000,18.04000000,4029,72683,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.04000000,18.04000000
20121116,18.01000000,18.06000000,17.73000000,18.05000000,1459,26335,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.05000000,18.05000000
20121119,17.91000000,18.12000000,17.91000000,17.96000000,2090,37536,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.96000000,17.96000000
20121120,17.87000000,18.16000000,17.86000000,18.04000000,2263,40825,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.04000000,18.04000000
20121121,17.95000000,18.06000000,17.89000000,17.97000000,1177,21151,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.97000000,17.97000000
20121122,17.95000000,18.06000000,17.89000000,17.97000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",17.97000000,17.97000000
20121123,17.95000000,18.12000000,17.87000000,18.07000000,508,9180,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.07000000,18.07000000
20121126,18.14000000,18.56000000,18.09000000,18.43000000,3123,57557,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.43000000,18.43000000
20121127,18.33000000,18.78000000,18.26000000,18.57000000,1246,23138,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.57000000,18.57000000
20121128,18.65000000,18.73000000,18.39000000,18.51000000,2493,46145,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.51000000,18.51000000
20121129,18.35000000,18.69000000,18.35000000,18.57000000,6371,118309,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.57000000,18.57000000
20121130,18.54000000,18.54000000,18.21000000,18.50000000,3293,60921,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.50000000,18.50000000
20121203,18.35000000,18.42000000,18.22000000,18.27000000,892,16297,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.27000000,18.27000000
