Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130501,6.83657445,6.99849332,6.83657445,6.91573479,56139,388242,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.91573479,6.91573479
20130502,6.91213659,7.03087709,6.89054741,7.01288611,9861,69154,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.01288611,7.01288611
20130503,7.01648430,7.06326087,6.93012757,7.04526988,1566,11033,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.04526988,7.04526988
20130506,7.01648430,7.02368070,6.91573479,7.00568971,935,6550,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.00568971,7.00568971
20130507,6.98050233,7.00928791,6.94452036,7.00928791,1038,7276,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.00928791,7.00928791
20130508,7.00928791,7.03447529,6.95171676,7.03447529,1128,7935,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.03447529,7.03447529
20130509,7.01648430,7.03087709,6.91933298,7.03087709,1287,9049,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.03087709,7.03087709
20130510,6.99849332,7.02368070,6.94452036,7.02368070,606,4256,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.02368070,7.02368070
20130513,7.00928791,7.00928791,6.95891315,6.97690414,493,3440,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.97690414,6.97690414
20130514,6.96610955,6.97690414,6.94452036,6.97330594,709,4944,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.97330594,6.97330594
20130515,6.93732397,6.94092217,6.91933298,6.92652938,949,6573,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.92652938,6.92652938
20130516,6.93732397,6.94092217,6.89414560,6.93012757,1086,7526,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.93012757,6.93012757
20130517,6.92652938,7.00209152,6.92652938,6.97330594,1347,9393,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.97330594,6.97330594
20130520,6.94452036,7.00209152,6.94452036,6.98769873,1224,8553,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.98769873,6.98769873
20130521,6.98050233,7.04886808,6.89414560,7.04526988,956,6735,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.04526988,7.04526988
20130522,7.01648430,7.02008250,6.94092217,7.01648430,1561,10953,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.01648430,7.01648430
20130523,6.99849332,7.13882301,6.92652938,7.12083202,2360,16805,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.12083202,7.12083202
20130524,7.10643923,7.14242120,6.98410053,7.14242120,1067,7621,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.14242120,7.14242120
20130527,7.10643923,7.14242120,6.98410053,7.14242120,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",19.85000000,7.14242120
20130528,7.14242120,7.14242120,6.85816363,6.99489512,3604,25210,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.99489512,6.99489512
20130529,6.98050233,6.98050233,6.59549525,6.91933298,3266,22599,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.91933298,6.91933298
20130530,6.87255642,7.03087709,6.83657445,7.01648430,2075,14559,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",7.01648430,7.01648430
20130531,7.01648430,7.01648430,6.77540510,6.98050233,1413,9863,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.98050233,6.98050233
20130603,6.94452036,6.94452036,6.52353130,6.57030787,1350,8870,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.57030787,6.57030787
