Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.30167654,1.31002062,1.30167654,1.31002062,27,35,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.31002062,1.31002062
19800804,1.31002062,1.32670878,1.29333246,1.31002062,24,31,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.31002062,1.31002062
19800805,1.32670878,1.33505286,1.32670878,1.33505286,23,31,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.33505286,1.33505286
19800806,1.31836470,1.31836470,1.30167654,1.30167654,66,86,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.30167654,1.30167654
19800807,1.30167654,1.31002062,1.27664430,1.31002062,68,89,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.31002062,1.31002062
19800808,1.29333246,1.29333246,1.29333246,1.29333246,3,4,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.29333246,1.29333246
19800811,1.28498838,1.28498838,1.28498838,1.28498838,6,8,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.28498838,1.28498838
19800812,1.26830022,1.26830022,1.24326798,1.24326798,26,32,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.24326798,1.24326798
19800813,1.24326798,1.24326798,1.21823574,1.21823574,8,10,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.21823574,1.21823574
19800814,1.21823574,1.22657982,1.18485942,1.20154758,44,53,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.20154758,1.20154758
19800815,1.20989166,1.22657982,1.20989166,1.21823574,24,29,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.21823574,1.21823574
19800818,1.18485942,1.18485942,1.16817126,1.16817126,51,60,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.16817126,1.16817126
19800819,1.17651534,1.19320350,1.17651534,1.19320350,8,10,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.19320350,1.19320350
19800820,1.18485942,1.18485942,1.17651534,1.18485942,3,4,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.18485942,1.18485942
19800821,1.16817126,1.16817126,1.16817126,1.16817126,3,4,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.16817126,1.16817126
19800822,1.17651534,1.20154758,1.17651534,1.17651534,32,38,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.17651534,1.17651534
19800825,1.19320350,1.20154758,1.19320350,1.20154758,12,14,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.20154758,1.20154758
19800826,1.20154758,1.20154758,1.20154758,1.20154758,17,20,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.20154758,1.20154758
19800827,1.20154758,1.20154758,1.19320350,1.19320350,26,31,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.19320350,1.19320350
19800828,1.19320350,1.19320350,1.19320350,1.19320350,5,6,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.19320350,1.19320350
19800829,1.17651534,1.17651534,1.14313901,1.15982717,17,20,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.15982717,1.15982717
19800901,1.17651534,1.17651534,1.14313901,1.15982717,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",17.37500000,1.15982717
19800902,1.15982717,1.17651534,1.13479493,1.17651534,287,338,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.17651534,1.17651534
19800903,1.17651534,1.17651534,1.17651534,1.17651534,15,18,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.17651534,1.17651534
19800904,1.19320350,1.19320350,1.19320350,1.19320350,5,6,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",1.19320350,1.19320350
