Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930129,11.49760915,11.49760915,11.49760915,11.49760915,1,11,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.49760915,11.49760915
19930201,11.49760915,11.49760915,11.49760915,11.49760915,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.49760915,11.49760915
19930202,11.49760915,11.49760915,11.49760915,11.49760915,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.49760915,11.49760915
19930203,8.99812890,8.99812890,8.99812890,8.99812890,250,2250,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.99812890,8.99812890
19930204,8.99812890,8.99812890,8.99812890,8.99812890,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.99812890,8.99812890
19930205,8.99812890,8.99812890,8.99812890,8.99812890,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.99812890,8.99812890
19930208,9.99792100,10.99771310,9.99792100,9.99792100,17,170,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",9.99792100,9.99792100
19930209,11.99750520,11.99750520,11.99750520,11.99750520,1,12,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.99750520,11.99750520
19930210,11.99750520,11.99750520,11.99750520,11.99750520,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.99750520,11.99750520
19930211,10.49781705,10.49781705,9.99792100,10.49781705,27,283,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930212,10.49781705,10.49781705,10.24586944,10.49781705,10,105,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930215,10.49781705,10.49781705,10.24586944,10.49781705,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.50000000,10.49781705
19930216,10.49781705,10.49781705,10.12189522,10.49781705,12,126,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930217,10.49781705,11.99750520,9.99792100,10.12189522,22,223,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.12189522,10.12189522
19930218,10.12189522,10.24586944,8.99812890,10.24586944,195,1998,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.24586944,10.24586944
19930219,10.24586944,10.49781705,10.24586944,10.24586944,10,102,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.24586944,10.24586944
19930222,10.12189522,10.12189522,10.12189522,10.12189522,20,202,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.12189522,10.12189522
19930223,10.12189522,10.12189522,10.12189522,10.12189522,30,304,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.12189522,10.12189522
19930224,10.12189522,10.37784200,10.12189522,10.37784200,7,73,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.37784200,10.37784200
19930225,10.37784200,10.37784200,10.12189522,10.24586944,53,543,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.24586944,10.24586944
19930226,10.24586944,10.49781705,10.12189522,10.49781705,66,693,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930301,10.49781705,10.49781705,10.49781705,10.49781705,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930302,10.49781705,10.49781705,10.49781705,10.49781705,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930303,10.49781705,10.49781705,10.49781705,10.49781705,5,52,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930304,10.49781705,11.24566154,10.49781705,11.24566154,18,202,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.24566154,11.24566154
19930305,11.24566154,11.24566154,11.24566154,11.24566154,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.24566154,11.24566154
19930308,11.24566154,12.24545364,10.99771310,12.24545364,80,980,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",12.24545364,12.24545364
19930309,10.99771310,10.99771310,10.99771310,10.99771310,2,22,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.99771310,10.99771310
19930310,11.12168732,11.62158337,11.12168732,11.12168732,165,1835,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.12168732,11.12168732
19930311,11.12168732,11.24566154,10.99771310,10.99771310,80,880,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.99771310,10.99771310
19930312,10.99771310,10.99771310,10.99771310,10.99771310,8,88,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.99771310,10.99771310
19930315,10.99771310,11.24566154,10.99771310,10.99771310,168,1848,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.99771310,10.99771310
19930316,10.99771310,10.99771310,10.99771310,10.99771310,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.99771310,10.99771310
19930317,10.99771310,12.24545364,10.49781705,10.74576549,305,3277,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.74576549,10.74576549
19930318,10.74576549,10.87773805,10.49781705,10.87773805,60,653,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.87773805,10.87773805
19930319,10.87773805,10.99771310,10.49781705,10.87773805,400,4351,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.87773805,10.87773805
19930322,10.87773805,10.87773805,10.87773805,10.87773805,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.87773805,10.87773805
19930323,10.87773805,10.99771310,10.49781705,10.74576549,219,2353,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.74576549,10.74576549
19930324,10.49781705,10.49781705,10.49781705,10.49781705,4,42,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930325,10.49781705,10.49781705,10.49781705,10.49781705,38,399,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.49781705,10.49781705
19930326,9.99792100,9.99792100,9.99792100,9.99792100,100,1000,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",9.99792100,9.99792100
19930329,11.74555759,11.74555759,11.74555759,11.74555759,9,106,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.74555759,11.74555759
19930330,11.74555759,11.74555759,11.74555759,11.74555759,0,0,N/A,N/A,0,-5,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.74555759,11.74555759
