Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.89069890,0.89069890,0.88188010,0.88188010,2244,1979,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.88188010,0.88188010
19800804,0.88188010,0.88188010,0.86424250,0.87306130,4704,4107,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.87306130,0.87306130
19800805,0.87306130,0.88628950,0.87306130,0.88188010,2448,2159,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.88188010,0.88188010
19800806,0.88188010,0.88628950,0.87306130,0.88188010,1572,1386,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.88188010,0.88188010
19800807,0.88188010,0.89510831,0.87747070,0.89069890,17828,15879,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.89069890,0.89069890
19800808,0.89069890,0.89510831,0.88188010,0.89069890,5612,4999,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.89069890,0.89069890
19800811,0.89069890,0.89510831,0.88188010,0.88188010,1716,1513,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.88188010,0.88188010
19800812,0.88188010,0.88628950,0.87747070,0.88188010,7652,6748,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.88188010,0.88188010
19800813,0.88188010,0.88628950,0.87306130,0.87747070,1692,1485,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.87747070,0.87747070
19800814,0.87747070,0.88188010,0.87306130,0.88188010,1808,1594,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.88188010,0.88188010
19800815,0.88188010,0.88188010,0.86865190,0.87747070,1652,1450,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Electric","Common Stock",0.87747070,0.87747070
