Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20160922,24.00000000,27.40000000,23.73000000,26.50000000,135915,3601748,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.50000000,26.50000000
20160923,25.67000000,26.05000000,24.13000000,25.33000000,21525,545228,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",25.33000000,25.33000000
20160926,25.38000000,25.76000000,24.72000000,25.26000000,5318,134333,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",25.26000000,25.26000000
20160927,25.45000000,25.50000000,24.57000000,24.60000000,9767,240268,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",24.60000000,24.60000000
20160928,24.95000000,26.80000000,24.75000000,26.54000000,10714,284350,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.54000000,26.54000000
20160929,26.24000000,28.92000000,25.70000000,26.85000000,21438,575610,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.85000000,26.85000000
20160930,27.91000000,28.43000000,26.87000000,28.12000000,9690,272483,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",28.12000000,28.12000000
20161003,28.40000000,28.68000000,26.54000000,26.79000000,6445,172662,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.79000000,26.79000000
20161004,26.76000000,26.76000000,25.85000000,26.31000000,4696,123552,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.31000000,26.31000000
20161005,25.78000000,27.14000000,25.78000000,26.51000000,3958,104927,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.51000000,26.51000000
20161006,26.11000000,26.50700000,26.00000000,26.40000000,2120,55968,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.40000000,26.40000000
20161007,26.58000000,26.99000000,26.00000000,26.67000000,1643,43819,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.67000000,26.67000000
20161010,26.64000000,26.92000000,26.01000000,26.30000000,1934,50864,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.30000000,26.30000000
20161011,26.68000000,26.68000000,25.05000000,25.57000000,3602,92103,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",25.57000000,25.57000000
20161012,25.84000000,26.65000000,25.17000000,26.63000000,2900,77227,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.63000000,26.63000000
20161013,26.57000000,27.99000000,26.30000000,27.05000000,5360,144988,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",27.05000000,27.05000000
20161014,27.51000000,27.83000000,26.81000000,26.94000000,2699,72711,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.94000000,26.94000000
20161017,26.92000000,27.83000000,26.55100000,27.48000000,4124,113328,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",27.48000000,27.48000000
20161018,27.98000000,27.98000000,26.24000000,26.88000000,1701,45723,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.88000000,26.88000000
20161019,26.80000000,27.20000000,26.35000000,27.03000000,736,19894,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",27.03000000,27.03000000
20161020,26.81000000,27.09000000,26.35000000,26.60000000,1002,26653,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.60000000,26.60000000
20161021,26.32000000,27.07000000,26.25100000,26.81000000,1022,27400,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.81000000,26.81000000
20161024,26.97000000,27.57000000,26.51000000,26.79000000,2336,62581,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",26.79000000,26.79000000
20161025,26.94000000,27.57900000,26.60000000,27.16000000,1589,43157,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",27.16000000,27.16000000
