Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930225,1.00174035,1.04727401,1.00174035,1.01995381,263888,269154,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.01995381,1.01995381
19930226,1.03361391,1.03816728,1.01995381,1.03361391,28680,29644,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.03361391,1.03361391
19930301,1.03361391,1.04272064,1.02906055,1.03816728,17568,18239,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.03816728,1.03816728
19930302,1.03816728,1.04272064,1.02450718,1.02450718,7464,7647,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.02450718,1.02450718
19930303,1.02450718,1.03361391,1.01995381,1.02906055,8808,9064,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.02906055,1.02906055
19930304,1.02906055,1.05182737,1.02450718,1.05182737,6360,6690,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.05182737,1.05182737
19930305,1.05638074,1.07914756,1.05638074,1.06548747,4872,5191,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.06548747,1.06548747
19930308,1.06548747,1.09280766,1.06548747,1.09280766,4408,4817,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.09280766,1.09280766
19930309,1.09280766,1.12468122,1.08370093,1.12012785,5520,6183,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.12012785,1.12012785
19930310,1.13834131,1.17932160,1.13834131,1.17476823,11704,13749,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.17476823,1.17476823
19930311,1.17021487,1.19753506,1.16566150,1.19298169,3992,4762,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.19298169,1.19298169
19930312,1.18387496,1.20208842,1.17021487,1.19753506,2384,2855,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.19753506,1.19753506
19930315,1.19753506,1.20208842,1.17476823,1.17932160,2936,3462,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.17932160,1.17932160
19930316,1.17476823,1.17476823,1.10191439,1.13834131,6896,7850,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.13834131,1.13834131
19930317,1.13378795,1.18387496,1.13378795,1.17476823,2784,3271,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.17476823,1.17476823
19930318,1.17476823,1.17932160,1.14744804,1.16110814,2008,2332,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.16110814,1.16110814
19930319,1.15200141,1.15655477,1.13834131,1.15200141,1464,1687,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.15200141,1.15200141
19930322,1.15328283,1.15785935,1.14870631,1.15785935,1144,1325,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.15785935,1.15785935
19930323,1.15785935,1.17158891,1.15328283,1.16701239,840,980,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.16701239,1.16701239
19930324,1.16243587,1.17158891,1.16243587,1.16243587,968,1125,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.16243587,1.16243587
19930325,1.16701239,1.18989499,1.16243587,1.18989499,2624,3122,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.18989499,1.18989499
19930326,1.19447150,1.27227233,1.19447150,1.23566018,8520,10528,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.23566018,1.23566018
19930329,1.24481322,1.25854277,1.24023670,1.25854277,2616,3292,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.25854277,1.25854277
19930330,1.27227233,1.30430797,1.27227233,1.29973145,4272,5552,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.29973145,1.29973145
19930331,1.29973145,1.34549664,1.29973145,1.33634360,2792,3731,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.33634360,1.33634360
19930401,1.34549664,1.34549664,1.29973145,1.31346100,2720,3573,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.31346100,1.31346100
19930402,1.30430797,1.31803752,1.29057841,1.29973145,1256,1632,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.29973145,1.29973145
19930405,1.29515493,1.29973145,1.29515493,1.29515493,512,663,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.29515493,1.29515493
19930406,1.30430797,1.33634360,1.30430797,1.32261404,5224,6909,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.32261404,1.32261404
19930407,1.32261404,1.33176708,1.31803752,1.33176708,2856,3804,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.33176708,1.33176708
19930408,1.33634360,1.35464968,1.33634360,1.35464968,3472,4703,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.35464968,1.35464968
19930409,1.33634360,1.35464968,1.33634360,1.35464968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",37.00000000,1.35464968
19930412,1.36380271,1.37753227,1.35464968,1.36380271,488,666,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.36380271,1.36380271
19930413,1.35922620,1.37295575,1.34092012,1.34092012,1056,1416,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.34092012,1.34092012
19930414,1.35007316,1.36380271,1.31803752,1.32719056,1104,1465,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.32719056,1.32719056
19930415,1.32719056,1.33634360,1.32719056,1.33176708,1256,1673,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.33176708,1.33176708
19930416,1.34549664,1.34549664,1.33634360,1.33634360,544,727,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.33634360,1.33634360
19930419,1.33634360,1.33634360,1.32261404,1.33176708,648,863,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.33176708,1.33176708
19930420,1.32719056,1.32719056,1.32261404,1.32261404,1000,1323,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.32261404,1.32261404
19930421,1.33176708,1.33176708,1.31346100,1.32261404,528,698,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.32261404,1.32261404
19930422,1.32261404,1.33176708,1.32261404,1.33176708,312,416,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.33176708,1.33176708
19930423,1.32261404,1.32261404,1.30888448,1.30888448,2480,3246,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.30888448,1.30888448
19930426,1.31346100,1.31346100,1.22650714,1.22650714,1752,2149,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.22650714,1.22650714
19930427,1.22650714,1.22650714,1.19904802,1.20820106,1952,2358,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.20820106,1.20820106
19930428,1.20362454,1.23566018,1.19904802,1.23566018,5048,6238,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.23566018,1.23566018
19930429,1.24481322,1.24938974,1.24023670,1.24938974,7384,9225,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.24938974,1.24938974
19930430,1.24481322,1.24938974,1.23566018,1.24023670,232,288,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.24023670,1.24023670
19930503,1.23108366,1.23566018,1.21735410,1.23566018,584,722,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.23566018,1.23566018
19930504,1.24023670,1.26311929,1.23108366,1.26311929,2568,3244,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.26311929,1.26311929
19930505,1.26769581,1.27684885,1.26769581,1.27684885,568,725,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.27684885,1.27684885
19930506,1.28142537,1.29973145,1.27684885,1.29973145,3240,4211,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.29973145,1.29973145
19930507,1.30430797,1.31803752,1.30430797,1.31803752,376,496,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.31803752,1.31803752
19930510,1.31346100,1.32719056,1.31346100,1.31346100,640,841,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.31346100,1.31346100
19930511,1.31803752,1.31803752,1.29973145,1.29973145,328,426,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.29973145,1.29973145
19930512,1.29973145,1.29973145,1.29515493,1.29515493,176,228,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.29515493,1.29515493
19930513,1.29515493,1.29515493,1.28142537,1.28142537,240,308,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.28142537,1.28142537
19930514,1.28142537,1.28600189,1.28142537,1.28600189,456,586,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.28600189,1.28600189
19930517,1.27684885,1.27684885,1.26769581,1.26769581,160,203,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.26769581,1.26769581
19930518,1.25854277,1.25854277,1.25854277,1.25854277,128,161,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.25854277,1.25854277
19930519,1.24938974,1.24938974,1.24481322,1.24481322,216,269,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.24481322,1.24481322
19930520,1.23566018,1.23566018,1.21735410,1.21735410,440,536,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.21735410,1.21735410
19930521,1.20820106,1.21277758,1.18074195,1.18531847,352,417,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.18531847,1.18531847
19930524,1.18074195,1.18074195,1.13955327,1.15328283,8552,9863,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.15328283,1.15328283
19930525,1.15785935,1.17158891,1.15328283,1.15328283,5208,6006,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.15328283,1.15328283
19930526,1.15785935,1.15785935,1.13497676,1.13955327,5624,6409,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.13955327,1.13955327
19930527,1.14412979,1.18989499,1.14412979,1.18531847,6032,7150,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.18531847,1.18531847
19930528,1.18074195,1.18074195,1.17158891,1.18074195,368,435,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.18074195,1.18074195
19930531,1.18074195,1.18074195,1.17158891,1.18074195,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",32.25000000,1.18074195
19930601,1.18531847,1.18531847,1.17158891,1.17158891,328,384,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.17158891,1.17158891
19930602,1.16243587,1.26769581,1.16243587,1.26769581,6768,8580,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.26769581,1.26769581
19930603,1.26769581,1.26769581,1.23108366,1.24481322,1176,1464,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.24481322,1.24481322
19930604,1.24023670,1.24023670,1.23108366,1.23108366,4088,5033,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.23108366,1.23108366
19930607,1.24023670,1.24481322,1.23566018,1.24023670,480,595,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.24023670,1.24023670
19930608,1.23108366,1.23108366,1.21277758,1.22650714,624,765,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.22650714,1.22650714
19930609,1.23566018,1.24023670,1.23108366,1.23108366,336,414,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.23108366,1.23108366
19930610,1.24023670,1.24023670,1.21735410,1.21735410,496,604,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.21735410,1.21735410
19930611,1.20820106,1.21277758,1.19447150,1.20820106,400,483,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.20820106,1.20820106
19930614,1.20362454,1.20362454,1.19447150,1.20362454,120,144,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.20362454,1.20362454
19930615,1.20820106,1.20820106,1.19447150,1.20362454,296,356,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.20362454,1.20362454
19930616,1.20362454,1.21735410,1.19904802,1.21735410,432,526,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.21735410,1.21735410
19930617,1.21735410,1.21735410,1.21735410,1.21735410,16,19,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.21735410,1.21735410
19930618,1.21735410,1.22193062,1.20362454,1.22193062,376,459,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.22193062,1.22193062
19930621,1.22694996,1.22694996,1.20371227,1.21765489,5632,6858,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.21765489,1.21765489
19930622,1.21765489,1.22230242,1.20371227,1.20835981,736,889,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.20835981,1.20835981
19930623,1.20835981,1.22230242,1.20371227,1.21765489,1152,1403,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.21765489,1.21765489
19930624,1.22230242,1.24554011,1.21300735,1.24554011,2504,3119,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.24554011,1.24554011
19930625,1.24554011,1.29201549,1.24554011,1.28736795,2008,2585,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.28736795,1.28736795
19930628,1.28272041,1.36637609,1.28272041,1.36637609,1424,1946,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.36637609,1.36637609
19930629,1.37102363,1.37102363,1.32454825,1.33849087,5392,7217,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.33849087,1.33849087
19930630,1.32919579,1.39426132,1.32919579,1.38961378,2000,2779,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.38961378,1.38961378
19930701,1.38496624,1.40820393,1.38496624,1.40820393,752,1059,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",1.40820393,1.40820393
