Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201106,9.90796319,9.93997599,9.78591437,9.93397359,597,5931,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.93397359,9.93397359
20201109,9.71348539,9.71348539,9.68387355,9.68387355,5,48,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.68387355,9.68387355
20201110,9.60384154,9.60384154,9.60384154,9.60384154,55,528,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.60384154,9.60384154
20201111,9.60384154,9.60384154,9.60384154,9.60384154,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.60384154,9.60384154
20201112,9.60384154,9.60384154,9.60384154,9.60384154,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.60384154,9.60384154
20201113,9.97038816,10.26810724,9.60784314,9.70388155,225,2183,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70388155,9.70388155
20201116,9.70388155,9.70388155,9.70388155,9.70388155,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70388155,9.70388155
20201117,9.70388155,9.70388155,9.70388155,9.70388155,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70388155,9.70388155
20201118,10.17206883,10.41816727,9.65186074,9.74549820,117,1140,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74549820,9.74549820
20201119,9.80392157,10.52821128,9.72789116,9.72789116,35,340,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72789116,9.72789116
20201120,9.73989596,9.73989596,9.73989596,9.73989596,5,49,N/A,N/A,409048,16806,"NYSE","","","Common Stock",9.73989596,9.73989596
20201123,9.79431773,9.79431773,9.79431773,9.79431773,7,69,N/A,N/A,411334,16806,"NYSE","","","Common Stock",9.79431773,9.79431773
20201124,9.96398559,9.96398559,9.68787515,9.70788315,4511,43792,N/A,N/A,407704,16806,"NYSE","","","Common Stock",9.70788315,9.70788315
20201125,9.70388155,9.70388155,9.68787515,9.68787515,5,48,N/A,N/A,406864,16806,"NYSE","","","Common Stock",9.68787515,9.68787515
20201126,9.70388155,9.70388155,9.68787515,9.68787515,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",24.21000000,9.68787515
20201127,9.73549420,9.90396158,9.73549420,9.90396158,57,565,N/A,N/A,415939,16806,"NYSE","","","Common Stock",9.90396158,9.90396158
20201130,9.79991997,9.82232893,9.79791917,9.80392157,122,1196,N/A,N/A,411737,16806,"NYSE","","","Common Stock",9.80392157,9.80392157
20201201,9.80392157,9.80392157,9.74389756,9.75910364,145,1415,N/A,N/A,409855,16806,"NYSE","","","Common Stock",9.75910364,9.75910364
