Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20120208,13.75000000,15.05000000,13.25000000,14.00000000,33362,467068,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",14.00000000,14.00000000
20120209,14.17000000,14.22000000,13.75000000,13.91000000,5805,80748,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.91000000,13.91000000
20120210,14.00000000,14.03000000,13.77000000,13.96000000,3363,46947,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.96000000,13.96000000
20120213,13.91000000,14.42000000,13.63000000,13.65000000,1759,24010,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.65000000,13.65000000
20120214,13.60000000,13.79000000,13.30000000,13.44000000,1222,16424,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.44000000,13.44000000
20120215,13.50000000,14.07000000,13.30000000,13.40000000,1750,23450,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.40000000,13.40000000
20120216,13.40000000,13.70000000,13.40000000,13.54000000,712,9640,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.54000000,13.54000000
20120217,13.61000000,13.99000000,13.50000000,13.58000000,1428,19392,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.58000000,13.58000000
20120220,13.61000000,13.99000000,13.50000000,13.58000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",13.58000000,13.58000000
20120221,13.61000000,14.34000000,13.56000000,13.71000000,2487,34097,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.71000000,13.71000000
20120222,13.99000000,14.22000000,13.75000000,13.96000000,2749,38376,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.96000000,13.96000000
20120223,13.97000000,14.00000000,13.84000000,13.94000000,825,11500,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.94000000,13.94000000
20120224,13.93000000,13.93000000,13.55000000,13.71000000,1200,16452,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.71000000,13.71000000
20120227,13.65000000,13.84000000,13.63000000,13.66000000,2353,32142,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.66000000,13.66000000
20120228,13.75000000,13.84000000,13.75000000,13.83000000,680,9404,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",13.83000000,13.83000000
20120229,13.88000000,14.15000000,13.85000000,14.13000000,681,9623,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",14.13000000,14.13000000
20120301,14.15000000,15.35000000,14.10000000,15.00000000,6101,91515,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.00000000,15.00000000
20120302,15.07000000,15.70000000,14.97000000,15.14000000,2377,35988,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.14000000,15.14000000
20120305,15.07000000,15.15000000,14.78000000,15.09000000,1849,27901,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.09000000,15.09000000
20120306,14.98000000,15.27000000,14.84000000,15.00000000,1306,19590,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.00000000,15.00000000
20120307,15.04000000,15.34000000,15.04000000,15.23000000,1101,16768,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.23000000,15.23000000
20120308,14.54000000,15.53000000,14.45000000,15.23000000,1206,18367,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.23000000,15.23000000
20120309,15.18000000,15.59000000,15.08000000,15.32000000,1662,25462,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.32000000,15.32000000
20120312,14.95000000,15.40000000,14.95000000,15.14000000,913,13823,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.14000000,15.14000000
20120313,15.14000000,16.48000000,15.07000000,15.78000000,3166,49959,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",15.78000000,15.78000000
20120314,15.67000000,16.35000000,15.67000000,16.20000000,1603,25969,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",16.20000000,16.20000000
20120315,16.18000000,17.13000000,16.18000000,17.00000000,2288,38896,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",17.00000000,17.00000000
20120316,16.91000000,17.26000000,16.20000000,16.80000000,3261,54785,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",16.80000000,16.80000000
20120319,17.12000000,17.92000000,16.90000000,17.41000000,2978,51847,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",17.41000000,17.41000000
20120320,17.44000000,17.50000000,16.90000000,17.41000000,968,16853,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",17.41000000,17.41000000
20120321,17.50000000,17.75000000,17.24000000,17.38000000,2110,36672,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",17.38000000,17.38000000
20120322,17.18000000,17.32000000,16.44000000,16.60000000,992,16467,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",16.60000000,16.60000000
20120323,16.56000000,17.35000000,16.56000000,17.10000000,2276,38920,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",17.10000000,17.10000000
20120326,17.31000000,17.38000000,16.75000000,16.98000000,1441,24468,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",16.98000000,16.98000000
20120327,17.75000000,21.25000000,17.58000000,21.11000000,13732,289883,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",21.11000000,21.11000000
20120328,21.00000000,21.05000000,18.99000000,20.00000000,8511,170220,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.00000000,20.00000000
20120329,19.73000000,20.80000000,19.00000000,20.10000000,5449,109525,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.10000000,20.10000000
20120330,20.29000000,20.70000000,19.75000000,20.52000000,4085,83824,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.52000000,20.52000000
20120402,20.39000000,21.99000000,20.39000000,21.71000000,4405,95633,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",21.71000000,21.71000000
20120403,21.52000000,22.23000000,21.11000000,22.20000000,2122,47108,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",22.20000000,22.20000000
20120404,21.79000000,21.87000000,20.56000000,21.15000000,1934,40904,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",21.15000000,21.15000000
20120405,21.03000000,21.40000000,20.61000000,20.96000000,1021,21400,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.96000000,20.96000000
20120406,21.03000000,21.40000000,20.61000000,20.96000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",20.96000000,20.96000000
20120409,20.58000000,21.43000000,19.76000000,21.27000000,970,20632,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",21.27000000,21.27000000
20120410,21.14000000,22.07000000,21.06000000,21.80000000,2045,44581,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",21.80000000,21.80000000
20120411,21.93000000,23.62000000,21.78000000,22.59000000,1998,45135,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",22.59000000,22.59000000
20120412,22.67000000,23.53000000,22.35000000,23.25000000,935,21739,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",23.25000000,23.25000000
20120413,23.12000000,23.12000000,22.45000000,22.65000000,1000,22650,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",22.65000000,22.65000000
20120416,22.87000000,23.21000000,20.91000000,21.20000000,1464,31037,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",21.20000000,21.20000000
20120417,21.28000000,21.28000000,19.97000000,20.26000000,1350,27351,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.26000000,20.26000000
20120418,20.14000000,21.11000000,19.80000000,20.18000000,1388,28010,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.18000000,20.18000000
20120419,20.25000000,20.71000000,19.77000000,20.39000000,782,15945,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.39000000,20.39000000
20120420,20.56000000,20.92000000,20.01000000,20.04000000,1075,21543,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.04000000,20.04000000
20120423,19.63000000,20.60000000,19.08000000,20.17000000,1359,27411,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",20.17000000,20.17000000
20120424,20.24000000,21.27000000,19.38000000,19.78000000,1943,38433,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",19.78000000,19.78000000
