Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20190102,3.75000000,3.90000000,3.65000000,3.67500000,439,1613,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",3.67500000,3.67500000
20190103,3.75500000,4.25000000,3.70000000,4.25000000,839,3566,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",4.25000000,4.25000000
20190104,4.12000000,4.40000000,3.91000000,3.93500000,1044,4108,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",3.93500000,3.93500000
20190107,3.98000000,4.40000000,3.87500000,4.00000000,331,1324,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",4.00000000,4.00000000
20190108,4.00000000,4.39500000,3.90000000,3.98500000,136,542,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",3.98500000,3.98500000
20190109,4.09500000,4.25000000,4.00000000,4.07000000,467,1901,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",4.07000000,4.07000000
20190110,4.13500000,4.17500000,3.97500000,4.05000000,821,3325,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",4.05000000,4.05000000
20190111,4.05000000,4.10000000,3.95000000,4.00500000,380,1522,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",4.00500000,4.00500000
20190114,3.97500000,4.10000000,3.90000000,4.04000000,176,711,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",4.04000000,4.04000000
20190115,4.10000000,4.10000000,3.97000000,4.00000000,172,688,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Steel","Common Stock",4.00000000,4.00000000
