Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20131031,21.27619280,21.37290277,19.63212336,20.30909313,160223,3253984,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.30909313,20.30909313
20131101,20.69593300,22.24329248,20.40580310,21.78875563,22835,497546,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.78875563,21.78875563
20131104,21.17948284,22.03053055,21.12145685,21.28586380,4258,90635,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.28586380,21.28586380
20131105,21.11178586,22.21427949,20.79264297,21.98217556,8801,193465,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.98217556,21.98217556
20131106,22.24329248,22.24329248,21.16014084,21.38257377,7955,170098,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.38257377,21.38257377
20131107,21.17948284,21.71138766,20.11567320,20.60889403,9535,196506,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.60889403,20.60889403
20131108,20.95704991,21.17948284,20.25106715,20.55086805,4163,85553,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.55086805,20.55086805
20131111,20.59922303,20.79264297,19.70949133,19.89324027,4580,91111,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",19.89324027,19.89324027
20131112,19.77718831,20.11567320,19.29363847,19.80620130,7781,154112,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",19.80620130,19.80620130
20131113,19.45804542,20.46382908,19.45804542,20.19304117,2055,41497,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.19304117,20.19304117
20131114,20.29942213,21.17948284,20.29942213,20.88935293,5555,116040,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.88935293,20.88935293
20131115,20.79264297,20.99573390,20.38646110,20.49284207,2384,48855,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.49284207,20.49284207
20131118,20.93770792,21.50829672,20.19304117,20.57988104,2802,57665,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.57988104,20.57988104
20131119,20.49284207,20.59922303,20.27040914,20.39613210,2925,59659,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.39613210,20.39613210
20131120,20.50251306,20.81198496,20.34777712,20.55086805,5194,106741,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.55086805,20.55086805
20131121,20.57988104,21.16981184,20.57988104,21.09244386,2481,52330,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.09244386,21.09244386
20131122,21.29553480,21.62434868,20.89902393,21.27619280,5328,113360,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.27619280,21.27619280
20131125,21.49862573,21.75974264,20.56053904,20.69593300,778,16101,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.69593300,20.69593300
20131126,21.08277287,21.42125775,20.77330097,21.09244386,3546,74794,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.09244386,21.09244386
20131127,21.06343087,21.48895473,20.96672091,21.09244386,1515,31955,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.09244386,21.09244386
20131128,21.06343087,21.48895473,20.96672091,21.09244386,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.81000000,21.09244386
20131129,21.29553480,21.29553480,20.83132695,21.02474689,477,10029,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.02474689,21.02474689
20131202,21.00540489,21.27619280,20.84099795,21.11178586,2039,43047,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.11178586,21.11178586
20131203,21.03441788,21.03441788,20.73461699,20.88935293,1891,39502,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.88935293,20.88935293
20131204,20.84099795,21.46961274,20.74428798,21.41158676,1626,34815,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.41158676,21.41158676
20131205,21.42125775,21.43092875,21.00540489,21.32454779,2330,49686,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.32454779,21.32454779
20131206,21.42125775,22.15625350,21.15046985,21.60500669,1599,34546,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.60500669,21.60500669
20131209,21.53730971,21.61467769,21.18915383,21.31487679,2152,45870,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.31487679,21.31487679
20131210,21.18915383,21.74040065,20.80231396,21.08277287,2983,62890,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.08277287,21.08277287
20131211,21.14079885,21.17948284,20.74428798,20.84099795,2180,45433,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.84099795,20.84099795
20131212,20.88935293,21.25685081,20.79264297,20.82165596,3423,71273,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.82165596,20.82165596
20131213,20.87001094,21.16014084,20.68626200,20.82165596,2246,46765,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.82165596,20.82165596
20131216,20.83132695,20.95704991,20.69593300,20.76362998,7744,160794,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",20.76362998,20.76362998
20131217,20.86033994,21.24717981,20.55086805,21.11178586,3836,80985,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.11178586,21.11178586
20131218,20.80231396,22.00151756,20.80231396,21.59533569,4799,103636,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.59533569,21.59533569
20131219,21.63401968,21.75007164,20.95704991,21.21816682,1154,24486,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",21.21816682,21.21816682
20131220,21.08277287,22.33033145,20.79264297,22.33033145,30883,689628,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.33033145,22.33033145
20131223,22.28197646,22.51408038,22.09822752,22.24329248,3898,86704,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.24329248,22.24329248
20131224,22.28197646,22.55276437,22.15625350,22.34000244,1040,23234,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.34000244,22.34000244
20131225,22.28197646,22.55276437,22.15625350,22.34000244,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Specialty Financials","Common Stock",23.10000000,22.34000244
20131226,22.40769942,23.12335318,22.40769942,22.64947434,1972,44665,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.64947434,22.64947434
20131227,22.74618431,23.00730122,22.63980334,22.83322328,2067,47196,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.83322328,22.83322328
20131230,22.83322328,23.14269517,22.41737042,22.87190726,1691,38676,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.87190726,22.87190726
20131231,22.84289427,23.30710212,22.74618431,23.26841813,2321,54006,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",23.26841813,23.26841813
20140101,22.84289427,23.30710212,22.74618431,23.26841813,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Specialty Financials","Common Stock",24.06000000,23.26841813
20140102,23.12335318,23.26841813,22.35934444,22.60111935,1999,45180,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.60111935,22.60111935
20140103,22.59144836,23.94538790,22.59144836,23.22006314,4111,95458,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",23.22006314,23.22006314
20140106,23.37479909,23.62624501,22.89124926,23.12335318,2360,54571,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",23.12335318,23.12335318
20140107,23.16203716,23.27808913,22.83322328,22.98795922,1805,41493,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.98795922,22.98795922
20140108,22.92026225,22.92026225,22.33033145,22.47539640,1705,38321,N/A,N/A,0,15564944,"NYSE","Financials","Financials/Specialty Financials","Common Stock",22.47539640,22.47539640
