Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19940607,6.22778628,6.39060422,6.22778628,6.30919525,15954,100657,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.30919525,6.30919525
19940608,6.30919525,6.30919525,6.22778628,6.26849076,1624,10180,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.26849076,6.26849076
19940609,6.26849076,6.26849076,6.22778628,6.26849076,762,4777,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.26849076,6.26849076
19940610,6.26849076,6.26849076,6.18708179,6.22778628,1105,6882,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.22778628,6.22778628
19940613,6.22778628,6.22778628,6.18708179,6.22778628,512,3189,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.22778628,6.22778628
19940614,6.22778628,6.26849076,6.22778628,6.26849076,281,1761,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.26849076,6.26849076
19940615,6.26849076,6.34989973,6.22778628,6.26849076,967,6062,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.26849076,6.26849076
19940616,6.26849076,6.26849076,6.22778628,6.22778628,198,1233,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.22778628,6.22778628
19940617,6.22778628,6.26849076,6.18708179,6.18708179,560,3465,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.18708179,6.18708179
19940620,6.18708179,6.22778628,6.18708179,6.22778628,435,2709,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.22778628,6.22778628
19940621,6.22778628,6.22778628,6.18708179,6.18708179,347,2147,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.18708179,6.18708179
19940622,6.18708179,6.22778628,6.18708179,6.18708179,295,1825,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.18708179,6.18708179
19940623,6.18708179,6.22778628,6.10567282,6.10567282,679,4146,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",6.10567282,6.10567282
19940624,6.06496833,6.06496833,5.90215039,5.98355936,725,4338,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.98355936,5.98355936
19940627,5.98355936,5.98355936,5.61721899,5.82074142,701,4080,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.82074142,5.82074142
19940628,5.82074142,5.90215039,5.69862796,5.73933245,647,3713,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.73933245,5.73933245
19940629,5.78003694,5.90215039,5.78003694,5.82074142,251,1461,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.82074142,5.82074142
19940630,5.82074142,5.86144591,5.73933245,5.73933245,261,1498,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.73933245,5.73933245
19940701,5.73933245,5.78003694,5.65792348,5.78003694,255,1474,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.78003694,5.78003694
19940704,5.73933245,5.78003694,5.65792348,5.78003694,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",17.75000000,5.78003694
19940705,5.78003694,5.82074142,5.78003694,5.82074142,29,169,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.82074142,5.82074142
19940706,5.82074142,5.82074142,5.69862796,5.73933245,336,1928,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.73933245,5.73933245
19940707,5.73933245,5.82074142,5.73933245,5.73933245,305,1750,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.73933245,5.73933245
19940708,5.73933245,5.82074142,5.73933245,5.73933245,302,1733,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.73933245,5.73933245
19940711,5.73933245,5.82074142,5.69862796,5.78003694,293,1694,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.78003694,5.78003694
19940712,5.78003694,5.82074142,5.73933245,5.78003694,117,676,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.78003694,5.78003694
19940713,5.78003694,5.82074142,5.73933245,5.78003694,378,2185,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.78003694,5.78003694
19940714,5.78003694,5.82074142,5.73933245,5.82074142,246,1432,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.82074142,5.82074142
19940715,5.82074142,5.86144591,5.82074142,5.86144591,150,879,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.86144591,5.86144591
19940718,5.86144591,5.86144591,5.82074142,5.86144591,229,1342,N/A,N/A,0,-5,"NYSE","Financials","Financials/Residential REIT","Common Stock",5.86144591,5.86144591
