Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150605,18.00000000,19.93000000,17.54000000,18.86000000,108077,2038332,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.86000000,18.86000000
20150608,19.15000000,19.43000000,18.81000000,19.07000000,10079,192207,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",19.07000000,19.07000000
20150609,19.22000000,19.25000000,18.60000000,18.77000000,8374,157180,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.77000000,18.77000000
20150610,18.90000000,19.20000000,18.71000000,19.05000000,7169,136569,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",19.05000000,19.05000000
20150611,19.10000000,19.16000000,18.38000000,18.48000000,3083,56974,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.48000000,18.48000000
20150612,18.26000000,18.49000000,17.56000000,17.92000000,3901,69906,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.92000000,17.92000000
20150615,17.74000000,18.62000000,17.74000000,18.58000000,1179,21906,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.58000000,18.58000000
20150616,18.70000000,18.85000000,18.05000000,18.53000000,1153,21365,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.53000000,18.53000000
20150617,18.50000000,18.84000000,18.22000000,18.72000000,1187,22221,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.72000000,18.72000000
20150618,18.55000000,18.98000000,18.05000000,18.14000000,1774,32180,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.14000000,18.14000000
20150619,18.08000000,18.55000000,18.00000000,18.48000000,1632,30159,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.48000000,18.48000000
20150622,18.41000000,18.60000000,18.12000000,18.31000000,2947,53960,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.31000000,18.31000000
20150623,18.40000000,18.75000000,18.24500000,18.39000000,1923,35364,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.39000000,18.39000000
20150624,18.54000000,18.65000000,18.11000000,18.23000000,1454,26506,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.23000000,18.23000000
