Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20000327,1.27083333,1.38541667,1.27083333,1.37500000,110268,151619,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.37500000,1.37500000
20000328,1.37500000,1.37500000,1.33333333,1.33854167,32328,43272,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.33854167,1.33854167
20000329,1.33333333,1.34375000,1.31770833,1.33333333,13116,17488,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.33333333,1.33333333
20000330,1.33333333,1.33333333,1.28125000,1.28125000,56508,72401,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.28125000,1.28125000
20000331,1.24479167,1.24479167,1.13020833,1.13020833,237948,268931,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.13020833,1.13020833
20000403,1.16666667,1.23437500,1.14583333,1.14583333,344604,394859,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.14583333,1.14583333
20000404,1.17708333,1.19270833,1.03125000,1.16666667,394104,459788,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.16666667,1.16666667
20000405,1.15625000,1.18750000,1.15104167,1.16145833,190488,221244,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.16145833,1.16145833
20000406,1.16666667,1.19791667,1.15625000,1.19270833,215436,256952,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.19270833,1.19270833
20000407,1.19791667,1.27083333,1.19791667,1.20312500,417144,501876,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.20312500,1.20312500
20000410,1.22916667,1.25000000,1.20833333,1.21354167,158424,192254,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.21354167,1.21354167
20000411,1.19270833,1.21875000,1.18750000,1.19270833,197700,235798,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.19270833,1.19270833
20000412,1.18229167,1.21354167,1.17708333,1.19270833,256392,305801,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.19270833,1.19270833
20000413,1.19270833,1.21875000,1.19270833,1.20442708,206232,248391,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",1.20442708,1.20442708
