Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20100423,10.20826569,10.57037021,10.03106561,10.24678745,32100,328922,N/A,N/A,0,0,"NYSE","","","Common Stock",10.24678745,10.24678745
20100426,10.34694402,10.35464837,9.16047389,10.07729171,18578,187216,N/A,N/A,0,0,"NYSE","","","Common Stock",10.07729171,10.07729171
20100427,10.01565690,10.12351782,9.93861339,10.01565690,5749,57580,N/A,N/A,0,0,"NYSE","","","Common Stock",10.01565690,10.01565690
20100428,10.01565690,10.05417866,9.78452636,9.93861339,2328,23137,N/A,N/A,0,0,"NYSE","","","Common Stock",9.93861339,9.93861339
20100429,10.01565690,10.20056134,9.86927422,9.98483950,766,7648,N/A,N/A,0,0,"NYSE","","","Common Stock",9.98483950,9.98483950
20100430,10.15433523,10.15433523,9.86156987,9.93861339,2803,27858,N/A,N/A,0,0,"NYSE","","","Common Stock",9.93861339,9.93861339
20100503,10.01565690,10.01565690,9.81534376,9.93861339,4606,45777,N/A,N/A,0,0,"NYSE","","","Common Stock",9.93861339,9.93861339
20100504,9.82304812,10.01565690,9.47635230,9.79223071,6249,61192,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79223071,9.79223071
20100505,9.49176100,10.06958736,9.49176100,10.02336125,3213,32205,N/A,N/A,0,0,"NYSE","","","Common Stock",10.02336125,10.02336125
20100506,10.01565690,10.05417866,9.16817824,10.03106561,4422,44357,N/A,N/A,0,0,"NYSE","","","Common Stock",10.03106561,10.03106561
20100507,9.94631774,10.34694402,9.86156987,10.15433523,4725,47979,N/A,N/A,0,0,"NYSE","","","Common Stock",10.15433523,10.15433523
20100510,10.15433523,10.15433523,9.64584803,10.09270042,1958,19762,N/A,N/A,0,0,"NYSE","","","Common Stock",10.09270042,10.09270042
20100511,10.04647431,10.05417866,9.81534376,10.00795255,1242,12430,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00795255,10.00795255
20100512,9.96172644,10.01565690,9.84616117,10.01565690,1945,19480,N/A,N/A,0,0,"NYSE","","","Common Stock",10.01565690,10.01565690
20100513,9.93861339,10.01565690,9.82304812,9.83845682,1433,14099,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83845682,9.83845682
20100514,9.74600460,9.74600460,9.14506519,9.47635230,4823,45704,N/A,N/A,0,0,"NYSE","","","Common Stock",9.47635230,9.47635230
20100517,9.41471749,9.53798711,9.27603916,9.36078703,2651,24815,N/A,N/A,0,0,"NYSE","","","Common Stock",9.36078703,9.36078703
