Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210527,28.30000000,32.11000000,28.25000000,30.02000000,130790,3926316,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",30.02000000,30.02000000
20210528,30.50000000,34.37000000,29.50000000,34.15000000,34910,1192176,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",34.15000000,34.15000000
20210531,30.50000000,34.37000000,29.50000000,34.15000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",34.15000000,34.15000000
20210601,35.47000000,36.09000000,30.58000000,31.76000000,48063,1526481,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",31.76000000,31.76000000
20210602,31.76000000,32.17000000,30.12000000,31.81000000,24794,788697,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",31.81000000,31.81000000
20210603,31.00000000,32.90000000,30.77000000,31.77000000,28816,915484,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",31.77000000,31.77000000
20210604,31.91000000,32.78000000,30.33000000,31.35000000,7494,234937,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",31.35000000,31.35000000
20210607,31.06000000,31.55000000,29.65000000,30.32000000,7602,230493,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",30.32000000,30.32000000
20210608,30.16000000,32.71000000,30.00000000,32.21000000,8419,271176,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",32.21000000,32.21000000
20210609,32.61000000,33.75000000,32.14000000,33.13000000,10475,347037,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",33.13000000,33.13000000
20210610,33.63000000,35.96000000,33.47000000,33.94000000,7692,261066,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",33.94000000,33.94000000
20210611,34.00000000,35.00000000,33.75000000,34.18000000,4010,137062,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",34.18000000,34.18000000
20210614,34.64000000,35.20500000,34.20300000,34.90000000,4585,160016,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",34.90000000,34.90000000
20210615,35.14000000,35.47000000,33.25000000,34.00000000,4209,143106,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",34.00000000,34.00000000
20210616,34.00000000,35.64000000,33.38400000,34.24000000,8606,294669,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",34.24000000,34.24000000
20210617,34.50000000,38.50000000,34.50000000,36.51000000,16085,587263,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",36.51000000,36.51000000
20210618,37.01000000,37.59500000,36.39000000,36.40000000,5623,204677,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",36.40000000,36.40000000
20210621,37.13000000,42.89000000,36.00000000,42.61000000,32037,1365097,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",42.61000000,42.61000000
20210622,42.18000000,49.74100000,42.08000000,45.21000000,33027,1493151,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",45.21000000,45.21000000
20210623,45.73000000,48.36800000,44.57000000,46.51000000,11319,526447,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",46.51000000,46.51000000
20210624,46.98000000,48.00000000,42.51000000,43.37000000,13762,596858,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",43.37000000,43.37000000
20210625,43.38000000,46.64000000,43.10000000,43.46000000,9692,421214,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",43.46000000,43.46000000
20210628,44.60000000,50.40000000,44.60000000,48.72000000,20757,1011281,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",48.72000000,48.72000000
20210629,49.85500000,50.00000000,45.60000000,47.16000000,14243,671700,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",47.16000000,47.16000000
20210630,46.86000000,50.35000000,46.68000000,50.10000000,14948,748895,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",50.10000000,50.10000000
20210701,49.75000000,50.23000000,45.55500000,45.87000000,17645,809376,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",45.87000000,45.87000000
20210702,46.04000000,46.65000000,43.30000000,44.04000000,16850,742074,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",44.04000000,44.04000000
20210705,46.04000000,46.65000000,43.30000000,44.04000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",44.04000000,44.04000000
20210706,44.90000000,46.44000000,44.68000000,46.04000000,11733,540187,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",46.04000000,46.04000000
20210707,46.67000000,47.33500000,44.71000000,45.16000000,9551,431323,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",45.16000000,45.16000000
20210708,44.11000000,45.10800000,41.39000000,44.56000000,11140,496398,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",44.56000000,44.56000000
20210709,44.75000000,45.43200000,42.10000000,42.65000000,14323,610876,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",42.65000000,42.65000000
20210712,42.66000000,44.54000000,40.63000000,44.24000000,11857,524554,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",44.24000000,44.24000000
20210713,44.37000000,46.88000000,44.16000000,45.56000000,12816,583897,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",45.56000000,45.56000000
20210714,45.37000000,45.79000000,39.50000000,40.25000000,25005,1006451,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",40.25000000,40.25000000
20210715,39.51000000,40.20000000,37.41000000,38.85000000,18485,718142,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",38.85000000,38.85000000
20210716,39.45000000,39.89000000,38.30000000,38.61000000,6470,249807,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",38.61000000,38.61000000
20210719,38.10000000,38.51900000,36.55000000,36.75000000,10079,370403,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",36.75000000,36.75000000
20210720,37.25000000,39.38000000,36.39000000,39.08000000,7319,286027,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",39.08000000,39.08000000
20210721,39.13000000,41.58500000,39.12000000,41.17000000,7299,300500,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",41.17000000,41.17000000
20210722,41.81000000,42.65000000,39.75000000,40.63000000,6912,280835,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",40.63000000,40.63000000
20210723,40.75000000,40.95000000,38.60000000,39.75000000,4449,176848,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",39.75000000,39.75000000
20210726,40.00000000,40.32800000,38.66000000,39.09000000,4519,176648,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",39.09000000,39.09000000
20210727,38.69000000,38.88000000,35.42000000,37.48000000,14394,539487,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",37.48000000,37.48000000
20210728,37.56000000,38.70600000,36.55000000,36.75000000,10561,388117,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",36.75000000,36.75000000
20210729,37.27000000,37.65000000,36.05000000,36.29000000,7274,263973,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",36.29000000,36.29000000
