Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20121009,22.01000000,22.20000000,21.66000000,21.90000000,4408,96535,N/A,N/A,0,0,"NYSE","","","Common Stock",21.90000000,21.90000000
20121010,21.84000000,21.91000000,21.00000000,21.73000000,2290,49762,N/A,N/A,0,0,"NYSE","","","Common Stock",21.73000000,21.73000000
20121011,21.70000000,22.00000000,21.43000000,21.90000000,1218,26674,N/A,N/A,0,0,"NYSE","","","Common Stock",21.90000000,21.90000000
20121012,21.84000000,22.05000000,21.02000000,21.49000000,3475,74678,N/A,N/A,0,0,"NYSE","","","Common Stock",21.49000000,21.49000000
20121015,21.75000000,21.88000000,21.40000000,21.50000000,1689,36314,N/A,N/A,0,0,"NYSE","","","Common Stock",21.50000000,21.50000000
20121016,21.20000000,21.84000000,21.20000000,21.60000000,1045,22572,N/A,N/A,0,0,"NYSE","","","Common Stock",21.60000000,21.60000000
20121017,21.77000000,22.01000000,21.45000000,21.55000000,1042,22455,N/A,N/A,0,0,"NYSE","","","Common Stock",21.55000000,21.55000000
20121018,21.55000000,21.64000000,21.15000000,21.55000000,966,20817,N/A,N/A,0,0,"NYSE","","","Common Stock",21.55000000,21.55000000
20121019,21.39000000,21.77000000,21.39000000,21.75000000,557,12115,N/A,N/A,0,0,"NYSE","","","Common Stock",21.75000000,21.75000000
20121022,21.85000000,21.85000000,21.42000000,21.49000000,1165,25036,N/A,N/A,0,0,"NYSE","","","Common Stock",21.49000000,21.49000000
20121023,21.22000000,21.42000000,21.20000000,21.29000000,1080,22993,N/A,N/A,0,0,"NYSE","","","Common Stock",21.29000000,21.29000000
20121024,21.89000000,22.48000000,21.05000000,21.15000000,731,15461,N/A,N/A,0,0,"NYSE","","","Common Stock",21.15000000,21.15000000
20121025,21.20000000,21.42000000,20.91000000,21.33000000,1364,29094,N/A,N/A,0,0,"NYSE","","","Common Stock",21.33000000,21.33000000
20121026,21.33000000,21.50000000,21.23000000,21.40000000,662,14167,N/A,N/A,0,0,"NYSE","","","Common Stock",21.40000000,21.40000000
20121029,21.33000000,21.50000000,21.23000000,21.40000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",21.40000000,21.40000000
20121030,21.33000000,21.50000000,21.23000000,21.40000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",21.40000000,21.40000000
20121031,21.55000000,21.75000000,20.65000000,21.69000000,820,17786,N/A,N/A,0,0,"NYSE","","","Common Stock",21.69000000,21.69000000
20121101,21.91000000,22.00000000,21.50000000,21.79000000,479,10437,N/A,N/A,0,0,"NYSE","","","Common Stock",21.79000000,21.79000000
20121102,21.25000000,21.59000000,21.25000000,21.46000000,530,11374,N/A,N/A,0,0,"NYSE","","","Common Stock",21.46000000,21.46000000
20121105,21.38000000,22.47000000,21.00000000,22.03000000,853,18792,N/A,N/A,0,0,"NYSE","","","Common Stock",22.03000000,22.03000000
