Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210119,10.30000000,10.42000000,10.05000000,10.28000000,9731,100035,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.28000000,10.28000000
20210120,10.37000000,10.39000000,10.22000000,10.38000000,8262,85760,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.38000000,10.38000000
20210121,10.45000000,10.58000000,10.26000000,10.46000000,9974,104328,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.46000000,10.46000000
20210122,10.50000000,10.53000000,10.33000000,10.45000000,9694,101302,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.45000000,10.45000000
20210125,10.64000000,10.82000000,10.52000000,10.65000000,9391,100014,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.65000000,10.65000000
20210126,10.71000000,10.71000000,10.51000000,10.65000000,7141,76052,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.65000000,10.65000000
20210127,10.50000000,10.50000000,10.30000000,10.35000000,9656,99940,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.35000000,10.35000000
20210128,10.40000000,10.46000000,10.30000000,10.37000000,5935,61546,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.37000000,10.37000000
20210129,10.37000000,10.42000000,10.32000000,10.42000000,2978,31031,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.42000000,10.42000000
20210201,10.47000000,10.59000000,10.35000000,10.48000000,7078,74177,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.48000000,10.48000000
20210202,10.57000000,10.70000000,10.50000000,10.55000000,6464,68195,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.55000000,10.55000000
20210203,10.68000000,10.68000000,10.55000000,10.67000000,5239,55900,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.67000000,10.67000000
20210204,10.74000000,10.74000000,10.44000000,10.59000000,6996,74088,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.59000000,10.59000000
20210205,10.64000000,10.69000000,10.54000000,10.58000000,9039,95633,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.58000000,10.58000000
20210208,10.78000000,10.80000000,10.60000000,10.72000000,17677,189497,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.72000000,10.72000000
20210209,10.72000000,10.75000000,10.62000000,10.70000000,5507,58925,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.70000000,10.70000000
20210210,10.75000000,10.75000000,10.61000000,10.70000000,6633,70973,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.70000000,10.70000000
