Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19940624,5.74538981,5.77578870,5.71499092,5.74538981,30861,177308,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940627,5.71499092,5.74538981,5.71499092,5.74538981,5067,29112,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940628,5.71499092,5.74538981,5.71499092,5.74538981,1988,11422,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940629,5.71499092,5.74538981,5.71499092,5.74538981,1175,6751,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940630,5.74538981,5.77578870,5.74538981,5.74538981,1600,9193,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940701,5.71499092,5.77578870,5.71499092,5.74538981,1290,7412,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940704,5.71499092,5.77578870,5.71499092,5.74538981,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",23.62500000,5.74538981
19940705,5.77578870,5.77578870,5.74538981,5.74538981,1492,8572,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940706,5.74538981,5.74538981,5.71499092,5.71499092,1341,7664,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.71499092,5.71499092
19940707,5.71499092,5.74538981,5.71499092,5.71499092,1128,6447,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.71499092,5.71499092
19940708,5.71499092,5.74538981,5.71499092,5.71499092,943,5389,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.71499092,5.71499092
19940711,5.71499092,5.74538981,5.71499092,5.71499092,2079,11881,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.71499092,5.71499092
19940712,5.71499092,5.71499092,5.71499092,5.71499092,1584,9053,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.71499092,5.71499092
19940713,5.71499092,5.74538981,5.68459203,5.68459203,3376,19191,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.68459203,5.68459203
19940714,5.68459203,5.74538981,5.68459203,5.74538981,1891,10865,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940715,5.71499092,5.74538981,5.68459203,5.74538981,351,2017,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.74538981,5.74538981
19940718,5.74538981,5.74538981,5.68459203,5.71499092,745,4258,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.71499092,5.71499092
19940719,5.71499092,5.71499092,5.65419314,5.65419314,2717,15362,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.65419314,5.65419314
19940720,5.65419314,5.68459203,5.65419314,5.65419314,283,1600,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.65419314,5.65419314
19940721,5.65419314,5.68459203,5.65419314,5.68459203,346,1967,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.68459203,5.68459203
19940722,5.68459203,5.68459203,5.65419314,5.68459203,268,1523,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.68459203,5.68459203
19940725,5.68459203,5.68459203,5.65419314,5.68459203,205,1165,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.68459203,5.68459203
19940726,5.65419314,5.68459203,5.65419314,5.65419314,243,1374,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.65419314,5.65419314
19940727,5.65419314,5.65419314,5.59339537,5.59339537,348,1947,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.59339537,5.59339537
19940728,5.59339537,5.59339537,5.35020427,5.38060315,416,2238,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.38060315,5.38060315
19940729,5.44140093,5.65419314,5.44140093,5.47179982,1378,7540,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.47179982,5.47179982
19940801,5.50219870,5.56299648,5.50219870,5.50219870,123,677,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.50219870,5.50219870
19940802,5.50219870,5.62379426,5.50219870,5.53259759,146,808,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.53259759,5.53259759
19940803,5.56299648,5.59339537,5.47179982,5.47179982,167,914,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.47179982,5.47179982
19940804,5.28940649,5.35020427,5.19820983,5.31980538,657,3495,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.31980538,5.31980538
19940805,5.28940649,5.35020427,5.28940649,5.28940649,602,3184,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.28940649,5.28940649
19940808,5.31980538,5.35020427,5.28940649,5.28940649,147,778,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.28940649,5.28940649
19940809,5.31980538,5.41100204,5.22860871,5.22860871,1175,6144,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.22860871,5.22860871
19940810,5.22860871,5.28940649,5.22860871,5.22860871,693,3623,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.22860871,5.22860871
19940811,5.25900760,5.28940649,5.22860871,5.22860871,526,2750,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.22860871,5.22860871
19940812,5.19820983,5.19820983,5.10701316,5.10701316,2959,15112,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.10701316,5.10701316
19940815,5.13741205,5.16781094,5.10701316,5.16781094,336,1736,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.16781094,5.16781094
19940816,5.22860871,5.31980538,5.19820983,5.31980538,739,3931,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.31980538,5.31980538
19940817,5.31980538,5.44140093,5.31980538,5.44140093,747,4065,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.44140093,5.44140093
19940818,5.44140093,5.47179982,5.38060315,5.38060315,96,517,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.38060315,5.38060315
19940819,5.38060315,5.41100204,5.38060315,5.38060315,9,48,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.38060315,5.38060315
19940822,5.38060315,5.41100204,5.31980538,5.38060315,117,630,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.38060315,5.38060315
19940823,5.38060315,5.38060315,5.35020427,5.35020427,313,1675,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.35020427,5.35020427
19940824,5.35020427,5.35020427,5.22860871,5.31980538,1056,5618,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.31980538,5.31980538
19940825,5.28940649,5.31980538,5.25900760,5.28940649,98,518,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.28940649,5.28940649
19940826,5.31980538,5.35020427,5.22860871,5.22860871,2282,11932,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.22860871,5.22860871
19940829,5.22860871,5.28940649,5.13741205,5.19820983,199,1034,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.19820983,5.19820983
19940830,5.19820983,5.28940649,5.16781094,5.28940649,716,3787,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.28940649,5.28940649
19940831,5.28940649,5.38060315,5.19820983,5.38060315,572,3078,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.38060315,5.38060315
19940901,5.35020427,5.35020427,5.28940649,5.31980538,280,1490,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.31980538,5.31980538
19940902,5.31980538,5.38060315,5.28940649,5.35020427,163,872,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.35020427,5.35020427
19940905,5.31980538,5.38060315,5.28940649,5.35020427,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",22.00000000,5.35020427
19940906,5.31980538,5.35020427,5.31980538,5.31980538,51,271,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.31980538,5.31980538
19940907,5.38060315,5.41100204,5.31980538,5.41100204,146,790,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.41100204,5.41100204
19940908,5.38060315,5.62379426,5.38060315,5.62379426,713,4010,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.62379426,5.62379426
19940909,5.59339537,5.62379426,5.56299648,5.59339537,319,1784,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.59339537,5.59339537
19940912,5.59339537,5.59339537,5.53259759,5.56299648,640,3560,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.56299648,5.56299648
19940913,5.56299648,5.56299648,5.50219870,5.53259759,697,3856,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.53259759,5.53259759
19940914,5.50219870,5.50219870,5.47179982,5.50219870,108,594,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.50219870,5.50219870
19940915,5.50219870,5.53259759,5.50219870,5.50219870,117,644,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.50219870,5.50219870
19940916,5.47179982,5.50219870,5.44140093,5.50219870,856,4710,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.50219870,5.50219870
19940919,5.50219870,5.50219870,5.44140093,5.44140093,382,2079,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.44140093,5.44140093
19940920,5.44140093,5.44140093,5.38060315,5.38060315,201,1082,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.38060315,5.38060315
19940921,5.38060315,5.38060315,5.16781094,5.22860871,184,962,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.22860871,5.22860871
19940922,5.28940649,5.28940649,5.19820983,5.25900760,109,573,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.25900760,5.25900760
19940923,5.28940649,5.28940649,5.22860871,5.25900760,91,479,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.25900760,5.25900760
19940926,5.18964658,5.18964658,5.03426794,5.12749512,1719,8814,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.12749512,5.12749512
19940927,5.18964658,5.31394949,5.15857085,5.28287376,1084,5727,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.28287376,5.28287376
19940928,5.28287376,5.43825240,5.28287376,5.40717667,142,768,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.40717667,5.40717667
19940929,5.37610094,5.37610094,5.31394949,5.31394949,355,1886,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.31394949,5.31394949
19940930,5.28287376,5.31394949,5.28287376,5.31394949,880,4676,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.31394949,5.31394949
19941003,5.22072230,5.25179803,5.18964658,5.25179803,651,3419,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.25179803,5.25179803
19941004,5.22072230,5.22072230,5.15857085,5.22072230,277,1446,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.22072230,5.22072230
19941005,5.22072230,5.22072230,5.12749512,5.18964658,217,1126,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.18964658,5.18964658
19941006,5.22072230,5.22072230,5.09641939,5.18964658,361,1873,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",5.18964658,5.18964658
