Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20010806,6.97676023,6.97676023,6.90722441,6.93040302,110,762,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.93040302,6.93040302
20010807,6.80523855,6.80523855,6.70325268,6.76815278,30,203,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.76815278,6.76815278
20010808,6.72179557,6.72179557,6.56418105,6.60590254,71,469,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.60590254,6.60590254
20010809,6.58735966,6.62444542,6.49000951,6.51318812,61,397,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.51318812,6.51318812
20010810,6.60590254,6.71252412,6.59199538,6.60126682,67,442,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.60126682,6.60126682
20010813,6.86086720,7.11583186,6.79133138,7.06947465,89,629,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.06947465,7.06947465
20010814,6.99993883,7.16218907,6.99066739,7.10192470,2264,16079,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.10192470,7.10192470
20010815,6.74497417,6.81450999,6.72179557,6.75888134,56,378,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.75888134,6.75888134
20010816,6.67543836,6.99993883,6.67543836,6.86086720,119,816,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.86086720,6.86086720
20010817,6.67543836,6.72179557,6.65225975,6.65225975,31,206,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.65225975,6.65225975
20010820,6.28140206,6.36948076,6.21186625,6.27676634,84,527,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.27676634,6.27676634
20010821,6.52038513,6.80699546,6.49650093,6.68757449,139,930,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.68757449,6.68757449
20010822,7.11748999,7.27034884,7.04583741,7.23691097,109,789,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.23691097,7.23691097
20010823,7.21302677,7.23691097,7.00284586,7.14137419,46,329,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.14137419,7.14137419
20010824,7.28467936,7.37066246,7.23691097,7.30856355,60,439,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.30856355,7.30856355
20010827,7.30856355,7.30856355,7.26079516,7.30856355,50,365,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.30856355,7.30856355
20010828,7.21302677,7.21302677,7.02195322,7.06972160,74,523,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.06972160,7.06972160
20010829,7.02195322,7.05539109,7.01717638,7.01717638,17,119,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.01717638,7.01717638
20010830,6.97418483,6.97418483,6.69235133,6.73534288,75,505,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.73534288,6.73534288
20010831,6.70190501,6.70190501,6.56815352,6.63980610,40,266,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.63980610,6.63980610
20010903,6.70190501,6.70190501,6.56815352,6.63980610,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",13.90000000,6.63980610
20010904,6.57770720,6.66369030,6.54426932,6.59203771,56,369,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.59203771,6.59203771
20010905,6.68757449,6.85476385,6.68757449,6.71623552,41,275,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.71623552,6.71623552
20010906,6.73534288,6.83087966,6.73534288,6.76400391,136,920,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.76400391,6.76400391
20010907,6.73534288,6.77355759,6.68757449,6.73534288,44,296,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.73534288,6.73534288
20010910,6.54426932,6.54426932,6.44873254,6.54426932,112,733,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.54426932,6.54426932
20010911,6.54426932,6.54426932,6.44873254,6.54426932,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",13.70000000,6.54426932
20010912,6.54426932,6.54426932,6.44873254,6.54426932,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",13.70000000,6.54426932
20010913,6.54426932,6.54426932,6.44873254,6.54426932,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",13.70000000,6.54426932
20010914,6.54426932,6.54426932,6.44873254,6.54426932,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",13.70000000,6.54426932
20010917,6.20989060,6.35319577,5.97104865,6.06658543,149,904,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",6.06658543,6.06658543
20010918,6.04270124,6.04270124,5.85162768,5.85162768,102,597,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.85162768,5.85162768
20010919,5.77997510,5.77997510,5.23063862,5.42171218,219,1187,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.42171218,5.42171218
20010920,4.77683892,5.20675442,4.72907053,4.94402828,153,756,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.94402828,4.94402828
20010921,4.53799698,4.53799698,4.23227928,4.27527084,758,3241,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.27527084,4.27527084
20010924,4.75295473,4.75295473,4.54277381,4.58576536,617,2829,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.58576536,4.58576536
20010925,4.68130214,4.77683892,4.44246020,4.56188117,428,1952,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.56188117,4.56188117
20010926,4.56188117,4.63353375,4.29915503,4.35647710,289,1259,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.35647710,4.35647710
20010927,4.33736974,4.33736974,4.25138664,4.29437819,160,687,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.29437819,4.29437819
20010928,4.29915503,4.34692342,4.22750245,4.34692342,220,956,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.34692342,4.34692342
20011001,4.45201388,4.45201388,4.37080761,4.41857600,322,1423,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.41857600,4.41857600
20011002,4.46634439,4.46634439,4.39469181,4.40902232,142,626,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.40902232,4.40902232
20011003,4.06031308,4.25138664,4.06031308,4.22750245,294,1243,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.22750245,4.22750245
20011004,4.20361825,4.20361825,4.10808147,4.16540354,300,1250,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.16540354,4.16540354
20011005,4.17973406,4.17973406,4.01254469,4.13196567,139,574,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.13196567,4.13196567
20011008,4.17973406,4.25138664,4.13196567,4.25138664,43,183,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.25138664,4.25138664
20011009,4.13196567,4.13196567,4.01254469,4.03642889,97,392,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.03642889,4.03642889
20011010,4.03642889,4.39469181,4.03642889,4.30393187,503,2165,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.30393187,4.30393187
20011011,4.30870871,4.37080761,4.30870871,4.35170026,282,1227,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.35170026,4.35170026
20011012,4.28960135,4.28960135,4.20361825,4.23705612,188,797,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.23705612,4.23705612
20011015,4.01254469,4.15107302,3.99821418,4.13196567,232,959,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.13196567,4.13196567
20011016,4.09375096,4.09375096,3.77370275,3.78325643,685,2592,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.78325643,3.78325643
20011017,3.82147114,3.95999947,3.82147114,3.86923953,117,453,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.86923953,3.86923953
20011018,3.75937223,3.75937223,3.59695971,3.61606706,291,1052,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.61606706,3.61606706
20011019,3.53486080,3.65428178,3.46320822,3.60651339,306,1104,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.60651339,3.60651339
20011022,3.60651339,3.72593436,3.58740603,3.63039758,280,1017,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.63039758,3.63039758
20011023,3.82147114,3.98866050,3.79758694,3.82624798,318,1217,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.82624798,3.82624798
20011024,3.89312372,3.96477631,3.86923953,3.89312372,125,487,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.89312372,3.89312372
20011025,3.71638068,3.71638068,3.60651339,3.63039758,126,457,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.63039758,3.63039758
20011026,3.65428178,3.81669430,3.63995126,3.77370275,765,2887,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.77370275,3.77370275
20011029,3.84535533,3.84535533,3.72593436,3.72593436,125,466,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.72593436,3.72593436
20011030,3.74981855,3.74981855,3.65428178,3.67338913,201,738,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.67338913,3.67338913
20011031,3.65428178,3.67816597,3.55396816,3.62084390,60,217,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.62084390,3.62084390
20011101,3.65428178,3.72115752,3.60651339,3.69727333,95,351,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.69727333,3.69727333
20011102,3.64950494,3.64950494,3.58262919,3.58262919,185,663,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.58262919,3.58262919
20011105,3.53963764,3.57307551,3.46320822,3.46320822,77,267,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.46320822,3.46320822
20011106,3.43454718,3.43454718,3.25780414,3.29601886,448,1477,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.29601886,3.29601886
20011107,3.24825047,3.24825047,3.12882949,3.21958943,71,229,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.21958943,3.21958943
20011108,3.24825047,3.41066299,3.24825047,3.31990305,94,312,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.31990305,3.31990305
20011109,3.36767144,3.38677880,3.31034937,3.33901041,73,244,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.33901041,3.33901041
20011112,3.36767144,3.36767144,3.20048208,3.27213466,129,422,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.27213466,3.27213466
20011113,3.36767144,3.63039758,3.36767144,3.63039758,283,1027,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.63039758,3.63039758
20011114,3.48709241,3.57785235,3.46320822,3.51097661,163,572,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.51097661,3.51097661
20011115,3.39155563,3.43932402,3.34378725,3.41066299,104,355,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.41066299,3.41066299
20011116,3.67816597,3.98866050,3.67816597,3.92656159,297,1166,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.92656159,3.92656159
20011119,3.86853359,3.86853359,3.74764192,3.77182025,133,502,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.77182025,3.77182025
20011120,3.72346358,3.74280625,3.63642157,3.71379225,55,204,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.71379225,3.71379225
20011121,3.67510691,3.67510691,3.60257191,3.62675024,119,432,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.62675024,3.62675024
20011122,3.67510691,3.67510691,3.60257191,3.62675024,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",7.50000000,3.62675024
20011123,3.61224324,3.62191457,3.54454390,3.59773624,91,327,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.59773624,3.59773624
20011126,4.18285194,4.18285194,4.08613860,4.16834494,345,1438,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.16834494,4.16834494
20011127,4.13933094,4.13933094,3.96524693,4.02327493,789,3174,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.02327493,4.02327493
20011128,4.02327493,4.06196027,3.84919092,3.84919092,198,762,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.84919092,3.84919092
20011129,3.89754759,3.95557560,3.86853359,3.92172593,126,494,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",3.92172593,3.92172593
20011130,4.04745327,4.32792195,4.04745327,4.30374362,450,1937,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.30374362,4.30374362
20011203,4.27956528,4.30374362,4.23120861,4.23120861,100,423,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.23120861,4.23120861
20011204,4.08613860,4.18285194,4.08613860,4.15867361,183,761,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.15867361,4.15867361
20011205,4.15383794,4.22153728,4.13449527,4.14416661,156,646,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.14416661,4.14416661
20011206,4.35210029,4.40045696,4.31825062,4.35210029,163,709,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.35210029,4.35210029
20011207,4.36660729,4.41012829,4.26022262,4.27956528,132,565,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.27956528,4.27956528
20011210,4.24087995,4.30374362,4.23120861,4.25055128,81,344,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.25055128,4.25055128
20011211,4.47299196,4.59388364,4.47299196,4.55519830,235,1070,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.55519830,4.55519830
20011212,4.59388364,4.59388364,4.50200597,4.50684163,158,712,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.50684163,4.50684163
20011213,4.37627862,4.44881363,4.37627862,4.40045696,51,224,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.40045696,4.40045696
20011214,4.59388364,4.59388364,4.51651297,4.51651297,102,461,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.51651297,4.51651297
20011217,4.42463529,4.42463529,4.35210029,4.38111429,91,399,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.38111429,4.38111429
20011218,4.30374362,4.34726462,4.25538695,4.30374362,57,245,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.30374362,4.30374362
20011219,4.37627862,4.40045696,4.35210029,4.37627862,23,101,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.37627862,4.37627862
20011220,4.71477531,4.80181732,4.62773331,4.78731032,340,1628,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.78731032,4.78731032
20011221,4.82115999,4.91787333,4.82115999,4.88402366,192,938,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.88402366,4.88402366
20011224,4.88885932,4.90820199,4.76313198,4.78731032,46,220,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.78731032,4.78731032
20011225,4.88885932,4.90820199,4.76313198,4.78731032,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",9.90000000,4.78731032
20011226,4.82599565,4.83566699,4.71477531,4.78731032,163,780,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.78731032,4.78731032
20011227,4.83566699,5.02909367,4.83566699,4.98073700,199,991,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.98073700,4.98073700
20011228,5.02909367,5.07261467,4.95172300,5.02909367,344,1730,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",5.02909367,5.02909367
20011231,5.07745034,5.07745034,4.93238033,4.95655866,83,411,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Transportation","Common Stock",4.95655866,4.95655866
20020101,5.07745034,5.07745034,4.93238033,4.95655866,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Transportation","Common Stock",10.25000000,4.95655866
