Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20140416,16.87079267,17.37691644,16.56711840,17.29256248,21671,374747,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.29256248,17.29256248
20140417,17.29256248,17.29256248,17.05637138,17.22507931,8277,142572,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.22507931,17.22507931
20140418,17.29256248,17.29256248,17.05637138,17.22507931,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",10.21000000,17.22507931
20140421,17.24195010,17.37691644,17.22507931,17.36004565,10338,179468,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.36004565,17.36004565
20140422,17.30943327,17.37691644,17.29256248,17.34317486,6756,117170,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.34317486,17.34317486
20140423,17.30943327,17.36004565,17.27569169,17.30943327,4922,85197,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.30943327,17.30943327
20140424,17.30943327,17.36004565,17.29256248,17.34317486,4646,80576,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.34317486,17.34317486
20140425,17.32630407,17.34317486,17.09011297,17.20820852,4935,84923,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.20820852,17.20820852
20140428,17.25882090,17.29256248,17.09011297,17.22507931,2941,50659,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.22507931,17.22507931
20140429,17.14072535,17.24195010,17.12385455,17.17446693,4870,83640,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.17446693,17.17446693
20140430,17.09011297,17.15759614,17.02262980,17.15759614,3773,64736,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.15759614,17.15759614
20140501,17.05637138,17.20820852,17.00575901,17.05637138,4547,77555,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.05637138,17.05637138
20140502,17.02262980,17.15759614,17.00575901,17.14072535,3849,65975,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.14072535,17.14072535
20140505,17.16451775,17.41943633,17.14752318,17.35145804,5392,93559,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.35145804,17.35145804
20140506,17.38544718,17.43643090,17.24949061,17.31746890,4364,75573,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.31746890,17.31746890
20140507,17.26648518,17.30047432,17.14752318,17.23249604,4082,70343,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.23249604,17.23249604
20140508,17.23249604,17.33446347,17.11353403,17.13052860,3457,59220,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.13052860,17.13052860
20140509,17.18151232,17.31746890,17.11353403,17.26648518,2952,50971,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.26648518,17.26648518
20140512,17.31746890,17.31746890,17.13052860,17.23249604,2921,50336,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.23249604,17.23249604
20140513,17.23249604,17.24269278,17.09653946,17.11353403,3727,63782,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.11353403,17.11353403
20140514,17.11353403,17.40244176,17.11353403,17.28347975,4562,78847,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.28347975,17.28347975
20140515,17.28347975,17.33446347,17.13052860,17.23249604,3210,55316,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.23249604,17.23249604
20140516,17.24949061,17.31746890,17.18151232,17.30047432,2353,40708,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.30047432,17.30047432
20140519,17.26648518,17.47042005,17.26648518,17.43643090,4640,80905,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.43643090,17.43643090
20140520,17.43643090,17.45342547,17.33446347,17.43643090,3283,57244,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.43643090,17.43643090
20140521,17.41943633,17.48741462,17.35145804,17.41943633,3445,60010,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.41943633,17.41943633
20140522,17.35145804,17.82730606,17.35145804,17.60637662,8111,142805,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.60637662,17.60637662
20140523,17.58938205,17.60637662,17.52140376,17.58938205,3193,56163,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.58938205,17.58938205
20140526,17.58938205,17.60637662,17.52140376,17.58938205,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",10.35000000,17.58938205
20140527,17.90433400,17.90433400,17.59794053,17.76739837,4423,78585,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.76739837,17.76739837
20140528,17.80163228,17.80163228,17.64757969,17.64757969,3697,65243,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.64757969,17.64757969
20140529,17.73316446,17.95568487,17.66469665,17.85298314,4907,87605,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.85298314,17.85298314
20140530,17.78451533,17.97280182,17.76739837,17.93856791,3369,60435,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.93856791,17.93856791
20140602,17.90433400,17.93856791,17.83586619,17.83586619,2452,43734,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.83586619,17.83586619
20140603,17.92145096,17.97280182,17.87010010,17.93856791,4438,79611,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",17.93856791,17.93856791
20140604,17.93856791,18.19532222,17.92145096,18.07550355,5141,92926,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",18.07550355,18.07550355
20140605,18.12685441,18.22955613,18.09262050,18.21243918,5628,102500,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",18.21243918,18.21243918
20140606,18.19532222,18.29802395,18.14397136,18.22955613,4139,75452,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",18.22955613,18.22955613
20140609,18.24667309,18.40072567,18.17820527,18.19532222,8680,157935,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",18.19532222,18.19532222
