Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201012,9.75000000,9.75000000,9.60000000,9.70000000,3670,35599,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20201013,9.75000000,9.75000000,9.63000000,9.64000000,217,2092,N/A,N/A,0,0,"NYSE","","","Common Stock",9.64000000,9.64000000
20201014,9.65000000,9.65500000,9.64000000,9.64000000,455,4386,N/A,N/A,0,0,"NYSE","","","Common Stock",9.64000000,9.64000000
20201015,9.70000000,9.70000000,9.61000000,9.61000000,864,8303,N/A,N/A,0,0,"NYSE","","","Common Stock",9.61000000,9.61000000
20201016,9.68000000,9.68000000,9.59000000,9.61000000,941,9043,N/A,N/A,0,0,"NYSE","","","Common Stock",9.61000000,9.61000000
20201019,9.73000000,9.73000000,9.62000000,9.67000000,1474,14254,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20201020,9.69000000,9.69000000,9.66000000,9.69000000,121,1172,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20201021,9.70000000,9.70000000,9.64000000,9.67000000,663,6411,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20201022,9.69000000,9.69000000,9.59000000,9.64000000,621,5986,N/A,N/A,0,0,"NYSE","","","Common Stock",9.64000000,9.64000000
20201023,9.70000000,9.70000000,9.60000000,9.63000000,235,2263,N/A,N/A,0,0,"NYSE","","","Common Stock",9.63000000,9.63000000
20201026,9.65000000,9.65000000,9.63000000,9.63000000,3057,29439,N/A,N/A,0,0,"NYSE","","","Common Stock",9.63000000,9.63000000
20201027,9.61000000,9.65000000,9.60000000,9.64000000,459,4425,N/A,N/A,0,0,"NYSE","","","Common Stock",9.64000000,9.64000000
20201028,9.63000000,9.64000000,9.61000000,9.61000000,827,7947,N/A,N/A,0,0,"NYSE","","","Common Stock",9.61000000,9.61000000
20201029,9.62500000,9.63000000,9.61000000,9.62000000,286,2751,N/A,N/A,0,0,"NYSE","","","Common Stock",9.62000000,9.62000000
20201030,9.61700000,9.64000000,9.60000000,9.62300000,3397,32689,N/A,N/A,0,0,"NYSE","","","Common Stock",9.62300000,9.62300000
20201102,9.68000000,9.68000000,9.60000000,9.60000000,329,3158,N/A,N/A,0,0,"NYSE","","","Common Stock",9.60000000,9.60000000
20201103,9.67000000,9.73000000,9.59000000,9.62000000,152,1462,N/A,N/A,0,0,"NYSE","","","Common Stock",9.62000000,9.62000000
20201104,9.64000000,9.65500000,9.60000000,9.60000000,278,2669,N/A,N/A,0,0,"NYSE","","","Common Stock",9.60000000,9.60000000
20201105,9.74000000,9.74000000,9.60000000,9.65000000,568,5481,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20201106,9.73000000,9.73000000,9.64000000,9.65000000,1491,14388,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20201109,9.70000000,9.70000000,9.65000000,9.70000000,5410,52477,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20201110,9.71000000,9.71000000,9.65000000,9.66000000,251,2425,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
20201111,9.65000000,9.69300000,9.65000000,9.69000000,3259,31580,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
20201112,9.67000000,9.80000000,9.64000000,9.78000000,595,5819,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20201113,9.80000000,9.80000000,9.69900000,9.71000000,294,2855,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20201116,9.69000000,9.76000000,9.69000000,9.72000000,29,282,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
