Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180202,380.00000000,420.00000000,367.00000000,412.20000000,6401,2638492,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",412.20000000,412.20000000
20180205,407.20000000,430.40000000,390.00000000,397.80000000,940,373932,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",397.80000000,397.80000000
20180206,391.80000000,413.60000000,382.40000000,400.80000000,556,222845,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",400.80000000,400.80000000
20180207,401.20000000,405.00000000,377.00000000,382.80000000,636,243461,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",382.80000000,382.80000000
20180208,385.20000000,389.60000000,340.80000000,353.60000000,1793,634005,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",353.60000000,353.60000000
20180209,346.40000000,356.60000000,300.40000000,345.80000000,1046,361707,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",345.80000000,345.80000000
20180212,346.80000000,371.40000000,346.80000000,364.80000000,244,89011,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",364.80000000,364.80000000
20180213,359.00000000,385.80000000,356.80000000,369.20000000,417,153956,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",369.20000000,369.20000000
20180214,367.60000000,385.20000000,358.60000000,379.20000000,296,112243,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",379.20000000,379.20000000
20180215,379.20000000,383.00000000,367.40000000,378.40000000,163,61679,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",378.40000000,378.40000000
20180216,380.20000000,391.00000000,375.10000000,387.80000000,296,114789,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",387.80000000,387.80000000
20180219,380.20000000,391.00000000,375.10000000,387.80000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",19.39000000,387.80000000
20180220,384.20000000,402.00000000,380.40000000,385.00000000,260,100100,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",385.00000000,385.00000000
20180221,384.00000000,396.88000000,378.60000000,385.80000000,312,120370,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",385.80000000,385.80000000
20180222,386.00000000,393.60000000,380.80000000,390.40000000,241,94086,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",390.40000000,390.40000000
20180223,391.60000000,404.60000000,389.40000000,394.60000000,293,115618,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",394.60000000,394.60000000
20180226,396.60000000,405.60000000,391.80000000,402.40000000,148,59555,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",402.40000000,402.40000000
20180227,405.00000000,415.20000000,389.40000000,406.60000000,466,189476,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",406.60000000,406.60000000
20180228,420.00000000,420.00000000,401.00000000,406.40000000,378,153619,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",406.40000000,406.40000000
20180301,406.00000000,408.30000000,377.60000000,406.20000000,1028,417574,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",406.20000000,406.20000000
20180302,406.20000000,409.40000000,381.80000000,396.80000000,322,127770,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",396.80000000,396.80000000
20180305,395.20000000,399.80000000,383.20000000,396.00000000,218,86328,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",396.00000000,396.00000000
20180306,400.20000000,405.00000000,393.20000000,402.80000000,327,131716,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",402.80000000,402.80000000
20180307,399.40000000,399.40000000,381.20000000,392.20000000,276,108247,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",392.20000000,392.20000000
20180308,395.20000000,397.62000000,386.60000000,393.40000000,156,61370,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",393.40000000,393.40000000
20180309,393.40000000,404.60000000,386.60000000,395.40000000,236,93314,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",395.40000000,395.40000000
20180312,397.40000000,404.40000000,389.40000000,392.20000000,206,80793,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",392.20000000,392.20000000
20180313,391.60000000,400.80000000,386.80000000,392.00000000,180,70560,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",392.00000000,392.00000000
20180314,393.80000000,400.80000000,379.60000000,390.00000000,353,137670,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",390.00000000,390.00000000
20180315,391.40000000,395.00000000,377.20000000,383.00000000,361,138263,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",383.00000000,383.00000000
20180316,381.20000000,401.20000000,380.40000000,390.20000000,1558,607932,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",390.20000000,390.20000000
20180319,387.00000000,395.00000000,383.60000000,390.60000000,252,98431,N/A,N/A,0,-5,"NYSE","Energy","Energy/Services & Equipment","Common Stock",390.60000000,390.60000000
