Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20160705,40.46633841,44.51297225,39.64308598,39.81101309,74457,2964209,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",39.81101309,39.81101309
20160706,38.55770342,39.81101309,37.91876124,39.11472994,80143,3134772,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",39.11472994,39.11472994
20160707,39.00823958,39.31951911,38.78297150,39.10653838,65567,2564098,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",39.10653838,39.10653838
20160708,39.28675284,41.45751796,38.93451548,41.12166373,50710,2085280,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",41.12166373,41.12166373
20160711,40.31069865,41.96539508,40.12229262,41.87528785,72205,3023605,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",41.87528785,41.87528785
20160712,41.77698905,41.82613845,41.17081313,41.42475169,66357,2748822,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",41.42475169,41.42475169
20160713,41.42475169,41.85890471,40.81857577,41.46570952,58133,2410526,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",41.46570952,41.46570952
20160714,41.22815410,42.38316497,40.91687457,42.24390834,41605,1757558,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",42.24390834,42.24390834
20160715,42.41593124,42.52242160,41.45751796,41.96539508,44093,1850380,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",41.96539508,41.96539508
20160718,41.58858302,42.25209991,41.37560229,42.01454448,18612,781975,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",42.01454448,42.01454448
20160719,41.80975532,42.23571677,41.31826133,42.22752521,23359,986393,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",42.22752521,42.22752521
20160720,42.46508063,42.53061317,40.96602397,41.23634566,40053,1651639,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",41.23634566,41.23634566
20160721,41.28549506,41.46570952,40.94964084,41.15443000,36207,1490078,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",41.15443000,41.15443000
20160722,40.95783240,41.19538783,40.37623118,40.46633841,29285,1185057,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",40.46633841,40.46633841
20160725,40.31889022,40.50729625,39.20483718,40.12229262,36385,1459850,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",40.12229262,40.12229262
